Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Postal Code,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,LinkedIn,Twitter,Hub Tags,Full Description,Investor Type,Investment Stage,Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Last Funding Date,Funding Status,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Investors,Number of Lead Investors,Number of Acquisitions,Acquisition Status,Growth Category,Last Leadership Hiring Date,Last Layoff Mention Date,Trend Score (7 Days),Trend Score (30 Days),Trend Score (90 Days),Similar Companies
Gro Intelligence,https://www.crunchbase.com/organization/gro-intelligence,"Agriculture, Artificial Intelligence (AI), Big Data, Data Visualization, Information Technology, SaaS","New York, New York, United States","The AI-powered decision engine across agriculture, climate, and the economy",1,"Greater New York Area, East Coast, Northeastern US",10036,$1M to $10M,Active,2014-01-01,year,,,,,For Profit,http://www.gro-intelligence.com,https://www.linkedin.com/company/3035148,http://twitter.com/grointel,,"Gro is a global team of technology, climate, and agriculture experts. We have built an AI-powered platform that helps our customers tackle their most pressing challenges - from forecasting and assuring supply chains to climate change and food security. The Gro Platform was founded on diversity and the knowledge that artificial intelligence is only as powerful as the human intelligence behind it. With offices in New York City and Nairobi, we are cross-functional, collaborative, and multicultural. We believe that agricultural and climate data is a form of infrastructure necessary for societies to thrive. But that data becomes knowledge when it pairs the insight of human intelligence with the scale of artificial intelligence.",,,"Agriculture and Farming, Artificial Intelligence (AI), Data and Analytics, Design, Information Technology, Science and Engineering, Software",3,"Nemo Semret, Sara Menker, Sewit Ahderom",101-250,5,2021-01-08,Early Stage Venture,85000000,USD,85000000,Series B,Series B,85000000,USD,85000000,114700000,USD,114700000,117609000,USD,117609000,"Notable Capital, DCVC, TPG Growth, One Planet Group, EchoVC Partners",13,5,,,Growing,,,0,0,8.3,5
Groq,https://www.crunchbase.com/organization/groq,"Electronics, Machine Learning, Semiconductor","Mountain View, California, United States","Groq radically simplifies compute to accelerate workloads in artificial intelligence, machine learning, and high-performance computing.",5,"San Francisco Bay Area, Silicon Valley, West Coast",94041,$10M to $50M,Active,2016-01-01,year,,,,,For Profit,http://groq.com,https://www.linkedin.com/company/groq,https://twitter.com/groqinc,Unicorn,"Groq radically simplifies compute to accelerate workloads in artificial intelligence, machine learning, and high-performance computing.",,,"Artificial Intelligence (AI), Consumer Electronics, Data and Analytics, Hardware, Science and Engineering, Software",1,Jonathan Ross,101-250,5,2024-03-27,,,,,Venture - Series Unknown,Venture - Series Unknown,,,,362550552,USD,362550552,362550552,USD,362550552,"GCM Grosvenor, Social Capital, Alumni Ventures, Daniel Gross, Firebolt Ventures",28,4,2,Made Acquisitions,Growing,,,-0.3,-0.8,5.1,7
Mistral AI,https://www.crunchbase.com/organization/mistral-ai,"Artificial Intelligence (AI), Generative AI, Machine Learning, Natural Language Processing, Software","Paris, Ile-de-France, France",Mistral AI is an AI startup that provides developers and businesses access to open and portable generative AI solutions.,7,"European Union (EU), Europe, Middle East, and Africa (EMEA)",75001,,Active,2023-01-01,year,,,,,For Profit,https://mistral.ai,https://www.linkedin.com/company/mistralai,https://www.twitter.com/aimistral,Unicorn,Mistral AI is an AI startup that provides developers and businesses access to open and portable generative AI solutions. It creates and offers innovations for the artificial intelligence industry.,,,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",4,"Arthur Mensch, Charles Gorintin, Guillaume Lample, Timothee Lacroix",11-50,7,2024-06-11,Early Stage Venture,468000000,EUR,502074275,Series B,Series B,468000000,EUR,502074275,973000000,EUR,1046088271,1105000000,EUR,1187698964,"Millennium New Horizons, NVIDIA, Eurazeo, Bpifrance, Emerson Collective",39,4,,,Growing,,,-0.3,-0.5,-0.4,10
Figure,https://www.crunchbase.com/organization/figure-b5dc,"Artificial Intelligence (AI), Machinery Manufacturing, Manufacturing, Robotics","Sunnyvale, California, United States",Figure Robotics is an AI robotics company that is building a multi-purpose humanoid form robot.,12,"San Francisco Bay Area, Silicon Valley, West Coast",,,Active,2022-01-01,year,,,,,For Profit,https://www.figure.ai,https://www.linkedin.com/company/figure-ai,https://twitter.com/_figureai,Unicorn,"Figure is an AI robotics company that builds a multi-purpose humanoid form robot. The company has created a humanoid robot with the purpose of being introduced into the workforce to tackle problems such as labor shortages, and undesirable or unsafe jobs, and to assist in global supply chain operations. Figure 01 combines the agility of the human body with advanced AI technology to surpass the capabilities of robots designed for specific tasks. It provides assistance in various sectors including manufacturing, logistics, warehousing, and retail.",,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Manufacturing, Science and Engineering, Software",2,"Brett Adcock, Satoshi Nakamoto",51-100,5,2024-02-29,Early Stage Venture,675000000,USD,675000000,Series B,Series B,675000000,USD,675000000,854000000,USD,854000000,854000000,USD,854000000,"OpenAI, NVIDIA, Karman Ventures (fka Moving Capital), Bold Capital Partners, Samsung Ventures",32,3,,,,,,-0.2,-0.6,7.1,8
Lambda,https://www.crunchbase.com/organization/lambda-labs,"Artificial Intelligence (AI), Cloud Computing, GPU, Hardware, Machine Learning, Software","San Francisco, California, United States",Lambda is a cloud-based GPU company catering to developers throughout the entire lifecycle of AI development.,13,"San Francisco Bay Area, West Coast, Western US",94107,$10M to $50M,Active,2012-01-01,year,,,,,For Profit,https://lambdalabs.com,https://www.linkedin.com/company/lambda-labs,https://twitter.com/lambdaapi,Unicorn,"Lambda is a deep-learning infrastructure company, that provides computation to accelerate human progress. The company's cloud technology, servers, and workstations are pre-configured with common ML frameworks, enabling clients to simplify and accelerate the training and deployment of deep learning models. The company empowers AI engineers to effortlessly, securely, and cost-effectively construct, test, and deploy AI products on a large scale. Lambda's range of products extends from on-premises GPU hardware to cloud-hosted GPUs.",,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Internet Services, Science and Engineering, Software",2,"Michael Balaban, Stephen Balaban",101-250,9,2024-04-04,Late Stage Venture,500000000,USD,500000000,Debt Financing,Series C,320000000,USD,320000000,422705501,USD,422705501,932205501,USD,932205501,"Industrial Development Funding, Razer, Alumni Ventures, B Capital, Gradient Ventures",24,6,,,,,,0,-0.3,-0.3,10
xAI,https://www.crunchbase.com/organization/xai,"Artificial Intelligence (AI), Generative AI, Information Technology, Machine Learning","Burlingame, California, United States",XAI is an AI company that develops a platform to accelerate human scientific discovery.,17,"San Francisco Bay Area, West Coast, Western US",94010,,Active,2023-07-12,day,,,,,For Profit,https://x.ai,https://www.linkedin.com/company/xai,https://twitter.com/xai,,"XAI is an AI company that develops a platform to accelerate human scientific discovery. The company primarily focuses on developing advanced AI systems that are truthful, competent, and maximally beneficial for all of humanity. Its mission is to understand the true nature of the universe.",,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",1,Elon Musk,11-50,3,2024-05-26,Early Stage Venture,6000000000,USD,6000000000,Series B,Series B,6000000000,USD,6000000000,6134929312,USD,6134929312,6134929312,USD,6134929312,"Fidelity, Kingdom Holding Company, X (formerly Twitter), Redstone, Roman Smolevskiy",10,0,,,Growing,,,0,7.9,9.5,10
Together AI,https://www.crunchbase.com/organization/together-1a7e,"Artificial Intelligence (AI), Generative AI, Internet, IT Infrastructure, Open Source","Menlo Park, California, United States",Together AI is a cloud-based platform designed for constructing open-source generative AI and infrastructure for developing AI models.,21,"San Francisco Bay Area, Silicon Valley, West Coast",94025,,Active,2022-06-11,day,,,,,For Profit,https://www.together.ai,https://www.linkedin.com/company/togethercomputer,https://twitter.com/togethercompute,Unicorn,"Together AI is a cloud-based platform designed for constructing open-source generative AI and infrastructure for developing AI models. The company contributes cutting-edge open-source research, models, and datasets to push the boundaries of AI forward. Through its decentralized cloud services, developers and researchers at organizations of various scales are empowered to train, refine, and deploy generative AI models.",,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Science and Engineering, Software",4,"Ce Zhang, Chris Re, Percy Liang, Vipul Ved Prakash",11-50,3,2024-03-13,Early Stage Venture,106000000,USD,106000000,Series A,Series A,106000000,USD,106000000,228500000,USD,228500000,228500000,USD,228500000,"NVIDIA, Factory, Emergence, Long Journey Ventures, Prosperity7 Ventures",38,4,,,Growing,,,0,0,9,9
Jasper,https://www.crunchbase.com/organization/jasper-ai,"Artificial Intelligence (AI), Content, Content Creators","Montréal, Quebec, Canada",Jasper is an AI writing tool that helps businesses create content.,23,,,$50M to $100M,Active,2015-02-11,day,,,,,For Profit,https://www.jasper.ai,https://www.linkedin.com/company/heyjasperai,https://www.twitter.com/heyjasperai,Unicorn,"Jasper is an AI writing tool that helps businesses create content. The company provides assistance with creating marketing copy for items like blog entries, product descriptions, company biographies, ad content, and social media captions.",,,"Artificial Intelligence (AI), Data and Analytics, Media and Entertainment, Science and Engineering, Software",3,"Chris Hull, Dave Rogenmoser, John Philip Morgan",101-250,4,2022-10-18,Early Stage Venture,125000000,USD,125000000,Series A,Series A,125000000,USD,125000000,131000000,USD,131000000,131000000,USD,131000000,"Y Combinator, AAF Management Ltd., Four Cities Capital, Founders Circle Capital, Insight Partners",14,2,2,Made Acquisitions,,,,0,0.4,6.9,21
Inflection AI,https://www.crunchbase.com/organization/inflection-ai,"Artificial Intelligence (AI), Chatbot, Generative AI, Information Technology, Machine Learning","Palo Alto, California, United States",Inflection AI is an artificial intelligence startup that develops personal AI chatbots.,25,"San Francisco Bay Area, Silicon Valley, West Coast",,$1M to $10M,Active,2022-01-01,year,,,,,For Profit,https://inflection.ai,https://www.linkedin.com/company/inflectionai,https://www.twitter.com/inflectionai,Unicorn,Inflection AI is a machine learning startup that engages in redefining human-computer interaction. The company addresses the issue that people have to reduce their demands on computers and adapt their language to what machines can understand.,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",3,"Karen Simonyan, Mustafa Suleyman, Reid Hoffman",11-50,2,2023-06-29,,1300000000,USD,1300000000,Venture - Series Unknown,Venture - Series Unknown,1300000000,USD,1300000000,1525000000,USD,1525000000,1525000000,USD,1525000000,"NVIDIA, CoreWeave, Microsoft, Eric Schmidt, Reid Hoffman",6,5,,,Growing,,,0.8,-0.7,9.2,15
Writer,https://www.crunchbase.com/organization/writer,"Content, Generative AI, Natural Language Processing, Productivity Tools, Software, Virtual Assistant","San Francisco, California, United States","Writer is the full-stack generative AI platform delivering transformative ROI for the world's leading enterprises,",28,"San Francisco Bay Area, West Coast, Western US",94110,$10M to $50M,Active,2020-08-30,day,,,,,For Profit,http://writer.com,http://www.linkedin.com/company/getwriter,http://twitter.com/get_writer,Emerging Unicorn,"Writer is the full-stack generative AI platform delivering transformative ROI for the world’s leading enterprises. Its all-in-one solution makes it easy to deploy customized AI apps and workflows that accelerate growth, increase productivity, and ensure compliance. Designed to provide enterprise-grade accuracy, security, and efficiency, Writer’s suite of development tools is supported by Palmyra – Writer’s state-of-the-art family of LLMs – alongside its industry-leading graph-based RAG and customizable AI guardrails. Named one of the top 50 companies in AI by Forbes, Writer empowers hundreds of customers like Accenture, Intuit, L’Oreal, and Vanguard to transform the way they work. Founded in 2020 with offices in San Francisco, New York City, and London, Writer is backed by strategic investors, including ICONIQ Growth, Insight Partners, WndrCo, Balderton Capital, and Aspect Ventures.",,,"Artificial Intelligence (AI), Data and Analytics, Media and Entertainment, Software",2,"May Habib, Waseem AlShikh",101-250,3,2023-09-18,Early Stage Venture,100000000,USD,100000000,Series B,Series B,100000000,USD,100000000,126000000,USD,126000000,126000000,USD,126000000,"Vanguard, Accenture, Gradient Ventures, ICONIQ Growth, Scott Belsky",27,3,,,,,,1.1,0,9.4,10
