Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Postal Code,Diversity Spotlight,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Closed Date,Closed Date Precision,Exit Date,Exit Date Precision,Company Type,Website,Twitter,Facebook,LinkedIn,Contact Email,Phone Number,Number of Articles,Actively Hiring,Full Description,Hub Tags,Number of Sub-Orgs,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),School Type,School Program,School Method,Number of Enrollments,Number of Founders (Alumni),Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors
Hyperconnect,https://www.crunchbase.com/organization/hyperconnect,"Artificial Intelligence (AI), Machine Learning, Social, Social Network, Video","Seoul, Seoul-t'ukpyolsi, South Korea",Hyperconnect is a global social platform company that provides video and AI-powered products.,"11,974",Asia-Pacific (APAC),06164,,$50M to $100M,Active,2014-03-01,month,,,2021-02-09,day,For Profit,https://hyperconnect.com/,,https://www.facebook.com/hpcnt/,https://www.linkedin.com/company/hyperconnect,contact@hpcnt.com,,36,,"Hyperconnect is a global technology company based in Seoul, South Korea, that provides video and AI-powered social discovery products. Hyperconnect’s vision is to power a ""Hyperconnected humanity free from loneliness"" and its mission is to ""connect people through shared interests and creating enjoyment"" Hyperconnect is an exciting and fast-growing Korean IT company with a global team of 350+ employees from 20+ nationalities across 7 global offices. Hyperconnect generates 90%+ of its revenue in markets outside of South Korea, recording total sales of 1,689 billion won (US$137 million) in 2019. With its flagship product, Azar, the company pioneered a new era of social discovery as the world’s first app to commercialize WebRTC technology for mobile. Azar revolutionizes the way people make new friends and experience new cultures through a machine learning-powered 1-to-1 video chat interface. Azar is now one of the largest video communication platforms in the world, having generated over 500 million downloads and 90 billion new connections. Azar was ranked fifth in the 'Google Play worldwide non-game app sales ranking in December 2019' and fourth after Tinder, Netflix, and YouTube in 'Europe's total non-game app sales ranking in 2019' (Sensor Tower). Hyperconnect’s video and artificial intelligence technology powered the development of Hyperconnect’s latest hit product, Hakuna Live, a social live streaming service with over 15 million downloads. Hyperconnect’s products are powered by the latest in machine learning-based image and video technology, which creates an exciting and engaging experience for users – while ensuring the highest standards of community safety. Hyperconnect’s in-house technology efforts are amongst the world’s best, having earned Hyperconnect numerous global accolades. In 2020 and 2019, Hyperconnect was accepted at ‘INTERSPEECH’ (an annual conference hosted by the International Voice Communication Association) for research in the field of speech recognition technology. Hyperconnect was also recognized at “ICCV 2019” for its 'Marionette' facial reenactment technology and in 2018 at the ""Low Power Image Recognition Challenge (LPIRC)"" held at CVPR (Computer Vision Pattern Recognition) for its world class contribution to the field of image processing.",,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Community and Lifestyle, Data and Analytics, Internet Services, Media and Entertainment, Science and Engineering, Software, Video",3,"Eddie Yong, Kangsik Jung, Samuel Ahn",251-500,2,M&A,2015-11-17,10000000000,KRW,8540208,Series B,10000000000,KRW,8540208,Series B,10540208,USD,10540208,10540208,USD,10540208,"SoftBank, Altos Ventures",2,2
Netbase Quid,https://www.crunchbase.com/organization/netbase-quid,"Analytics, Artificial Intelligence (AI), Data Mining, Natural Language Processing, Software","Santa Clara, California, United States",Netbase Quid is a consumer and market intelligence platform that provides real-time and accurate Social Media Analytics solutions.,"12,670","San Francisco Bay Area, Silicon Valley, West Coast",,,$50M to $100M,Active,2004-01-01,year,,,,,For Profit,https://netbasequid.com,https://twitter.com/NetBaseQuid,https://www.facebook.com/NetBaseQuid,https://www.linkedin.com/company/netbasequid,marketing@netbase.com,650-810-2100,25,,"Netbase Quid is a consumer and market intelligence platform. The company provides real-time and accurate Social Media Analytics solutions that help businesses grow. Its advanced Natural Language Processing technology is capable of understanding and classifying complex language to ensure businesses are making decisions based on highly accurate data. Netbase Quid enables marketing, public relations, market research, customer service, sales, and product innovation leaders to create winning strategies faster.",,2,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",1,Michael Osofsky,251-500,1,Late Stage Venture,2015-03-13,24000000,USD,24000000,Series E,24000000,USD,24000000,Series E,24000000,USD,24000000,24000000,USD,24000000,"Thomvest Ventures, WestSummit Capital, Spring Lake Equity Partners, Altos Ventures",,4
Granify,https://www.crunchbase.com/organization/granify,"Analytics, Big Data, E-Commerce, Machine Learning, Marketing, SaaS","Edmonton, Alberta, Canada",Granify employs big data and machine learning technologies to enable online retailers to enhance their sales via a SaaS-based solution.,"16,973",,T5J 1H7,,$1M to $10M,Active,2011-01-01,year,,,2023-12-05,day,For Profit,http://granify.com,http://twitter.com/granify,https://www.facebook.com/Granify,https://www.linkedin.com/company/2403940,hello@granify.com,1(888) 340-8429,19,,"Granify is an Edmonton-based company backed by several of the strongest venture capital firms in Canada and the US. They are at the intersection of artificial intelligence and e-commerce, providing a SaaS solution that enables online retailers to maximize their sales by using cutting edge big data and machine learning technologies. They are a small but growing team of eager entrepreneurial individuals that enjoy working in a fun, creative, and agile environment.",,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Sales and Marketing, Software",2,"Jeff Lawrence, Xiaomeng Wan",11-50,6,M&A,2015-05-26,9000000,CAD,7257409,Series A,9000000,CAD,7257409,Series A,8757409,USD,8757409,13475410,USD,13475410,"Inovia Capital, BDC Venture Capital, Valar Ventures, Startup Edmonton, Social Starts",2,25
Nervana,https://www.crunchbase.com/organization/nervana-systems,"Artificial Intelligence (AI), Big Data, Cloud Computing, Hardware, Information Technology, Machine Learning, Open Source, Software","San Diego, California, United States",Nervana focuses on building technology to power the next generation of intelligent applications.,"21,643","Greater San Diego Area, West Coast, Western US",92121,,$10M to $50M,Closed,2014-01-01,year,2017-12-18,day,2016-08-09,day,For Profit,http://nervanasys.com,http://twitter.com/nervanasys,http://www.facebook.com/nervanasys,https://www.linkedin.com/company/nervanasys/,info@nervanasys.com,,94,Yes,"Nervana focuses on building technology to power the next generation of intelligent applications. Founded by experts in machine learning, neuroscience, processor architecture, and chip design, Nervana Systems is bringing unprecedented scale and simplicity to the application of brain-inspired algorithms.  It was founded in 2014 and headquartered in San Diego, California.",,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Information Technology, Internet Services, Science and Engineering, Software",3,"Amir Khosrowshahi, Arjun Bansal, Naveen Rao",11-50,3,M&A,2015-06-04,20500000,USD,20500000,Series A,20500000,USD,20500000,Series A,24400000,USD,24400000,24400000,USD,24400000,"DCVC, Threshold, Playground Global, AME Cloud Ventures, SV Angel",2,21
Social Power,https://www.crunchbase.com/organization/social-power-961c,"Analytics, Big Data, Machine Learning, Social Media","Kwun Tong, Kowloon, Hong Kong",Social Power tracks real-time consumer conversations with our award-winning social intelligence platform.,"816,534",Asia-Pacific (APAC),,,,Active,2011-01-01,year,,,,,For Profit,http://www.sopwr.com,,https://www.facebook.com/socialpowerintelligence,https://www.linkedin.com/company/social-power-limited/,winston.law@sopwr.com,852-3483-1338,1,,"Social Power Limited (SPL) provides award-winning social intelligence platform for Social Listening, KOL analysis and Crisis Alerts in Asia.  With proprietary AI technology, SPL turns data into invaluable insights generated from consumers’ mentions.  Our social media specialists help clients gain success in their respective social media territories. Our monitoring platforms coverage includes Forums, Facebook, Instagram, Twitter, YouTube, Blogs, News, Sina Weibo, WeChat, and more.",,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Internet Services, Media and Entertainment, Software",2,"Felix Ng, Winston Law",11-50,2,Early Stage Venture,2012-02-01,1000000,USD,1000000,Series A,1000000,USD,1000000,Series A,1400000,USD,1400000,1400000,USD,1400000,Ameba Capital,,1
Neomatix,https://www.crunchbase.com/organization/neomatix,"Computer Vision, Information Technology, Machine Learning","Tel Aviv, Tel Aviv, Israel",Automated Tire Monitoring and Management for Vehicle Fleets,"817,622","Europe, Middle East, and Africa (EMEA), Middle East, Middle East and North Africa (MENA)",69719,,Less than $1M,Active,2011-01-01,year,,,,,For Profit,http://www.neomatix.com/,https://twitter.com/neo_matix,https://www.facebook.com/myneomatix,https://www.linkedin.com/company/neomatix,info@neo-matix.com,972 5 4653 4030,1,,"Neomatix is an Israeli startup; developing automated tire monitoring solutions for vehicles based on advanced computer vision and machine learning algorithms. This unique and highly disruptive solution uses an electro-optic scanning device placed at strategic locations such as depot or parking lot gates, gas stations and toll roads to automatically inspect passing vehicles for tire and wheel problems. Using the Company’s solution helps fleet operators significantly improve their bottom line, safety, up time and carbon footprint by automatically monitoring tires for health issues such as under inflation, wear, tear, foreign objects, asymmetry, over heating, wheel alignment and more. The system can even detect stolen and incompatible tires, and all this without installing any component on the vehicle or tires, and without any disturbance to the work routine.",,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Information Technology, Software",1,Kfir Wittmann,1-10,1,Seed,2012-10-25,,,,Seed,,,,Seed,,,,,,,Tel Aviv Angel Group,,1
Pamper Me Network,https://www.crunchbase.com/organization/pamper-me-network-2,"Advertising, Artificial Intelligence (AI), Information Technology, Internet, Social Media, Social Network, Telecommunications","Toronto, Ontario, Canada",The Pamper Me Network develops Social Rewards technology and artificial intelligence (AI) strategies for individuals and businesses.,"825,207",Great Lakes,,,,Active,2012-01-01,day,,,,,For Profit,http://www.pampermenetwork.com,https://twitter.com/pampermenetwork,https://www.facebook.com/groups/6420460657966613,https://www.linkedin.com/company/pampermenetwork/about/,info@woahmedia.com,,1,,"The Pamper Me Network develops Social Rewards technology for Web Designers, Experts, Crowd Funders & Business Opportunity Seekers that want to reward Internet users for their support; expand their personal & business networks; make & raise more money; find more customers & donors and keep customers, fans & donors happy. The Pamper Me Network (PMN) is committed to helping CREATORS to monetize their content using Artificial Intelligence, NFT, Tipping, Crowd Funding & Social Rewards technology.",,,,,,,,,,,,,,,,,,,"Advertising, Artificial Intelligence (AI), Data and Analytics, Hardware, Information Technology, Internet Services, Media and Entertainment, Sales and Marketing, Science and Engineering, Software",2,"Fitz Morrison, Matrix Thompson",11-50,1,Seed,2015-01-01,,,,Pre-Seed,,,,Pre-Seed,,,,,,,LaunchYU,,1
Composure,https://www.crunchbase.com/organization/composure,"Email, Machine Learning, SaaS, Software","San Francisco, California, United States",Composure is a software company.,"828,113","San Francisco Bay Area, West Coast, Western US",4104-5401,,,Closed,2014-01-01,year,,none,,,For Profit,http://getcomposure.com/,http://twitter.com/GetComposure,http://www.facebook.com/getcomposure,,,,1,,Composure provides auto complete email solutions. That also offers chrome extension options for digital platforms.,,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Messaging and Telecommunications, Software",3,"Daniel Tse, Mitchell Quille, Ricky Robinson",11-50,2,Seed,2014-04-03,50000,USD,50000,Seed,50000,USD,50000,Seed,50000,USD,50000,50000,USD,50000,"Startmate, Blackbird Ventures",1,2
LemonFish Technologies,https://www.crunchbase.com/organization/lemonfish-technologies,"Analytics, Artificial Intelligence (AI), Information Services, Information Technology","Reston, Virginia, United States",LemonFish Technologies provides cyber security and data protection to organizations.,"834,533","Washington DC Metro Area, East Coast, Southern US",,Women Founded,$1M to $10M,Closed,2014-01-01,year,2022-07-22,day,,,For Profit,https://lemon.fish,https://www.twitter.com/lemonfishtech,https://www.facebook.com/lemonfishtechnologies,,,571-699-0404,,,"LemonFish is your scouting team outside your perimeter, your watch dog inside your perimeter, and your automated red team looking for data exposure. If your cyber-perimeter failed, how would you know? LemonFish tells you about data leakage, insider threats, and exposure of confidential information. Our proprietary machine learning analyzes the examples that you provide, then scours the open, deep, and dark web to find precisely the sensitive data that you care about. Our systems operate at bigger-than-Google-scale. This comprehensive and precise knowledge reduces risk, preserves brand reputation, and protects your critical assets.",,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",3,"Lance Forbes, Mary Beth Borgwing, Thomas Ottoson",11-50,1,,2014-07-01,3000000,USD,3000000,Venture - Series Unknown,3000000,USD,3000000,Venture - Series Unknown,3000000,USD,3000000,3000000,USD,3000000,LLR Partners,,1
Pertinence Data Intelligence,https://www.crunchbase.com/organization/pertinence-data-intelligence,"Artificial Intelligence (AI), Business Intelligence, Consumer Electronics, CRM, Information Technology, Machine Learning, Manufacturing, Robotics, Software","Paris, Ile-de-France, France","Pertinence Data Intelligence is a provider of Intelligence software, enabling real-time causal and predictive analytics.","834,944","European Union (EU), Europe, Middle East, and Africa (EMEA)",75002,,,Active,2000-01-01,year,,,2007-07-25,day,For Profit,,,,,,,2,,"Pertinence is a global leader in Enterprise Manufacturing Intelligence software, enabling the extraction, application, control, and sharing of Best Operational Practices (BOPs). Pertinence develops software dedicated to optimizing industrial processes and complex systems. Through its innovative, leading-edge data analysis technology, Pertinence empowers professionals to improve process quality, reduce time to market for product launches and better manage complex systems' initial set up. Pertinence, a Microsoft Certified Partner, is located in Europe and the United States,  and customers include industry leaders from the Pharma-Biotech, Aerospace and Defense and Industrial Products sectors, including Airbus, BMW, Sanofi Pasteur, Siemens, etc.",,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Consumer Electronics, Data and Analytics, Hardware, Information Technology, Manufacturing, Sales and Marketing, Science and Engineering, Software",,,11-50,1,M&A,2004-02-04,3400000,EUR,4262425,Venture - Series Unknown,3400000,EUR,4262425,Venture - Series Unknown,3400000,EUR,4262425,3400000,EUR,4262425,"Partech, Advent Venture Partners",,2
