Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Seed Round - Themis AI,https://www.crunchbase.com/funding_round/themis-ai-seed--bada76db,Themis AI,https://www.crunchbase.com/organization/themis-ai,Seed,2824998,USD,2824998,2023-02-17,Seed,,,,Yes,Know what your model does not know.,"Artificial Intelligence (AI), Information Technology, Machine Learning",Women Founded,"Cambridge, Massachusetts, United States, North America",https://themisai.io/,$1M to $10M,2824998,USD,2824998,Seed,2,,"E62 Ventures, Mozilla Ventures, The E14 Fund",3,,"4,096"
Series A - Marlee (Fingerprint For Success),https://www.crunchbase.com/funding_round/fingerprint-for-success-series-a--3b36b9c2,Marlee (Fingerprint For Success),https://www.crunchbase.com/organization/fingerprint-for-success,Series A,5000000,AUD,3536518,2023-02-02,Early Stage Venture,,,,Yes,Marlee is a collaboration and performance AI for individuals and teams to bring out the best in everyone.,"Artificial Intelligence (AI), Personal Development, Predictive Analytics, Productivity Tools, Software",,"Sydney, New South Wales, Australia, Oceania",https://getmarlee.com,$1M to $10M,7675000,AUD,5436332,Early Stage Venture,3,Investible,"Black Nova Group, Cameron Adams, Christian Wanner, Cliff Obrecht, David Vitek, Elomida Visviki, Five V Capital, Investible, Lars Rasmussen, Lisa Kate Miller, Melanie Perkins, Roger Allen, Salesforce Ventures",13,3,"5,026"
Pre Seed Round - Artificial.Agency,https://www.crunchbase.com/funding_round/artificial-agency-pre-seed--1b5c35a4,Artificial.Agency,https://www.crunchbase.com/organization/artificial-agency,Pre-Seed,5000000,CAD,3695901,2023-04-01,Seed,,,,Yes,Artificial Agency is an AI firm that is pioneering generative behavior in gaming.,"Artificial Intelligence (AI), Software",,"Edmonton, Alberta, Canada, North America",https://www.artificial.agency,,22000000,CAD,16157088,Seed,2,Radical Ventures,Radical Ventures,1,,"5,088"
Pre Seed Round - Arya,https://www.crunchbase.com/funding_round/arya-4595-pre-seed--e8ff7184,Arya,https://www.crunchbase.com/organization/arya-4595,Pre-Seed,2100000,USD,2100000,2022-04-01,Seed,,,,Yes,"Arya's AI concierge makes it radically easy for couples to invest in their relationship and love life, inside and outside the bedroom.","Artificial Intelligence (AI), Consumer, Wellness",,,https://www.arya.fyi/start,,13800000,USD,13800000,Seed,3,,"2B Angels, Adam Breckler, Anton Gauffin, Asaf Ezra, at.inc/, Harpreet Rai, Heracles Capital, Naama Stauber Breckler, Neil Parikh, Roy Erez, Roy Rubin, Tomer London, Yasmin Lukatz, Ziv Elul",14,1,"8,437"
Seed Round - Fulfilld,https://www.crunchbase.com/funding_round/fulfilld-io-seed--7d676b07,Fulfilld,https://www.crunchbase.com/organization/fulfilld-io,Seed,3200000,USD,3200000,2022-11-10,Seed,17000000,USD,17000000,Yes,"Fulfilld is a warehouse management optimization platform driving higher productivity, greater efficiencies, and happier warehouse workers.","Artificial Intelligence (AI), Enterprise Software, Information Services, Machine Learning, SaaS",,"Denver, Colorado, United States, North America",https://www.fulfilld.io,$1M to $10M,10203000,USD,10203000,Seed,6,Heartland Ventures,"Dundee Venture Capital, Heartland Ventures, Jeffrey Wilke, Matchstick Ventures, Oren Zaslansky, Pi Labs, TenOneTen Ventures",7,3,"9,556"
Venture Round - Ainstec,https://www.crunchbase.com/funding_round/ainstec-series-unknown--4c2549f8,Ainstec,https://www.crunchbase.com/organization/ainstec,Venture - Series Unknown,2810000,USD,2810000,2022-10-08,,,,,Yes,Ainstec is a domestic high-tech enterprise focusing on AI and 3D independent core chip technology.,"3D Technology, Artificial Intelligence (AI), Software",,"Suzhou, Jiangsu, China, Asia",https://ainstec.cn/,,2810000,USD,2810000,,1,Meridian Capital Partners,"Meridian Capital Partners, Shangluo Hainan Investment, Shenzhen Maxonic Automation Control, Silicon Harbor Capital",4,,"9,555"
Seed Round - Myko,https://www.crunchbase.com/funding_round/myko-60a9-seed--2a0f6411,Myko,https://www.crunchbase.com/organization/myko-60a9,Seed,2700000,USD,2700000,2022-02-26,Seed,,,,Yes,Myko AI allows users to explore and analyze their Salesforce data with instant analysis through their dashboard.,"Artificial Intelligence (AI), Marketing, Software",,"New York, New York, United States, North America",https://www.myko.ai,,2700000,USD,2700000,Seed,1,Khosla Ventures,"AngelList, AngelList Quant Fund, DayDream Ventures, Khosla Ventures, Zero Knowledge",5,1,"11,403"
Pre Seed Round - Coach Welly,https://www.crunchbase.com/funding_round/the-wellness-program-pre-seed--ac5a0e21,Coach Welly,https://www.crunchbase.com/organization/the-wellness-program,Pre-Seed,4250000,AUD,2718196,2022-11-01,Seed,4000000,AUD,2558302,Yes,"AI-powered health platform enabling gyms, corporates & insurers to engage, support and reward their members/employees.","Artificial Intelligence (AI), Fitness, Software, Wellness",,"Brisbane, Queensland, Australia, Oceania",https://coachwelly.com,Less than $1M,4250000,AUD,2718196,Seed,1,AngelLoop,"AngelLoop, Brisbane Angels",2,1,"11,209"
Seed Round - Beam,https://www.crunchbase.com/funding_round/beam-cloud-seed--0b3483e0,Beam,https://www.crunchbase.com/organization/beam-cloud,Seed,3500000,USD,3500000,2022-05-10,Seed,,,,Yes,"Beam is the infrastructure provider for the fastest growing AI products for companies who need performance, control, and reliability.","Artificial Intelligence (AI), Developer Tools, Machine Learning",,"New York, New York, United States, North America",https://beam.cloud,,3500000,USD,3500000,Seed,1,Tiger Global Management,"Alumni Ventures, Arena Holdings, Charge Ventures, Guy Podjarny, Jason Warner, Pareto Holdings, Remote First Capital, Sequoia Scout, Soma Capital, The Runway fund, Tiger Global Management, TwentyTwo VC, Uncorrelated Ventures, Y Combinator",14,,"11,593"
Pre Seed Round - Stack AI,https://www.crunchbase.com/funding_round/stack-87fd-pre-seed--ae4078a4,Stack AI,https://www.crunchbase.com/organization/stack-87fd,Pre-Seed,3000000,USD,3000000,2023-04-05,Seed,,,,Yes,Stack AI offers a no-code platform to deploy enterprise-grade AI applications and automated workflows.,"Artificial Intelligence (AI), Consulting, E-Commerce, Information Technology, Internet, Machine Learning, Software",,"Cambridge, Massachusetts, United States, North America",https://stack-ai.com,$1M to $10M,3000000,USD,3000000,Seed,1,Y Combinator,"Beat Ventures, Epakon Capital, Gradient Ventures, Lambda, Soma Capital, True Capital Management, Y Combinator",7,,"12,045"
