Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Seed Round - Hudled,https://www.crunchbase.com/funding_round/hudled-seed--c109c8f3,Hudled,https://www.crunchbase.com/organization/hudled,Seed,640000,USD,640000,2021-03-15,Seed,,,,Yes,Hudled’s SaaS Intelligence Platform enables finance teams in high-growth startups to manage the full lifecycle of their SaaS stack.,"Analytics, Artificial Intelligence (AI), Internet, SaaS, Software",,"Sydney, New South Wales, Australia, Oceania",http://hudled.com/,Less than $1M,734375,USD,734375,Seed,2,Artesian VC,"Antler, Artesian VC, Black Nova Group, Christian Wanner, Josh Kalderimis, Justus Hammer, LVT Capital, Sydney Angels",8,,"6,357"
Pre Seed Round - Verdi,https://www.crunchbase.com/funding_round/verdi-ecaf-pre-seed--32273d75,Verdi,https://www.crunchbase.com/organization/verdi-ecaf,Pre-Seed,980000,CAD,775246,2021-03-01,Seed,3500000,USD,3500000,Yes,Bringing the benefits of indoor farming to the 99% of crops growing outdoors.,"Agriculture, Artificial Intelligence (AI), Information Services, Information Technology",,"Vancouver, British Columbia, Canada, North America",http://verdiag.com/,$1M to $10M,980000,CAD,775246,Seed,7,Startup Haven Ventures,"Alchemist Accelerator, RareBreed Ventures, Red Thread Ventures, Startup Haven Ventures",4,1,"22,708"
Convertible Note - Leya AI,https://www.crunchbase.com/funding_round/leya-ai-convertible-note--d0ca80e9,Leya AI,https://www.crunchbase.com/organization/leya-ai,Convertible Note,800000,EUR,924321,2021-10-06,,,,,No,At Leya AI we are building the next generation of personal coaching powered by Large Language Models,"Apps, Artificial Intelligence (AI), Consumer Applications, EdTech, Generative AI, Language Learning, Mobile Apps",,"Siauliai, Siauliu Apskritis, Lithuania, Europe",https://leyaai.com/,,2000000,EUR,2231112,Seed,3,,"70Ventures, Donatas Dailide, Grouport Ventures, Startup Wise Guys",4,,"25,929"
Seed Round - Coram AI,https://www.crunchbase.com/funding_round/coram-ai-seed--51a0817e,Coram AI,https://www.crunchbase.com/organization/coram-ai,Seed,1000000,USD,1000000,2021-11-01,Seed,,,,Yes,Coram AI creates video intelligence systems for businesses.,"Artificial Intelligence (AI), Computer Vision, Intelligent Systems, Security, Software",,"Sunnyvale, California, United States, North America",https://www.coram.ai,$1M to $10M,16500000,USD,16500000,Seed,2,,K5 Global,1,,"28,854"
Pre Seed Round - Meaning,https://www.crunchbase.com/funding_round/meaning-8b83-pre-seed--dfb7f999,Meaning,https://www.crunchbase.com/organization/meaning-8b83,Pre-Seed,250000,USD,250000,2021-12-06,Seed,,,,Yes,Meaning is a software company that provides advanced machine learning services for communication over digital platforms.,"Audio, Machine Learning, Virtual Reality",,"Baltimore, Maryland, United States, North America",https://meaning.team,,250000,USD,250000,Seed,1,,K5 Global,1,,"31,083"
Pre Seed Round - Encord,https://www.crunchbase.com/funding_round/cord-0d3f-pre-seed--f80bec7c,Encord,https://www.crunchbase.com/organization/cord-0d3f,Pre-Seed,500000,USD,500000,2021-02-19,Seed,,,,Yes,Encord is a data development platform for AI,"Artificial Intelligence (AI), Computer Vision, Machine Learning, Software",,"San Francisco, California, United States, North America",https://encord.com,,20000000,USD,20000000,Early Stage Venture,3,Y Combinator,"Liquid 2 Ventures, Y Combinator",2,,"33,273"
Series C - Placer.ai,https://www.crunchbase.com/funding_round/placer-series-c--e3dbae25,Placer.ai,https://www.crunchbase.com/organization/placer,Series C,500000,USD,500000,2021-07-01,Late Stage Venture,,,,Yes,Placer.ai offers a traffic analytics platform that allows anyone to generate insights into any property.,"Analytics, Artificial Intelligence (AI), Consumer, Geospatial, Software",,"Los Altos, California, United States, North America",https://www.placer.ai,$100M to $500M,247505828,USD,247505828,,11,,"MDL Investments, Partner Ventures, Trousdale Ventures",3,,"34,488"
Angel Round - DeepWave,https://www.crunchbase.com/funding_round/deepwave-angel--872393cb,DeepWave,https://www.crunchbase.com/organization/deepwave,Angel,14000000,TWD,503217,2021-03-01,Seed,,,,Yes,"SaaS, Audio AI, Music, Voice","Artificial Intelligence (AI), Digital Entertainment, Digital Media, Information Technology, Music, Music Education, Software",,"Taipei, T'ai-pei, Taiwan, Asia",https://dwave.cc/,,15005800,TWD,535322,Seed,2,CMedia,"CMedia, JUNG-TSUNG CHIEN, National Development Fund Angel Program",3,,"35,553"
Seed Round - Flare Bright,https://www.crunchbase.com/funding_round/flare-bright-seed--df11c5ac,Flare Bright,https://www.crunchbase.com/organization/flare-bright,Seed,500000,GBP,683793,2021-02-01,Seed,,,,Yes,"Flare Bright builds all types of unmanned aircraft and uses integrated machine learning to solve sensing, navigation, control, and problems.","Aerospace, Artificial Intelligence (AI), Machine Learning",,"Westcott, Buckinghamshire, United Kingdom, Europe",https://flarebright.com,,500000,GBP,683793,Seed,2,"Britbots, Highland Venture Capital","Britbots, Highland Venture Capital",2,,"41,135"
Seed Round - tenac.io,https://www.crunchbase.com/funding_round/tenac-io-seed--cafce065,tenac.io,https://www.crunchbase.com/organization/tenac-io,Seed,500000,EUR,596607,2021-03-22,Seed,,,,Yes,Tenac.io is an AI-driven therapy optimization for cardiovascular patients.,"Health Care, Machine Learning, Software",,"Berlin, Berlin, Germany, Europe",http://www.tenac.io,Less than $1M,1200000,EUR,1371787,Seed,5,Sir Michael Hintze,"Sir Michael Hintze, Tanegra LLC Series H",2,,"40,372"
