Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Organization Website,Diversity Spotlight,Organization Location,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Pre Seed Round - AI-NC,https://www.crunchbase.com/funding_round/ai-nc-pre-seed--2b3c6728,AI-NC,https://www.crunchbase.com/organization/ai-nc,Pre-Seed,20000,AUD,14880,2021-07-13,Seed,,,,Yes,AI-NC is a AI design co-pilot for mechanical engineers that automates and optimises the design for manufacture process.,"Analytics, Artificial Intelligence (AI), Mechanical Engineering, Software",https://www.ai-nc.com/,,"Collingwood, Victoria, Australia, Oceania",,20000,AUD,14880,Seed,2,Melbourne Accelerator Program,"Boson Ventures, Melbourne Accelerator Program",2,1,"14,034"
Pre Seed Round - Platypus,https://www.crunchbase.com/funding_round/platypus-aaf4-pre-seed--53f64064,Platypus,https://www.crunchbase.com/organization/platypus-aaf4,Pre-Seed,125000,USD,125000,2021-03-23,Seed,,,,Yes,Platypus is an AI startup that introduces a cutting-edge distributed data operating system to manage distributed and real-time data faster.,"Artificial Intelligence (AI), B2B, Marketing Automation, Software",https://www.getplatypus.com/,,"San Francisco, California, United States, North America",,125000,USD,125000,Seed,1,Y Combinator,Y Combinator,1,,"15,787"
Seed Round - Parrots,https://www.crunchbase.com/funding_round/parrots-inc-seed--b0338710,Parrots,https://www.crunchbase.com/organization/parrots-inc,Seed,30000,USD,30000,2021-09-10,Seed,,,,Yes,SaaS AI/ML platform providing real-time voice and telecare to people with neurological disorders,"Artificial Intelligence (AI), Computer Vision, Health Care, Medical Device, Neuroscience, Software",https://www.flyparrots.com/,,"Seattle, Washington, United States, North America",,400000,USD,400000,Seed,8,,Health Wildcatters,1,,"20,272"
Pre Seed Round - Compose.AI,https://www.crunchbase.com/funding_round/compose-ai-pre-seed--957aeac5,Compose.AI,https://www.crunchbase.com/organization/compose-ai,Pre-Seed,125000,USD,125000,2021-03-23,Seed,,,,Yes,Accelerate your writing time by 40% with AI-powered autocompletion,"Artificial Intelligence (AI), Consumer, Email, Messaging",https://www.compose.ai/,,"San Francisco, California, United States, North America",Less than $1M,2225000,USD,2225000,Seed,2,Y Combinator,Y Combinator,1,,"20,737"
Pre Seed Round - Moonvalley,https://www.crunchbase.com/funding_round/moonvalley-c1d1-pre-seed--29a5672a,Moonvalley,https://www.crunchbase.com/organization/moonvalley-c1d1,Pre-Seed,125000,USD,125000,2021-03-23,Seed,,,,Yes,Moonvalley builds cinematic videos with AI where generative image will be created with capable video and image foundational models.,"Artificial Intelligence (AI), Software, Video",https://moonvalley.ai/,,"Toronto, Ontario, Canada, North America",,125000,USD,125000,Seed,1,Y Combinator,Y Combinator,1,,"20,953"
Pre Seed Round - PeopleCQ,https://www.crunchbase.com/funding_round/peoplecq-pre-seed--ab3a4229,PeopleCQ,https://www.crunchbase.com/organization/peoplecq,Pre-Seed,125000,USD,125000,2021-03-23,Seed,,,,Yes,PeopleCQ is an AI-based recruitment platform that offers various human resource management services.,"Artificial Intelligence (AI), Human Resources, Recruiting, Software",https://www.peoplecq.com/,,"Cairo, Al Qahirah, Egypt, Africa",,125000,USD,125000,Seed,1,Y Combinator,Y Combinator,1,,"20,989"
Pre Seed Round - FirstSupport,https://www.crunchbase.com/funding_round/firstsupport-pre-seed--445e1295,FirstSupport,https://www.crunchbase.com/organization/firstsupport,Pre-Seed,125000,USD,125000,2021-03-23,Seed,,,,Yes,FirstSupport is an AI-powered assistant for customer support that supports agents with automating translation and summarizing conversations.,"Artificial Intelligence (AI), Customer Service, SaaS",https://firstsupport.ai/,,"Bandung, Jawa Barat, Indonesia, Asia",,125000,USD,125000,Seed,1,Y Combinator,Y Combinator,1,,"21,060"
Seed Round - Neton,https://www.crunchbase.com/funding_round/neton-5647-seed--ae179879,Neton,https://www.crunchbase.com/organization/neton-5647,Seed,250000000,KRW,212690,2021-09-16,Seed,,,,Yes,"Neton is an AI technology platform that designs and develops AI face recognition, object recognition, and AI algorithms for businesses.","Artificial Intelligence (AI), Facial Recognition, Information Technology",http://neton.co.kr,,"Gwangju, Kwangju-jikhalsi, South Korea, Asia",,1450000000,KRW,1204581,,2,Hexagon Investments,"Arka Investment Advisory Services, Hana Financial Investment, Hexagon Investments",3,,"23,702"
Grant - Pison,https://www.crunchbase.com/funding_round/pison-grant--23782ab4,Pison,https://www.crunchbase.com/organization/pison,Grant,200000,USD,200000,2021-06-30,,,,,No,Pison is a human performance company optimizing cognitive and physiological capability through gesture control.,"Artificial Intelligence (AI), Computer, Information Technology, Robotics",https://pisontechnology.com,,"Boston, Massachusetts, United States, North America",Less than $1M,9271987,USD,9271987,Early Stage Venture,9,,MassVentures,1,,"24,853"
Pre Seed Round - Basis,https://www.crunchbase.com/funding_round/basis-9c3a-pre-seed--b0c07f94,Basis,https://www.crunchbase.com/organization/basis-9c3a,Pre-Seed,125000,USD,125000,2021-08-31,Seed,,,,Yes,Basis is a platform for building end-to-end data pipelines ridiculously fast — everything from ingestion to ETL.,"Machine Learning, Software",https://www.getbasis.com/,,"San Francisco, California, United States, North America",,125000,USD,125000,Seed,1,,Y Combinator,1,,"29,487"
Pre Seed Round - Soraban,https://www.crunchbase.com/funding_round/soraban-pre-seed--92598f8c,Soraban,https://www.crunchbase.com/organization/soraban,Pre-Seed,125000,USD,125000,2021-03-23,Seed,,,,Yes,Soraban is a cloud-based platform that modernizes and automates menial work for tax firms.,"Artificial Intelligence (AI), Robotic Process Automation (RPA), Software",https://www.soraban.com,,"San Francisco, California, United States, North America",$1M to $10M,250000,USD,250000,Seed,3,Y Combinator,Y Combinator,1,,"30,338"
Pre Seed Round - Vapi,https://www.crunchbase.com/funding_round/vapi-97c4-pre-seed--c01e2449,Vapi,https://www.crunchbase.com/organization/vapi-97c4,Pre-Seed,125000,USD,125000,2021-03-23,Seed,,,,Yes,Vapi provides artificial intelligence services for group meetings.,"Artificial Intelligence (AI), Machine Learning",https://vapi.ai/,,"San Francisco, California, United States, North America",,125000,USD,125000,Seed,1,Y Combinator,Y Combinator,1,1,"30,846"
Pre Seed Round - HyperGlue,https://www.crunchbase.com/funding_round/hyperglue-pre-seed--0feb356c,HyperGlue,https://www.crunchbase.com/organization/hyperglue,Pre-Seed,125000,USD,125000,2021-03-23,Seed,,,,Yes,HyperGlue is a natural language platform designed to transform unstructured data into real-time business insights.,"Analytics, Big Data, Machine Learning, Software",https://hyperglue.com/,,"San Mateo, California, United States, North America",,250000,USD,250000,Seed,2,Y Combinator,Y Combinator,1,,"30,895"
