Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Number of Funding Rounds,Funding Status,Lead Investors,Investor Names,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Series C - Flo Health,https://www.crunchbase.com/funding_round/owhealth-series-c--81d54105,Flo Health,https://www.crunchbase.com/organization/owhealth,Series C,156000000,GBP,200576013,2024-07-30,Late Stage Venture,800000000,USD,800000000,Yes,"Flo Health develops a women’s health app that provides access to cycle tracking, health insights, and a private community.","Apps, Artificial Intelligence (AI), Health Care, Wellness, Women's",,"London, England, United Kingdom, Europe",https://flo.health,$50M to $100M,276076013,USD,276076013,6,Late Stage Venture,General Atlantic,General Atlantic,1,1,7
Series A - Sahara AI,https://www.crunchbase.com/funding_round/sahara-ai-series-a--471d16a3,Sahara AI,https://www.crunchbase.com/organization/sahara-ai,Series A,37000000,USD,37000000,2024-08-14,Early Stage Venture,,,,Yes,"Sahara AI is a decentralized AI network that enables freely and securely deploy autonomous AI with high-performance, privacy-first network.","Artificial Intelligence (AI), Blockchain, Decentralized Finance (DeFi), Web3",,"Los Angeles, California, United States, North America",https://saharalabs.ai,,43000000,USD,43000000,2,Early Stage Venture,"Binance Labs, Pantera Capital, Polychain","Aegis Ventues, Alumni Ventures, Binance Labs, Canonical Crypto, Coho Deeptech, dao5, Dispersion Capital, Elvis Zhang, Foresight Ventures, GeekCartel, Laksh Vaaman Sehgal, Matrix, Mirana, Motherson Innovations, Nomad Capital, Pantera Capital, Polychain, Rohan Taori, Samsung NEXT, SCB 10X, Sequoia Capital, Tangent, Teknium ‎‏‏‎ ‎, Vipul Ved Prakash",24,3,16
Series B - Faye,https://www.crunchbase.com/funding_round/faye-travel-insurance-series-b--432ff7e5,Faye,https://www.crunchbase.com/organization/faye-travel-insurance,Series B,31000000,USD,31000000,2024-07-30,Early Stage Venture,,,,Yes,Faye is a travel insurance company that offers person-first travel insurance and assistance.,"Insurance, InsurTech, Predictive Analytics, Transportation, Travel",,"Tel Aviv, Tel Aviv, Israel, Asia",https://www.withfaye.com,,49000000,USD,49000000,5,Early Stage Venture,Portage Ventures,"F2 Venture Capital, Lumir Ventures, Munich Re Ventures, Portage Ventures, Viola Ventures",5,3,15
Series D - Groq,https://www.crunchbase.com/funding_round/groq-series-d--930c54a5,Groq,https://www.crunchbase.com/organization/groq,Series D,640000000,USD,640000000,2024-08-05,Late Stage Venture,2160000000,USD,2160000000,Yes,"Groq radically simplifies compute to accelerate workloads in artificial intelligence, machine learning, and high-performance computing.","Artificial Intelligence (AI), Electronics, Machine Learning, Semiconductor",,"Mountain View, California, United States, North America",http://groq.com,,1002550552,USD,1002550552,6,Late Stage Venture,BlackRock,"BlackRock, Cisco Investments, E1 Ventures, Firestreak Ventures, Global Brain Corporation, Neuberger Berman, Samsung Catalyst Fund, Type One Ventures, Verdure Capital Management",9,2,17
Secondary Market - Trio Mobil,https://www.crunchbase.com/funding_round/trio-mobil-secondary-market--ca4e7f29,Trio Mobil,https://www.crunchbase.com/organization/trio-mobil,Secondary Market,26500000,USD,26500000,2024-07-29,,,,,No,Trio Mobil develops solutions to prevent accidents and improve efficiency in industrial operations to achieve the zero accident goal.,"Artificial Intelligence (AI), Big Data, Enterprise Software, Internet of Things, SaaS",,"Marietta, Georgia, United States, North America",http://www.triomobil.com,,32700000,USD,32700000,3,Early Stage Venture,NewSpring,"100 Yıl Venture Capital, 212, NewSpring",3,2,20
Series A - Trunk Tools,https://www.crunchbase.com/funding_round/trunk-tools-series-a--4d5d6d0c,Trunk Tools,https://www.crunchbase.com/organization/trunk-tools,Series A,20000000,USD,20000000,2024-08-20,Early Stage Venture,,,,Yes,"Trunk Tools is a construction AI platform that automates construction workflows for project managers, superintendents, and executivies.","Artificial Intelligence (AI), FinTech, Productivity Tools, Software",Women Founded,"New York, New York, United States, North America",https://trunktools.com,$1M to $10M,29900000,USD,29900000,3,Early Stage Venture,Redpoint,"AEC Angels, Charps, Innovation Endeavors, Liberty Mutual Strategic Ventures, PruVen Capital, Redpoint, STO Building Group, Suffolk Technologies, Thornton Tomasetti, WND Ventures",10,2,33
Seed Round - Hyperbots,https://www.crunchbase.com/funding_round/hyperbots-inc-seed--e20abc14,Hyperbots,https://www.crunchbase.com/organization/hyperbots-inc,Seed,2000000,USD,2000000,2024-08-06,Seed,,,,Yes,Hyperbots specializes in developing AI-powered finance assistants that automate and transform repetitive tasks.,"Artificial Intelligence (AI), Business Intelligence",,"Dover, Delaware, United States, North America",https://www.hyperbots.com/,,2000000,USD,2000000,1,Seed,Kalaari Capital,"Athera Venture Partners, Kalaari Capital, SunICON Ventures",3,3,36
Series D - EliseAI,https://www.crunchbase.com/funding_round/meetelise-series-d--70cd4b5c,EliseAI,https://www.crunchbase.com/organization/meetelise,Series D,75000000,USD,75000000,2024-08-14,Late Stage Venture,925000000,USD,925000000,Yes,"EliseAI develops conversational AI for property management, unlocking operational efficiencies for businesses.","Artificial Intelligence (AI), Business Intelligence, Machine Learning, Property Management, PropTech, Real Estate","Women Founded, Women Led","New York, New York, United States, North America",http://www.eliseai.com,$1M to $10M,141928985,USD,141928985,5,Late Stage Venture,Sapphire Ventures,"DivcoWest, Koch Investments Group, Navitas Capital, Point72 Ventures, Sapphire Ventures",5,1,36
Series B - Protect AI,https://www.crunchbase.com/funding_round/protect-ai-series-b--1dc8e9c5,Protect AI,https://www.crunchbase.com/organization/protect-ai,Series B,60000000,USD,60000000,2024-08-02,Early Stage Venture,340000000,USD,340000000,Yes,Protect AI offers a cybersecurity platform that specializes in protecting machine learning models and artificial intelligence systems.,"Artificial Intelligence (AI), Cyber Security, Machine Learning, Security, Software",,"Seattle, Washington, United States, North America",https://protectai.com,$1M to $10M,108500000,USD,108500000,3,Early Stage Venture,Evolution Equity Partners,"01 Advisors, Acrew Capital, boldstart ventures, Evolution Equity Partners, Knollwood Capital, Pelion Venture Partners, Salesforce Ventures, Samsung Electronics, StepStone Group",9,3,50
Series A - DevRev,https://www.crunchbase.com/funding_round/devrev-series-a--f23a57f2,DevRev,https://www.crunchbase.com/organization/devrev,Series A,100825173,USD,100825173,2024-08-09,Early Stage Venture,1049174827,USD,1049174827,Yes,DevRev offers a cloud-based solution for both customer support and software development.,"Artificial Intelligence (AI), CRM, Customer Service, Developer APIs, Developer Platform, Software",,"Palo Alto, California, United States, North America",https://devrev.ai,$10M to $50M,150825173,USD,150825173,4,Early Stage Venture,"Khosla Ventures, Mayfield Fund, Param Hansa Values","Khosla Ventures, Mayfield Fund, Param Hansa Values",3,2,45
