"from";"to";"domain";"full";"binary";"expected";"untapped";"links.rca";"sum_from";"sum_to";"binary.pc";"th.max";"th.max.pc";"RD";"RD.added"
"Amsterdam (2759794)";"Aalsmeer (2760134)";"Artificial intelligence";0;0;0;0;0;0;0;0;0;0;47,16;11,89
"Amsterdam (2759794)";"Aalsmeer (2760134)";"Cybersecurity";7;7;0,14;-6,86;50;21;24;0,1301;22,5;0,0025;26,82;33,56
"Amsterdam (2759794)";"Aalsmeer (2760134)";"Data Science";0;0;0;0;0;0;0;0;0;0;42,47;23,24
"Amsterdam (2759794)";"Aalsmeer (2760134)";"FinTech";1;1;0,03;-0,97;33,33;4;5;0,0418;4,5;0,0012;25,89;21,31
"Amsterdam (2759794)";"Aalsmeer (2760134)";"ICT";8;8;0,33;-7,67;24,24;27;107;0,0172;67;7e-04;28,49;13,76
"Amsterdam (2759794)";"Aalsmeer (2760134)";"Life & Health Sciences";0;0;0;0;0;0;0;0;0;0;45,73;0,71
"Amsterdam (2759794)";"Aalsmeer (2760134)";"Nanotechnology";0;0;0;0;0;0;0;0;0;0;41,67;0,38
"Amsterdam (2759794)";"Aalsmeer (2760134)";"Quantum";0;0;0;0;0;0;0;0;0;0;23,72;7,16
"Amsterdam (2759794)";"Aalsmeer (2760134)";"Social Sciences & Humanities";0;0;0;0;0;0;0;0;0;0;53,92;8,27
"Amsterdam (2759794)";"Aalsmeer (2760134)";"Sustainability & Circularity";3;3;0,21;-2,79;14,29;12;71;0,0167;41,5;0,0012;24,09;2,59
"Amsterdam (2759794)";"Abruzzo (ITF1)";"Artificial intelligence";0;0;0;0;0;0;0;0;0;0;47,16;5,37
"Amsterdam (2759794)";"Abruzzo (ITF1)";"Cybersecurity";0;0;0;0;0;0;0;0;0;0;26,82;6,18
"Amsterdam (2759794)";"Abruzzo (ITF1)";"Data Science";0;0;0;0;0;0;0;0;0;0;42,47;4,01
"Amsterdam (2759794)";"Abruzzo (ITF1)";"FinTech";0;0;0;0;0;0;0;0;0;0;25,89;8,62
"Amsterdam (2759794)";"Abruzzo (ITF1)";"ICT";0;0;0;0;0;0;0;0;0;0;28,49;10,12
"Amsterdam (2759794)";"Abruzzo (ITF1)";"Life & Health Sciences";0;0;0;0;0;0;0;0;0;0;45,73;17,58
"Amsterdam (2759794)";"Abruzzo (ITF1)";"Nanotechnology";0;0;0;0;0;0;0;0;0;0;41,67;7,48
"Amsterdam (2759794)";"Abruzzo (ITF1)";"Quantum";0;0;0;0;0;0;0;0;0;0;23,72;13,31
"Amsterdam (2759794)";"Abruzzo (ITF1)";"Social Sciences & Humanities";0;0;0;0;0;0;0;0;0;0;53,92;5,69
"Amsterdam (2759794)";"Abruzzo (ITF1)";"Sustainability & Circularity";0;0;0;0;0;0;0;0;0;0;24,09;24,55
"Amsterdam (2759794)";"Agder and Rogaland (NO04)";"Artificial intelligence";0;0;0;0;0;0;0;0;0;0;47,16;11,5
"Amsterdam (2759794)";"Agder and Rogaland (NO04)";"Cybersecurity";0;0;0;0;0;0;0;0;0;0;26,82;12,87
"Amsterdam (2759794)";"Agder and Rogaland (NO04)";"Data Science";0;0;0;0;0;0;0;0;0;0;42,47;12,21
"Amsterdam (2759794)";"Agder and Rogaland (NO04)";"FinTech";0;0;0;0;0;0;0;0;0;0;25,89;25,89
"Amsterdam (2759794)";"Agder and Rogaland (NO04)";"ICT";0;0;0;0;0;0;0;0;0;0;28,49;15,35
"Amsterdam (2759794)";"Agder and Rogaland (NO04)";"Life & Health Sciences";0;0;0;0;0;0;0;0;0;0;45,73;7,88
"Amsterdam (2759794)";"Agder and Rogaland (NO04)";"Nanotechnology";0;0;0;0;0;0;0;0;0;0;41,67;7,43
"Amsterdam (2759794)";"Agder and Rogaland (NO04)";"Quantum";0;0;0;0;0;0;0;0;0;0;23,72;4,45
"Amsterdam (2759794)";"Agder and Rogaland (NO04)";"Social Sciences & Humanities";0;0;0;0;0;0;0;0;0;0;53,92;13,38
"Amsterdam (2759794)";"Agder and Rogaland (NO04)";"Sustainability & Circularity";0;0;0;0;0;0;0;0;0;0;24,09;34,06
"Amsterdam (2759794)";"Alentejo (PT18)";"Artificial intelligence";0;0;0;0;0;0;0;0;0;0;47,16;5,06
"Amsterdam (2759794)";"Alentejo (PT18)";"Cybersecurity";0;0;0;0;0;0;0;0;0;0;26,82;8,38
"Amsterdam (2759794)";"Alentejo (PT18)";"Data Science";0;0;0;0;0;0;0;0;0;0;42,47;8,6
"Amsterdam (2759794)";"Alentejo (PT18)";"FinTech";0;0;0;0;0;0;0;0;0;0;25,89;23,44
"Amsterdam (2759794)";"Alentejo (PT18)";"ICT";0;0;0;0;0;0;0;0;0;0;28,49;6,93
"Amsterdam (2759794)";"Alentejo (PT18)";"Life & Health Sciences";0;0;0;0;0;0;0;0;0;0;45,73;5,6
"Amsterdam (2759794)";"Alentejo (PT18)";"Nanotechnology";0;0;0;0;0;0;0;0;0;0;41,67;4,03
"Amsterdam (2759794)";"Alentejo (PT18)";"Quantum";0;0;0;0;0;0;0;0;0;0;23,72;0,93
"Amsterdam (2759794)";"Alentejo (PT18)";"Social Sciences & Humanities";0;0;0;0;0;0;0;0;0;0;53,92;9,57
"Amsterdam (2759794)";"Alentejo (PT18)";"Sustainability & Circularity";0;0;0;0;0;0;0;0;0;0;24,09;15,88
"Amsterdam (2759794)";"Algarve (PT15)";"Artificial intelligence";0;0;0;0;0;0;0;0;0;0;47,16;1,98
"Amsterdam (2759794)";"Algarve (PT15)";"Cybersecurity";0;0;0;0;0;0;0;0;0;0;26,82;1,36
"Amsterdam (2759794)";"Algarve (PT15)";"Data Science";0;0;0;0;0;0;0;0;0;0;42,47;0,92
"Amsterdam (2759794)";"Algarve (PT15)";"FinTech";0;0;0;0;0;0;0;0;0;0;25,89;1,35
"Amsterdam (2759794)";"Algarve (PT15)";"ICT";0;0;0;0;0;0;0;0;0;0;28,49;2,53
"Amsterdam (2759794)";"Algarve (PT15)";"Life & Health Sciences";0;0;0;0;0;0;0;0;0;0;45,73;15,07
"Amsterdam (2759794)";"Algarve (PT15)";"Nanotechnology";0;0;0;0;0;0;0;0;0;0;41,67;2,39
"Amsterdam (2759794)";"Algarve (PT15)";"Quantum";0;0;0;0;0;0;0;0;0;0;23,72;1,96
"Amsterdam (2759794)";"Algarve (PT15)";"Social Sciences & Humanities";0;0;0;0;0;0;0;0;0;0;53,92;2,21
"Amsterdam (2759794)";"Algarve (PT15)";"Sustainability & Circularity";0;0;0;0;0;0;0;0;0;0;24,09;2,95
"Amsterdam (2759794)";"Alkmaar (2759899)";"Artificial intelligence";0;0;0;0;0;0;0;0;0;0;47,16;5,5
"Amsterdam (2759794)";"Alkmaar (2759899)";"Cybersecurity";0;0;0;0;0;0;0;0;0;0;26,82;6,78
"Amsterdam (2759794)";"Alkmaar (2759899)";"Data Science";0;0;0;0;0;0;0;0;0;0;42,47;7,98
"Amsterdam (2759794)";"Alkmaar (2759899)";"FinTech";0;0;0;0;0;0;0;0;0;0;25,89;18,75
"Amsterdam (2759794)";"Alkmaar (2759899)";"ICT";0;0;0;0;0;0;0;0;0;0;28,49;5,83
"Amsterdam (2759794)";"Alkmaar (2759899)";"Life & Health Sciences";0;0;0;0;0;0;0;0;0;0;45,73;7,42
"Amsterdam (2759794)";"Alkmaar (2759899)";"Nanotechnology";0;0;0;0;0;0;0;0;0;0;41,67;24,64
"Amsterdam (2759794)";"Alkmaar (2759899)";"Quantum";0;0;0;0;0;0;0;0;0;0;23,72;11,34
"Amsterdam (2759794)";"Alkmaar (2759899)";"Social Sciences & Humanities";0;0;0;0;0;0;0;0;0;0;53,92;8,68
"Amsterdam (2759794)";"Alkmaar (2759899)";"Sustainability & Circularity";0;0;0;0;0;0;0;0;0;0;24,09;20,05
"Amsterdam (2759794)";"Alsace (FR42)";"Artificial intelligence";0;0;0;0;0;0;0;0;0;0;47,16;7,03
"Amsterdam (2759794)";"Alsace (FR42)";"Cybersecurity";0;0;0;0;0;0;0;0;0;0;26,82;4,71
"Amsterdam (2759794)";"Alsace (FR42)";"Data Science";0;0;0;0;0;0;0;0;0;0;42,47;4,03
"Amsterdam (2759794)";"Alsace (FR42)";"FinTech";0;0;0;0;0;0;0;0;0;0;25,89;5,41
"Amsterdam (2759794)";"Alsace (FR42)";"ICT";0;0;0;0;0;0;0;0;0;0;28,49;9,76
"Amsterdam (2759794)";"Alsace (FR42)";"Life & Health Sciences";0;0;0;0;0;0;0;0;0;0;45,73;15,73
"Amsterdam (2759794)";"Alsace (FR42)";"Nanotechnology";0;0;0;0;0;0;0;0;0;0;41,67;26,06
"Amsterdam (2759794)";"Alsace (FR42)";"Quantum";0;0;0;0;0;0;0;0;0;0;23,72;18,31
"Amsterdam (2759794)";"Alsace (FR42)";"Social Sciences & Humanities";0;0;0;0;0;0;0;0;0;0;53,92;6,85
"Amsterdam (2759794)";"Alsace (FR42)";"Sustainability & Circularity";0;0;0;0;0;0;0;0;0;0;24,09;30,33
"Amsterdam (2759794)";"Amstelveen (2759798)";"Artificial intelligence";0;0;0;0;0;0;0;0;0;0;47,16;7,73
"Amsterdam (2759794)";"Amstelveen (2759798)";"Cybersecurity";0;0;0;0;0;0;0;0;0;0;26,82;29,82
"Amsterdam (2759794)";"Amstelveen (2759798)";"Data Science";0;0;0;0;0;0;0;0;0;0;42,47;20,22
"Amsterdam (2759794)";"Amstelveen (2759798)";"FinTech";0;0;0;0;0;0;0;0;0;0;25,89;34,11
"Amsterdam (2759794)";"Amstelveen (2759798)";"ICT";0;0;0;0;0;0;0;0;0;0;28,49;17,06
"Amsterdam (2759794)";"Amstelveen (2759798)";"Life & Health Sciences";3;2;0,69;-1,31;2,9;6;278;0,0038;142;0,0013;45,73;4,22
"Amsterdam (2759794)";"Amstelveen (2759798)";"Nanotechnology";0;0;0;0;0;0;0;0;0;0;41,67;0,73
"Amsterdam (2759794)";"Amstelveen (2759798)";"Quantum";0;0;0;0;0;0;0;0;0;0;23,72;3,24
"Amsterdam (2759794)";"Amstelveen (2759798)";"Social Sciences & Humanities";0;0;0;0;0;0;0;0;0;0;53,92;12,15
"Amsterdam (2759794)";"Amstelveen (2759798)";"Sustainability & Circularity";0;0;0;0;0;0;0;0;0;0;24,09;2,84
"Amsterdam (2759794)";"Amsterdam (2759794)";"Artificial intelligence";59;14;0,23;-13,77;60,87;37;37;0,2218;37;0,0036;0;0
"Amsterdam (2759794)";"Amsterdam (2759794)";"Cybersecurity";30;4;0,15;-3,85;26,67;24;24;0,0743;24;0,0027;0;0
"Amsterdam (2759794)";"Amsterdam (2759794)";"Data Science";46;6;0,06;-5,94;100;8;8;0,4187;8;0,0043;0;0
"Amsterdam (2759794)";"Amsterdam (2759794)";"FinTech";18;2;0,03;-1,97;66,67;5;5;0,0835;5;0,0013;0;0
"Amsterdam (2759794)";"Amsterdam (2759794)";"ICT";218;46;0,53;-45,47;86,79;107;107;0,0987;107;0,0011;0;0
"Amsterdam (2759794)";"Amsterdam (2759794)";"Life & Health Sciences";705;172;1,35;-170,65;127,41;278;278;0,3248;278;0,0025;0;0
"Amsterdam (2759794)";"Amsterdam (2759794)";"Nanotechnology";19;6;0,08;-5,92;75;11;11;0,297;11;0,0038;0;0
"Amsterdam (2759794)";"Amsterdam (2759794)";"Quantum";9;3;0,04;-2,96;75;4;4;0,2538;4;0,0034;0;0
"Amsterdam (2759794)";"Amsterdam (2759794)";"Social Sciences & Humanities";3;3;0,03;-2,97;100;3;3;0,5693;3;0,0052;0;0
"Amsterdam (2759794)";"Amsterdam (2759794)";"Sustainability & Circularity";136;40;0,36;-39,64;111,11;71;71;0,2232;71;0,002;0;0
"Amsterdam (2759794)";"Andalusia (ES61)";"Artificial intelligence";0;0;0;0;0;0;0;0;0;0;47,16;9,01
"Amsterdam (2759794)";"Andalusia (ES61)";"Cybersecurity";0;0;0;0;0;0;0;0;0;0;26,82;9,62
"Amsterdam (2759794)";"Andalusia (ES61)";"Data Science";0;0;0;0;0;0;0;0;0;0;42,47;5,56
"Amsterdam (2759794)";"Andalusia (ES61)";"FinTech";0;0;0;0;0;0;0;0;0;0;25,89;10,59
"Amsterdam (2759794)";"Andalusia (ES61)";"ICT";0;0;0;0;0;0;0;0;0;0;28,49;13,61
"Amsterdam (2759794)";"Andalusia (ES61)";"Life & Health Sciences";0;0;0;0;0;0;0;0;0;0;45,73;23,22
"Amsterdam (2759794)";"Andalusia (ES61)";"Nanotechnology";0;0;0;0;0;0;0;0;0;0;41,67;26,39
"Amsterdam (2759794)";"Andalusia (ES61)";"Quantum";0;0;0;0;0;0;0;0;0;0;23,72;16,37
"Amsterdam (2759794)";"Andalusia (ES61)";"Social Sciences & Humanities";0;0;0;0;0;0;0;0;0;0;53,92;8,29
"Amsterdam (2759794)";"Andalusia (ES61)";"Sustainability & Circularity";0;0;0;0;0;0;0;0;0;0;24,09;14,73
"Amsterdam (2759794)";"Ankeveen (2759751)";"Artificial intelligence";0;0;0;0;0;0;0;0;0;0;47,16;0
"Amsterdam (2759794)";"Ankeveen (2759751)";"Cybersecurity";0;0;0;0;0;0;0;0;0;0;26,82;0
"Amsterdam (2759794)";"Ankeveen (2759751)";"Data Science";0;0;0;0;0;0;0;0;0;0;42,47;0
"Amsterdam (2759794)";"Ankeveen (2759751)";"FinTech";0;0;0;0;0;0;0;0;0;0;25,89;0
"Amsterdam (2759794)";"Ankeveen (2759751)";"ICT";0;0;0;0;0;0;0;0;0;0;28,49;0
"Amsterdam (2759794)";"Ankeveen (2759751)";"Life & Health Sciences";0;0;0;0;0;0;0;0;0;0;45,73;0
"Amsterdam (2759794)";"Ankeveen (2759751)";"Nanotechnology";0;0;0;0;0;0;0;0;0;0;41,67;0
"Amsterdam (2759794)";"Ankeveen (2759751)";"Quantum";0;0;0;0;0;0;0;0;0;0;23,72;0
"Amsterdam (2759794)";"Ankeveen (2759751)";"Social Sciences & Humanities";0;0;0;0;0;0;0;0;0;0;53,92;0
"Amsterdam (2759794)";"Ankeveen (2759751)";"Sustainability & Circularity";0;0;0;0;0;0;0;0;0;0;24,09;0
"Amsterdam (2759794)";"Aosta Valley (ITC2)";"Artificial intelligence";0;0;0;0;0;0;0;0;0;0;47,16;6,04
"Amsterdam (2759794)";"Aosta Valley (ITC2)";"Cybersecurity";0;0;0;0;0;0;0;0;0;0;26,82;5,91
"Amsterdam (2759794)";"Aosta Valley (ITC2)";"Data Science";0;0;0;0;0;0;0;0;0;0;42,47;3,91
"Amsterdam (2759794)";"Aosta Valley (ITC2)";"FinTech";0;0;0;0;0;0;0;0;0;0;25,89;5,18
"Amsterdam (2759794)";"Aosta Valley (ITC2)";"ICT";0;0;0;0;0;0;0;0;0;0;28,49;8
"Amsterdam (2759794)";"Aosta Valley (ITC2)";"Life & Health Sciences";0;0;0;0;0;0;0;0;0;0;45,73;7,7
"Amsterdam (2759794)";"Aosta Valley (ITC2)";"Nanotechnology";0;0;0;0;0;0;0;0;0;0;41,67;2,21
"Amsterdam (2759794)";"Aosta Valley (ITC2)";"Quantum";0;0;0;0;0;0;0;0;0;0;23,72;12,9
"Amsterdam (2759794)";"Aosta Valley (ITC2)";"Social Sciences & Humanities";0;0;0;0;0;0;0;0;0;0;53,92;4,06
"Amsterdam (2759794)";"Aosta Valley (ITC2)";"Sustainability & Circularity";0;0;0;0;0;0;0;0;0;0;24,09;13,53
"Amsterdam (2759794)";"Apulia (ITF4)";"Artificial intelligence";0;0;0;0;0;0;0;0;0;0;47,16;11,73
"Amsterdam (2759794)";"Apulia (ITF4)";"Cybersecurity";0;0;0;0;0;0;0;0;0;0;26,82;8,3
"Amsterdam (2759794)";"Apulia (ITF4)";"Data Science";0;0;0;0;0;0;0;0;0;0;42,47;8,05
"Amsterdam (2759794)";"Apulia (ITF4)";"FinTech";0;0;0;0;0;0;0;0;0;0;25,89;11,4
"Amsterdam (2759794)";"Apulia (ITF4)";"ICT";0;0;0;0;0;0;0;0;0;0;28,49;15,44
"Amsterdam (2759794)";"Apulia (ITF4)";"Life & Health Sciences";0;0;0;0;0;0;0;0;0;0;45,73;26,25
"Amsterdam (2759794)";"Apulia (ITF4)";"Nanotechnology";0;0;0;0;0;0;0;0;0;0;41,67;26,23
"Amsterdam (2759794)";"Apulia (ITF4)";"Quantum";0;0;0;0;0;0;0;0;0;0;23,72;20,43
"Amsterdam (2759794)";"Apulia (ITF4)";"Social Sciences & Humanities";0;0;0;0;0;0;0;0;0;0;53,92;12,56
"Amsterdam (2759794)";"Apulia (ITF4)";"Sustainability & Circularity";0;0;0;0;0;0;0;0;0;0;24,09;17,62
"Amsterdam (2759794)";"Aquitaine (FR61)";"Artificial intelligence";0;0;0;0;0;0;0;0;0;0;47,16;10,47
