"id";"value";"share";"ctry"
"Siemens Aktiengesellschaft";62;2,49;"DE"
"Siemens Industry Software Inc";50;2,01;"US"
"Qualcomm Incorporated";44;1,77;"US"
"Asml Netherlands Bv";37;1,48;"NL"
"Microsoft Technology Licensing Llc";36;1,44;"US"
"Synopsys Inc";36;1,44;"US"
"Hewlett-Packard Development Company Lp";35;1,4;"US"
"Mitsubishi Electric Corporation";34;1,36;"JP"
"International Business Machines Corporation";29;1,16;"US"
"Saudi Arabian Oil Company";28;1,12;"SA"
"Dalian University Of Technology";23;0,92;"CN"
"Autodesk Inc";22;0,88;"US"
"Hitachi Ltd";22;0,88;"JP"
"Southeast University";22;0,88;"CN"
"Xilinx Inc";22;0,88;"US"
"Nec Corporation";21;0,84;"JP"
"General Electric Company";19;0,76;"US"
"Kla-Tencor Corporation";19;0,76;"US"
"Landmark Graphics Corporation";19;0,76;"US"
"Jfe Steel Corporation";17;0,68;"JP"
"Intel Corporation";16;0,64;"US"
"Halliburton Energy Services Inc";16;0,64;"US"
"Geoquest Systems Bv";16;0,64;"NL"
"Services Pã©Troliers Schlumberger";15;0,6;"FR"
"Fujitsu Limited";13;0,52;"JP"
"Vayo (Shanghai) Technology Co Ltd";12;0,48;"CN"
"Huawei Technologies Co Ltd";12;0,48;"CN"
"Nippon Steel Corporation";11;0,44;"JP"
"Zhengzhou Yunhai Information Technology Co Ltd";11;0,44;"CN"
"Google Llc";10;0,4;"US"
"Jiangsu University";9;0,36;"CN"
"Sz Dji Technology Co Ltd";9;0,36;"CN"
"Nippon Telegraph And Telephone Corporation";9;0,36;"JP"
"Advanced Micro Devices Inc";9;0,36;"US"
"Carrier Corporation";8;0,32;"US"
"Avl List Gmbh";8;0,32;"AT"
"South China University Of Technology";8;0,32;"CN"
"China University Of Mining And Technology";8;0,32;"CN"
"Fastbrick Ip Pty Ltd";8;0,32;"AU"
"Carl Zeiss Vision International Gmbh";7;0,28;"DE"
"X Development Llc";7;0,28;"US"
"Safran Aircraft Engines";7;0,28;"FR"
"Dassault Systemes Simulia Corp";7;0,28;"US"
"Mitsubishi Heavy Industries Ltd";7;0,28;"JP"
"Robert Bosch Gmbh";7;0,28;"DE"
"Siemens Energy Global Gmbh & Co Kg";7;0,28;"DE"
"State Grid Corporation Of China";7;0,28;"CN"
"Services Petroliers Schlumberger";7;0,28;"FR"
"Semiconductor Energy Laboratory Co Ltd";7;0,28;"JP"
"Tsinghua University";7;0,28;"CN"
"Altera Corporation";7;0,28;"US"
"Guangzhou Fastprint Circuit Tech Co Ltd";7;0,28;"CN"
"Bricsys Nv";6;0,24;"BE"
"Siemens Corporation";6;0,24;"US"
"Bayerische Motoren Werke Aktiengesellschaft";6;0,24;"DE"
"Central South University";6;0,24;"CN"
"Massachusetts Institute Of Technology";6;0,24;"US"
"Materialise Nv";6;0,24;"BE"
"Omron Corporation";6;0,24;"JP"
"The Regents Of The University Of California";6;0,24;"US"
"Schlumberger Technology Bv";6;0,24;"NL"
"Shenzhen Fastprint Circuit Tech Co Ltd";6;0,24;"CN"
"Svxr Inc";6;0,24;"US"
"Applied Materials Inc";5;0,2;"US"
"Samsung Electronics Co Ltd";5;0,2;"KR"
"Archidraw Inc";5;0,2;"KR"
"Airbus Operations Gmbh";5;0,2;"DE"
"Cps Technology Holdings Llc";5;0,2;"US"
"Romax Technology Limited";5;0,2;"UK"
"Volkswagen Aktiengesellschaft";5;0,2;"DE"
"Hitachi Automotive Systems Ltd";5;0,2;"JP"
"Centre National De La Recherche Scientifique";5;0,2;"FR"
"Divergent Technologies Inc";5;0,2;"US"
"Siemens Industry Software Nv";5;0,2;"BE"
"Onshape Inc";5;0,2;"US"
"Georgia Tech Research Corporation";5;0,2;"US"
"Shandong University Of Science And Technology";5;0,2;"CN"
"The Regents Of The University Of Michigan";5;0,2;"US"
"Toray Engineering Co Ltd";5;0,2;"JP"
"Koninklijke Philips Nv";5;0,2;"NL"
"Hailo Technologies Ltd";5;0,2;"IL"
"Hewlett Packard Enterprise Development Lp";5;0,2;"US"
"Shenzhen University";5;0,2;"CN"
"Sanechips Technology Co Ltd";5;0,2;"CN"
"Raytheon Company";5;0,2;"US"
"Instrumentation Laboratory Company";5;0,2;"US"
"Cerebras Systems Inc";5;0,2;"US"
"Coventor Inc";4;0,16;"US"
"Misumi Corporation";4;0,16;"JP"
"Caterpillar Inc";4;0,16;"US"
"Eos Gmbh Electro Optical Systems";4;0,16;"DE"
"Gree Electric Appliances Inc Of Zhuhai";4;0,16;"CN"
"Shandong University";4;0,16;"CN"
"Zhejiang University";4;0,16;"CN"
"Northeastern University";4;0,16;"CN"
"Suzhou Sonavox Electronics Co Ltd";4;0,16;"CN"
"3m Innovative Properties Company";4;0,16;"US"
"Total Se";4;0,16;"FR"
"Chevron Usa Inc";4;0,16;"US"
"Linde Gmbh";4;0,16;"DE"
"Onscale Inc";4;0,16;"US"
"Showa Denko Kk";4;0,16;"JP"
