"domain";"from";"from_geo";"to";"to_geo";"full";"full_frac";"binary";"binary_frac";"parent"
"Agrofood Waste Cut";"Dalarna University (SE) -- 122274158";"Dalarna County (SE312)";"Luleå University of Technology (SE) -- 190632392";"Övre Norrland (SE33)";1;1;1;1;"Waste Cut"
"Agrofood Waste Cut";"Dalarna University (SE) -- 122274158";"Dalarna County (SE312)";"Mid Sweden University (SE) -- 56475706";"Mellersta Norrland (SE32)";2;2;2;2;"Waste Cut"
"Agrofood Waste Cut";"Dalarna University (SE) -- 122274158";"Dalarna County (SE312)";"University of Trento (IT) -- 193223587";"Provincia Autonoma di Trento (ITH2)";1;1;1;1;"Waste Cut"
"Agrofood Waste Cut";"Dalarna University (SE) -- 122274158";"Dalarna County (SE312)";"Jönköping University (SE) -- 94616838";"Småland med öarna (SE21)";2;0,666666666666666;2;0,666666666666666;"Waste Cut"
"Agrofood Waste Cut";"Dalarna University (SE) -- 122274158";"Dalarna County (SE312)";"Karlstad University (SE) -- 43968019";"Värmlands County (SE311)";2;0,666666666666666;2;0,666666666666666;"Waste Cut"
"Agrofood Waste Cut";"Dalarna University (SE) -- 122274158";"Dalarna County (SE312)";"University of Gävle (SE) -- 4210141702";"Gävleborg County (SE313)";2;2;2;2;"Waste Cut"
"Agrofood Waste Cut";"Swedish Transport Administration (SE) -- 146360087";"Dalarna County (SE312)";"Université Libre de Bruxelles (BE) -- 132053463";"Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest (BE10)";5;1,66666666666667;5;1,66666666666667;"Waste Cut"
"Agrofood Waste Cut";"Dalarna University (SE) -- 122274158";"Dalarna County (SE312)";"University of Copenhagen (DK) -- 124055696";"Hovedstaden (DK01)";1;0,166666666666667;1;0,166666666666667;"Waste Cut"
"Agrofood Waste Cut";"Dalarna University (SE) -- 122274158";"Dalarna County (SE312)";"Lund University (SE) -- 187531555";"Sydsverige (SE22)";3;0,833333333333333;3;0,833333333333333;"Waste Cut"
"Agrofood Waste Cut";"Dalarna University (SE) -- 122274158";"Dalarna County (SE312)";"Swedish University of Agricultural Sciences (SE) -- 298625061";"Östra Mellansverige (SE12)";3;0,833333333333333;3;0,833333333333333;"Waste Cut"
