"domain","from","from_geo","to","to_geo","full","full_frac","binary","binary_frac","parent"
"Agrofood Waste Cut","Stenden University of Applied Sciences (NL) -- 36523846","Noord-Nederland (NL1)","University of Twente (NL) -- 94624287","Overijssel (NL21)",2,2,2,2,"Waste Cut"
"Agrofood Waste Cut","University of Groningen (NL) -- 169381384","Noord-Nederland (NL1)","University of Pavia (IT) -- 25217355","Lombardia (ITC4)",2,2,2,2,"Waste Cut"
"Agrofood Waste Cut","Van Hall Larenstein University of Applied Sciences (NL) -- 2800435062","Noord-Nederland (NL1)","Wageningen University & Research (NL) -- 913481162","Gelderland (NL22)",1,0.1,1,0.1,"Waste Cut"
"Agrofood Waste Cut","University of Groningen (NL) -- 169381384","Noord-Nederland (NL1)","Utrecht University (NL) -- 193662353","Utrecht (NL31)",11,5.16666666666667,11,5.16666666666667,"Waste Cut"
"Agrofood Waste Cut","Hanze University of Applied Sciences (NL) -- 180755707","Noord-Nederland (NL1)","Maastricht University (NL) -- 34352273","Limburg (NL) (NL42)",1,1,1,1,"Waste Cut"
"Agrofood Waste Cut","Terra (NL) -- 4210103329","Noord-Nederland (NL1)","Univar (United Kingdom) (GB) -- 267684635","East Wales (UKL2)",2,0.666666666666666,2,0.666666666666666,"Waste Cut"
"Agrofood Waste Cut","Terra (NL) -- 4210103329","Noord-Nederland (NL1)","Univar (United Kingdom) (GB) -- 267684635","Gloucestershire, Wiltshire and Bristol/Bath area (UKK1)",2,0.666666666666666,2,0.666666666666666,"Waste Cut"
"Agrofood Waste Cut","University Medical Center Groningen (NL) -- 1334415907","Noord-Nederland (NL1)","University of Gothenburg (SE) -- 881427289","Västsverige (SE23)",1,0.0357142857142857,1,0.0357142857142857,"Waste Cut"
"Agrofood Waste Cut","Stenden University of Applied Sciences (NL) -- 36523846","Noord-Nederland (NL1)","Universitat Autònoma de Barcelona (ES) -- 123044942","Cataluña (ES51)",1,0.0666666666666667,1,0.0666666666666667,"Waste Cut"
"Agrofood Waste Cut","Stenden University of Applied Sciences (NL) -- 36523846","Noord-Nederland (NL1)","Universitat Politècnica de Catalunya (ES) -- 9617848","Cataluña (ES51)",1,0.0666666666666667,1,0.0666666666666667,"Waste Cut"
"Agrofood Waste Cut","Stenden University of Applied Sciences (NL) -- 36523846","Noord-Nederland (NL1)","University of Limerick (IE) -- 230495080","Southern and Eastern (IE02)",1,0.0666666666666667,1,0.0666666666666667,"Waste Cut"
