"domain";"from";"from_geo";"to";"to_geo";"full";"full_frac";"binary";"binary_frac";"parent"
"Critical Metals Reuse";"OBM RECYCLING MACHINERY B.V.";"Noord-Nederland (NL1)";"WASTE PAPER TRADE C.V.";"Noord-Nederland (NL1)";1;1;1;1;"Industrial Loops"
"E-Waste Circularity";"OBM RECYCLING MACHINERY B.V.";"Noord-Nederland (NL1)";"WASTE PAPER TRADE C.V.";"Noord-Nederland (NL1)";1;1;1;1;"Waste Cut"
"Industrial Symbiosis";"Emergo Business Partners B.V.";"Noord-Nederland (NL1)";"NEDERLANDSE ORGANISATIE VOOR TOEGEPAST- NATUURWETENSCHAPPELIJK ONDERZOEK TNO";"Zuid-Holland (NL33)";1;1;1;1;"Industrial Loops"
"Industrial Symbiosis";"HZPC Research B.V.";"Noord-Nederland (NL1)";"KWS Potato B.V.";"Flevoland (NL23)";1;0,166666666666667;1;0,166666666666667;"Industrial Loops"
"Industrial Symbiosis";"HZPC Research B.V.";"Noord-Nederland (NL1)";"Wageningen Universiteit";"Gelderland (NL22)";1;0,166666666666667;1;0,166666666666667;"Industrial Loops"
"Industrial Symbiosis";"Paques I.P. B.V.";"Noord-Nederland (NL1)";"Stora Enso Oyj";"Pohjois- ja Itä-Suomi (FI1D)";2;2;2;2;"Industrial Loops"
"Industrial Symbiosis";"OBM RECYCLING MACHINERY B.V.";"Noord-Nederland (NL1)";"WASTE PAPER TRADE C.V.";"Noord-Nederland (NL1)";1;1;1;1;"Industrial Loops"
"Product Services";"SMURFIT KAPPA DEVELOPMENT CENTRE B.V.";"Noord-Nederland (NL1)";"SMURFIT KAPPA WELLPAPPENWERK WAREN GMBH";"Mecklenburg-Vorpommern (DE80)";1;1;1;1;"Circular Models"
"Product Services";"OBM RECYCLING MACHINERY B.V.";"Noord-Nederland (NL1)";"WASTE PAPER TRADE C.V.";"Noord-Nederland (NL1)";1;1;1;1;"Circular Models"
"Textile Waste Cut";"OBM RECYCLING MACHINERY B.V.";"Noord-Nederland (NL1)";"WASTE PAPER TRADE C.V.";"Noord-Nederland (NL1)";1;1;1;1;"Waste Cut"
"Water Circularity";"Paques I.P. B.V.";"Noord-Nederland (NL1)";"Stora Enso Oyj";"Pohjois- ja Itä-Suomi (FI1D)";2;2;2;2;"Waste Cut"
