"id","parent","value","color","share"
"Additive manufacturing","Digital transition",344,"blue",0.37
"Artificial intelligence","Digital transition",2441,"blue",2.62
"Augmented reality","Digital transition",1236,"blue",1.33
"Autonomous robots","Digital transition",118,"blue",0.13
"Autonomous vehicles","Digital transition",6266,"blue",6.73
"Blockchain","Digital transition",13038,"blue",13.99
"Cloud computing","Digital transition",5865,"blue",6.29
"Cybersecurity","Digital transition",32396,"blue",34.77
"Internet of things","Digital transition",28736,"blue",30.84
"Nanotechnology","Digital transition",62,"blue",0.07
"Quantum computers","Digital transition",647,"blue",0.69
"Smart grids","Digital transition",2025,"blue",2.17
