"id","parent","value","color","share"
"Additive manufacturing","Digital transition",47,"blue",0.48
"Artificial intelligence","Digital transition",736,"blue",7.54
"Augmented reality","Digital transition",987,"blue",10.11
"Autonomous robots","Digital transition",124,"blue",1.27
"Autonomous vehicles","Digital transition",4785,"blue",49.02
"Blockchain","Digital transition",250,"blue",2.56
"Cloud computing","Digital transition",452,"blue",4.63
"Cybersecurity","Digital transition",565,"blue",5.79
"Internet of things","Digital transition",975,"blue",9.99
"Nanotechnology","Digital transition",24,"blue",0.25
"Quantum computers","Digital transition",44,"blue",0.45
"Smart grids","Digital transition",773,"blue",7.92
