"id","parent","value","color","share"
"Additive manufacturing","Digital transition",140,"blue",0.91
"Artificial intelligence","Digital transition",288,"blue",1.87
"Augmented reality","Digital transition",127,"blue",0.82
"Autonomous robots","Digital transition",22,"blue",0.14
"Autonomous vehicles","Digital transition",932,"blue",6.04
"Blockchain","Digital transition",2254,"blue",14.61
"Cloud computing","Digital transition",825,"blue",5.35
"Cybersecurity","Digital transition",5319,"blue",34.48
"Internet of things","Digital transition",4996,"blue",32.38
"Nanotechnology","Digital transition",4,"blue",0.03
"Quantum computers","Digital transition",108,"blue",0.7
"Smart grids","Digital transition",412,"blue",2.67
