"id","parent","value","color","share"
"Additive manufacturing","Digital transition",78,"blue",1.19
"Artificial intelligence","Digital transition",1357,"blue",20.75
"Augmented reality","Digital transition",1959,"blue",29.95
"Autonomous robots","Digital transition",70,"blue",1.07
"Autonomous vehicles","Digital transition",514,"blue",7.86
"Blockchain","Digital transition",225,"blue",3.44
"Cloud computing","Digital transition",576,"blue",8.81
"Cybersecurity","Digital transition",577,"blue",8.82
"Internet of things","Digital transition",859,"blue",13.13
"Nanotechnology","Digital transition",59,"blue",0.9
"Quantum computers","Digital transition",170,"blue",2.6
"Smart grids","Digital transition",96,"blue",1.47
