"id","parent","value","color","share"
"Additive manufacturing","Digital transition",278,"blue",9.23
"Artificial intelligence","Digital transition",711,"blue",23.61
"Augmented reality","Digital transition",874,"blue",29.03
"Autonomous robots","Digital transition",158,"blue",5.25
"Autonomous vehicles","Digital transition",45,"blue",1.49
"Blockchain","Digital transition",54,"blue",1.79
"Cloud computing","Digital transition",76,"blue",2.52
"Cybersecurity","Digital transition",151,"blue",5.01
"Internet of things","Digital transition",184,"blue",6.11
"Nanotechnology","Digital transition",447,"blue",14.85
"Quantum computers","Digital transition",28,"blue",0.93
"Smart grids","Digital transition",5,"blue",0.17
