"id","parent","value","color","share"
"Advanced Sustainable Materials","Green transition",585,"green",69.98
"Air & Water pollution reduction","Green transition",37,"green",4.43
"Batteries","Green transition",33,"green",3.95
"Biofuels","Green transition",7,"green",0.84
"Biotechnology","Green transition",61,"green",7.3
"Green buildings","Green transition",6,"green",0.72
"Green transports","Green transition",7,"green",0.84
"Greenhouse gas capture","Green transition",1,"green",0.12
"Hydrogen","Green transition",6,"green",0.72
"Marine & hydro energy","Green transition",1,"green",0.12
"Nuclear energy","Green transition",1,"green",0.12
"Other energy storage","Green transition",1,"green",0.12
"Recycling technologies","Green transition",35,"green",4.19
"Solar energy","Green transition",10,"green",1.2
"Waste management","Green transition",39,"green",4.67
"Water related adaptation technologies","Green transition",4,"green",0.48
"Wind energy","Green transition",2,"green",0.24
