"id","x","y","parent","color"
"Cybersecurity",2019,33.32,"Digital transition","blue"
"Cybersecurity",2020,35.76,"Digital transition","blue"
"Internet of things",2019,30.16,"Digital transition","blue"
"Cybersecurity",2018,33.17,"Digital transition","blue"
"Internet of things",2018,32.01,"Digital transition","blue"
"Internet of things",2020,30.61,"Digital transition","blue"
"Cybersecurity",2017,36.66,"Digital transition","blue"
"Cybersecurity",2016,38.48,"Digital transition","blue"
"Internet of things",2017,30.48,"Digital transition","blue"
"Cybersecurity",2015,39.48,"Digital transition","blue"
"Cybersecurity",2014,40.44,"Digital transition","blue"
"Internet of things",2016,30.52,"Digital transition","blue"
"Cybersecurity",2013,39.32,"Digital transition","blue"
"Internet of things",2015,30.35,"Digital transition","blue"
"Internet of things",2014,31.36,"Digital transition","blue"
"Cybersecurity",2021,35.98,"Digital transition","blue"
"Internet of things",2013,35.15,"Digital transition","blue"
"Blockchain",2019,14.59,"Digital transition","blue"
"Cybersecurity",2012,39.65,"Digital transition","blue"
"Internet of things",2021,31.17,"Digital transition","blue"
"Blockchain",2020,14.62,"Digital transition","blue"
"Internet of things",2012,34.44,"Digital transition","blue"
"Cybersecurity",2011,38.64,"Digital transition","blue"
"Internet of things",2011,38.3,"Digital transition","blue"
"Cybersecurity",2010,38.75,"Digital transition","blue"
"Blockchain",2018,13.2,"Digital transition","blue"
"Internet of things",2010,37.3,"Digital transition","blue"
"Blockchain",2017,13.2,"Digital transition","blue"
"Blockchain",2016,12.79,"Digital transition","blue"
"Autonomous vehicles",2019,7.67,"Digital transition","blue"
"Blockchain",2015,12.36,"Digital transition","blue"
"Autonomous vehicles",2018,7.51,"Digital transition","blue"
"Cloud computing",2019,6.41,"Digital transition","blue"
"Blockchain",2021,14.27,"Digital transition","blue"
"Blockchain",2014,11.62,"Digital transition","blue"
"Cloud computing",2018,6.5,"Digital transition","blue"
"Cloud computing",2020,6.09,"Digital transition","blue"
"Blockchain",2013,11.76,"Digital transition","blue"
"Autonomous vehicles",2020,5.72,"Digital transition","blue"
"Autonomous vehicles",2017,6.71,"Digital transition","blue"
"Cloud computing",2017,6.6,"Digital transition","blue"
"Blockchain",2012,12.78,"Digital transition","blue"
"Cloud computing",2016,7.02,"Digital transition","blue"
"Cloud computing",2015,7.85,"Digital transition","blue"
"Cloud computing",2014,8.3,"Digital transition","blue"
"Blockchain",2010,12.31,"Digital transition","blue"
"Blockchain",2011,11.59,"Digital transition","blue"
"Autonomous vehicles",2016,4.95,"Digital transition","blue"
"Artificial intelligence",2019,3.05,"Digital transition","blue"
"Cloud computing",2013,6.4,"Digital transition","blue"
"Artificial intelligence",2020,2.93,"Digital transition","blue"
"Cloud computing",2021,5.55,"Digital transition","blue"
"Autonomous vehicles",2021,5.12,"Digital transition","blue"
"Smart grids",2018,2.4,"Digital transition","blue"
"Autonomous vehicles",2015,3.75,"Digital transition","blue"
"Smart grids",2019,2.02,"Digital transition","blue"
"Cloud computing",2012,5.46,"Digital transition","blue"
"Smart grids",2016,2.95,"Digital transition","blue"
"Artificial intelligence",2018,2.14,"Digital transition","blue"
"Smart grids",2020,2.03,"Digital transition","blue"
"Smart grids",2014,3.46,"Digital transition","blue"
"Smart grids",2017,2.42,"Digital transition","blue"
"Smart grids",2015,3.23,"Digital transition","blue"
"Artificial intelligence",2021,3.74,"Digital transition","blue"
"Augmented reality",2019,1.59,"Digital transition","blue"
"Cloud computing",2010,5,"Digital transition","blue"
"Cloud computing",2011,4.79,"Digital transition","blue"
"Autonomous vehicles",2014,2.8,"Digital transition","blue"
"Smart grids",2013,3.16,"Digital transition","blue"
"Augmented reality",2018,1.6,"Digital transition","blue"
"Smart grids",2012,3.35,"Digital transition","blue"
"Artificial intelligence",2017,1.56,"Digital transition","blue"
"Autonomous vehicles",2013,2.39,"Digital transition","blue"
"Autonomous vehicles",2012,2.71,"Digital transition","blue"
"Augmented reality",2020,1.07,"Digital transition","blue"
"Smart grids",2010,3.18,"Digital transition","blue"
"Smart grids",2011,2.96,"Digital transition","blue"
"Smart grids",2021,1.94,"Digital transition","blue"
"Augmented reality",2017,1.09,"Digital transition","blue"
"Artificial intelligence",2016,1.22,"Digital transition","blue"
"Quantum computers",2018,0.91,"Digital transition","blue"
"Autonomous vehicles",2011,2.4,"Digital transition","blue"
"Autonomous vehicles",2010,2.2,"Digital transition","blue"
"Augmented reality",2016,0.98,"Digital transition","blue"
"Artificial intelligence",2015,1.1,"Digital transition","blue"
"Quantum computers",2019,0.59,"Digital transition","blue"
"Quantum computers",2017,0.71,"Digital transition","blue"
"Quantum computers",2020,0.57,"Digital transition","blue"
"Augmented reality",2021,1.09,"Digital transition","blue"
"Artificial intelligence",2014,0.9,"Digital transition","blue"
"Quantum computers",2016,0.72,"Digital transition","blue"
"Augmented reality",2015,0.83,"Digital transition","blue"
"Additive manufacturing",2020,0.45,"Digital transition","blue"
"Additive manufacturing",2019,0.37,"Digital transition","blue"
"Quantum computers",2015,0.6,"Digital transition","blue"
"Artificial intelligence",2013,0.73,"Digital transition","blue"
"Quantum computers",2021,0.72,"Digital transition","blue"
"Additive manufacturing",2018,0.34,"Digital transition","blue"
"Quantum computers",2014,0.52,"Digital transition","blue"
"Additive manufacturing",2017,0.33,"Digital transition","blue"
"Quantum computers",2012,0.68,"Digital transition","blue"
"Augmented reality",2014,0.46,"Digital transition","blue"
"Quantum computers",2013,0.46,"Digital transition","blue"
"Additive manufacturing",2015,0.31,"Digital transition","blue"
"Quantum computers",2010,0.56,"Digital transition","blue"
"Augmented reality",2013,0.37,"Digital transition","blue"
"Autonomous robots",2019,0.16,"Digital transition","blue"
"Additive manufacturing",2016,0.23,"Digital transition","blue"
