"id","x","y","parent","color"
"Autonomous vehicles",2019,39.11,"Digital transition","blue"
"Autonomous vehicles",2017,38.85,"Digital transition","blue"
"Autonomous vehicles",2018,30.89,"Digital transition","blue"
"Autonomous vehicles",2020,26.62,"Digital transition","blue"
"Autonomous vehicles",2016,37.85,"Digital transition","blue"
"Internet of things",2019,15.86,"Digital transition","blue"
"Autonomous vehicles",2015,36.14,"Digital transition","blue"
"Internet of things",2020,14.87,"Digital transition","blue"
"Internet of things",2018,14.63,"Digital transition","blue"
"Internet of things",2016,20.72,"Digital transition","blue"
"Internet of things",2017,16.89,"Digital transition","blue"
"Additive manufacturing",2020,11.51,"Digital transition","blue"
"Autonomous vehicles",2014,35.11,"Digital transition","blue"
"Internet of things",2015,22.77,"Digital transition","blue"
"Autonomous vehicles",2013,38.39,"Digital transition","blue"
"Cybersecurity",2019,9.09,"Digital transition","blue"
"Cybersecurity",2020,10.31,"Digital transition","blue"
"Augmented reality",2019,8.46,"Digital transition","blue"
"Autonomous vehicles",2012,43.96,"Digital transition","blue"
"Artificial intelligence",2020,9.11,"Digital transition","blue"
"Augmented reality",2018,10.3,"Digital transition","blue"
"Autonomous vehicles",2021,30.33,"Digital transition","blue"
"Cybersecurity",2018,8.94,"Digital transition","blue"
"Augmented reality",2020,7.67,"Digital transition","blue"
"Autonomous robots",2020,7.67,"Digital transition","blue"
"Additive manufacturing",2018,7.86,"Digital transition","blue"
"Additive manufacturing",2017,9.46,"Digital transition","blue"
"Artificial intelligence",2019,5.92,"Digital transition","blue"
"Autonomous robots",2019,5.92,"Digital transition","blue"
"Autonomous robots",2018,7.32,"Digital transition","blue"
"Augmented reality",2017,8.78,"Digital transition","blue"
"Augmented reality",2016,10.36,"Digital transition","blue"
"Additive manufacturing",2019,5.07,"Digital transition","blue"
"Autonomous vehicles",2010,46.81,"Digital transition","blue"
"Cloud computing",2014,16.79,"Digital transition","blue"
"Cybersecurity",2017,7.43,"Digital transition","blue"
"Internet of things",2013,19.64,"Digital transition","blue"
"Internet of things",2014,16.03,"Digital transition","blue"
"Blockchain",2019,4.02,"Digital transition","blue"
"Cybersecurity",2015,9.41,"Digital transition","blue"
"Artificial intelligence",2018,4.61,"Digital transition","blue"
"Blockchain",2020,4.08,"Digital transition","blue"
"Blockchain",2016,6.77,"Digital transition","blue"
"Cloud computing",2020,4.08,"Digital transition","blue"
"Cybersecurity",2016,6.77,"Digital transition","blue"
"Additive manufacturing",2021,13.11,"Digital transition","blue"
"Internet of things",2021,13.11,"Digital transition","blue"
"Internet of things",2012,17.58,"Digital transition","blue"
"Autonomous vehicles",2011,34.09,"Digital transition","blue"
"Blockchain",2018,4.07,"Digital transition","blue"
"Cloud computing",2018,4.07,"Digital transition","blue"
"Smart grids",2013,13.39,"Digital transition","blue"
"Blockchain",2015,6.93,"Digital transition","blue"
"Smart grids",2018,3.79,"Digital transition","blue"
"Augmented reality",2021,10.66,"Digital transition","blue"
"Autonomous robots",2017,4.05,"Digital transition","blue"
"Additive manufacturing",2015,5.45,"Digital transition","blue"
"Artificial intelligence",2021,9.02,"Digital transition","blue"
"Blockchain",2017,3.72,"Digital transition","blue"
"Cloud computing",2019,2.33,"Digital transition","blue"
"Cybersecurity",2013,9.82,"Digital transition","blue"
"Smart grids",2019,2.33,"Digital transition","blue"
"Additive manufacturing",2016,3.98,"Digital transition","blue"
"Cybersecurity",2021,8.2,"Digital transition","blue"
"Artificial intelligence",2017,3.04,"Digital transition","blue"
"Autonomous robots",2016,3.59,"Digital transition","blue"
"Cloud computing",2017,3.04,"Digital transition","blue"
"Cloud computing",2015,4.46,"Digital transition","blue"
