"id","x","y","parent","color"
"Nanotechnology",2012,63.57,"Digital transition","blue"
"Nanotechnology",2019,37.11,"Digital transition","blue"
"Nanotechnology",2013,69.31,"Digital transition","blue"
"Nanotechnology",2010,84.42,"Digital transition","blue"
"Nanotechnology",2018,35.88,"Digital transition","blue"
"Nanotechnology",2017,40.58,"Digital transition","blue"
"Nanotechnology",2011,62.5,"Digital transition","blue"
"Nanotechnology",2016,39.5,"Digital transition","blue"
"Nanotechnology",2015,39.82,"Digital transition","blue"
"Nanotechnology",2014,51.22,"Digital transition","blue"
"Additive manufacturing",2018,22.94,"Digital transition","blue"
"Nanotechnology",2020,22.36,"Digital transition","blue"
"Additive manufacturing",2019,17.53,"Digital transition","blue"
"Augmented reality",2019,15.46,"Digital transition","blue"
"Augmented reality",2020,18.63,"Digital transition","blue"
"Artificial intelligence",2020,18.01,"Digital transition","blue"
"Additive manufacturing",2020,17.39,"Digital transition","blue"
"Augmented reality",2018,16.47,"Digital transition","blue"
"Augmented reality",2017,18.84,"Digital transition","blue"
"Additive manufacturing",2021,26.04,"Digital transition","blue"
"Additive manufacturing",2017,18.12,"Digital transition","blue"
"Augmented reality",2015,22.12,"Digital transition","blue"
"Additive manufacturing",2016,20.17,"Digital transition","blue"
"Artificial intelligence",2021,21.88,"Digital transition","blue"
"Artificial intelligence",2019,10.31,"Digital transition","blue"
"Additive manufacturing",2015,16.81,"Digital transition","blue"
"Augmented reality",2016,15.97,"Digital transition","blue"
"Nanotechnology",2021,18.75,"Digital transition","blue"
"Augmented reality",2014,20.73,"Digital transition","blue"
"Augmented reality",2021,16.67,"Digital transition","blue"
"Augmented reality",2012,11.63,"Digital transition","blue"
"Augmented reality",2013,13.86,"Digital transition","blue"
"Internet of things",2019,6.7,"Digital transition","blue"
"Quantum computers",2016,10.08,"Digital transition","blue"
"Internet of things",2020,6.83,"Digital transition","blue"
"Internet of things",2017,7.97,"Digital transition","blue"
"Augmented reality",2011,12.5,"Digital transition","blue"
"Cybersecurity",2019,5.15,"Digital transition","blue"
"Artificial intelligence",2018,5.29,"Digital transition","blue"
"Artificial intelligence",2015,7.96,"Digital transition","blue"
"Autonomous robots",2018,5.29,"Digital transition","blue"
"Internet of things",2018,5.29,"Digital transition","blue"
"Smart grids",2012,6.2,"Digital transition","blue"
"Internet of things",2016,5.88,"Digital transition","blue"
"Quantum computers",2012,5.43,"Digital transition","blue"
"Quantum computers",2020,4.35,"Digital transition","blue"
"Additive manufacturing",2014,7.32,"Digital transition","blue"
"Additive manufacturing",2011,7.5,"Digital transition","blue"
"Artificial intelligence",2017,3.62,"Digital transition","blue"
"Cloud computing",2017,3.62,"Digital transition","blue"
"Cloud computing",2020,3.11,"Digital transition","blue"
"Internet of things",2013,4.95,"Digital transition","blue"
"Internet of things",2015,4.42,"Digital transition","blue"
"Smart grids",2011,6.25,"Digital transition","blue"
"Autonomous vehicles",2019,2.06,"Digital transition","blue"
"Blockchain",2020,2.48,"Digital transition","blue"
"Blockchain",2018,2.35,"Digital transition","blue"
"Cloud computing",2019,2.06,"Digital transition","blue"
"Cybersecurity",2021,4.17,"Digital transition","blue"
"Cybersecurity",2020,2.48,"Digital transition","blue"
"Cybersecurity",2018,2.35,"Digital transition","blue"
"Internet of things",2021,4.17,"Digital transition","blue"
"Internet of things",2012,3.1,"Digital transition","blue"
"Internet of things",2014,4.88,"Digital transition","blue"
"Quantum computers",2015,3.54,"Digital transition","blue"
"Quantum computers",2010,5.19,"Digital transition","blue"
"Quantum computers",2014,4.88,"Digital transition","blue"
"Additive manufacturing",2012,2.33,"Digital transition","blue"
"Additive manufacturing",2013,2.97,"Digital transition","blue"
"Artificial intelligence",2011,3.75,"Digital transition","blue"
"Artificial intelligence",2016,2.52,"Digital transition","blue"
"Artificial intelligence",2014,3.66,"Digital transition","blue"
"Autonomous robots",2020,1.86,"Digital transition","blue"
"Autonomous robots",2021,3.12,"Digital transition","blue"
"Autonomous vehicles",2020,1.86,"Digital transition","blue"
"Autonomous vehicles",2012,2.33,"Digital transition","blue"
"Blockchain",2021,3.12,"Digital transition","blue"
"Blockchain",2019,1.55,"Digital transition","blue"
"Cloud computing",2018,1.76,"Digital transition","blue"
"Cybersecurity",2017,2.17,"Digital transition","blue"
"Cybersecurity",2016,2.52,"Digital transition","blue"
"Internet of things",2010,3.9,"Digital transition","blue"
"Internet of things",2011,3.75,"Digital transition","blue"
"Quantum computers",2013,2.97,"Digital transition","blue"
"Additive manufacturing",2010,2.6,"Digital transition","blue"
"Artificial intelligence",2012,1.55,"Digital transition","blue"
"Augmented reality",2010,2.6,"Digital transition","blue"
"Autonomous robots",2019,1.03,"Digital transition","blue"
"Autonomous robots",2012,1.55,"Digital transition","blue"
"Autonomous robots",2015,1.77,"Digital transition","blue"
"Autonomous vehicles",2015,1.77,"Digital transition","blue"
"Blockchain",2017,1.45,"Digital transition","blue"
"Blockchain",2014,2.44,"Digital transition","blue"
"Cloud computing",2012,1.55,"Digital transition","blue"
"Cloud computing",2016,1.68,"Digital transition","blue"
"Cybersecurity",2015,1.77,"Digital transition","blue"
"Cybersecurity",2014,2.44,"Digital transition","blue"
"Quantum computers",2011,2.5,"Digital transition","blue"
"Quantum computers",2018,1.18,"Digital transition","blue"
"Quantum computers",2017,1.45,"Digital transition","blue"
"Autonomous robots",2013,0.99,"Digital transition","blue"
