"id","x","y","parent","color"
"Internet of things",2019,27.02,"Digital transition","blue"
"Internet of things",2020,28.33,"Digital transition","blue"
"Internet of things",2018,29.11,"Digital transition","blue"
"Internet of things",2017,29.96,"Digital transition","blue"
"Internet of things",2016,30.53,"Digital transition","blue"
"Internet of things",2015,30.68,"Digital transition","blue"
"Internet of things",2014,31.62,"Digital transition","blue"
"Internet of things",2013,31.91,"Digital transition","blue"
"Cybersecurity",2020,19.35,"Digital transition","blue"
"Internet of things",2012,31.25,"Digital transition","blue"
"Cybersecurity",2019,16.6,"Digital transition","blue"
"Cybersecurity",2018,17.52,"Digital transition","blue"
"Internet of things",2011,33.14,"Digital transition","blue"
"Cybersecurity",2016,19.64,"Digital transition","blue"
"Internet of things",2010,33.79,"Digital transition","blue"
"Cybersecurity",2017,18.18,"Digital transition","blue"
"Cybersecurity",2015,18.36,"Digital transition","blue"
"Cybersecurity",2014,17.91,"Digital transition","blue"
"Internet of things",2021,27.15,"Digital transition","blue"
"Augmented reality",2019,11.85,"Digital transition","blue"
"Artificial intelligence",2020,11.96,"Digital transition","blue"
"Artificial intelligence",2019,11.09,"Digital transition","blue"
"Cybersecurity",2013,18.65,"Digital transition","blue"
"Cybersecurity",2012,19.53,"Digital transition","blue"
"Augmented reality",2018,11.3,"Digital transition","blue"
"Cybersecurity",2010,21.93,"Digital transition","blue"
"Cybersecurity",2011,20.23,"Digital transition","blue"
"Cloud computing",2018,10.44,"Digital transition","blue"
"Cloud computing",2019,9.01,"Digital transition","blue"
"Cloud computing",2017,11.13,"Digital transition","blue"
"Cloud computing",2015,12.43,"Digital transition","blue"
"Cloud computing",2014,12.79,"Digital transition","blue"
"Cloud computing",2016,10.96,"Digital transition","blue"
"Augmented reality",2017,10.4,"Digital transition","blue"
"Augmented reality",2020,8.64,"Digital transition","blue"
"Cloud computing",2020,8.64,"Digital transition","blue"
"Augmented reality",2016,10.47,"Digital transition","blue"
"Blockchain",2019,7.75,"Digital transition","blue"
"Blockchain",2020,8.16,"Digital transition","blue"
"Cybersecurity",2021,17.55,"Digital transition","blue"
"Cloud computing",2013,12.84,"Digital transition","blue"
"Artificial intelligence",2021,16.43,"Digital transition","blue"
"Augmented reality",2014,10.55,"Digital transition","blue"
"Augmented reality",2015,10.15,"Digital transition","blue"
"Blockchain",2018,7.48,"Digital transition","blue"
"Cloud computing",2010,14.73,"Digital transition","blue"
"Cloud computing",2012,12.36,"Digital transition","blue"
"Artificial intelligence",2018,7.12,"Digital transition","blue"
"Blockchain",2017,7.81,"Digital transition","blue"
"Cloud computing",2011,13.27,"Digital transition","blue"
"Blockchain",2016,7.77,"Digital transition","blue"
"Augmented reality",2013,9.3,"Digital transition","blue"
"Augmented reality",2012,9.26,"Digital transition","blue"
"Autonomous vehicles",2019,4.55,"Digital transition","blue"
"Blockchain",2015,6.43,"Digital transition","blue"
"Artificial intelligence",2017,5.58,"Digital transition","blue"
"Autonomous vehicles",2020,4.72,"Digital transition","blue"
"Blockchain",2014,6.42,"Digital transition","blue"
"Augmented reality",2021,9.35,"Digital transition","blue"
"Blockchain",2013,6.68,"Digital transition","blue"
"Cloud computing",2021,8.73,"Digital transition","blue"
"Blockchain",2012,6.92,"Digital transition","blue"
"Autonomous vehicles",2018,4.02,"Digital transition","blue"
"Artificial intelligence",2015,4.99,"Digital transition","blue"
"Artificial intelligence",2016,4.15,"Digital transition","blue"
"Augmented reality",2010,7.16,"Digital transition","blue"
"Augmented reality",2011,6.71,"Digital transition","blue"
"Artificial intelligence",2014,4.49,"Digital transition","blue"
"Blockchain",2011,6.43,"Digital transition","blue"
"Blockchain",2010,6.64,"Digital transition","blue"
"Autonomous vehicles",2017,3.51,"Digital transition","blue"
"Blockchain",2021,6.34,"Digital transition","blue"
"Artificial intelligence",2013,4.22,"Digital transition","blue"
"Quantum computers",2018,2.59,"Digital transition","blue"
"Quantum computers",2015,3.31,"Digital transition","blue"
"Quantum computers",2019,2.18,"Digital transition","blue"
"Quantum computers",2013,3.64,"Digital transition","blue"
"Quantum computers",2014,3.04,"Digital transition","blue"
"Smart grids",2019,2.08,"Digital transition","blue"
"Autonomous vehicles",2016,2.66,"Digital transition","blue"
"Quantum computers",2012,3.85,"Digital transition","blue"
"Quantum computers",2020,2.15,"Digital transition","blue"
"Quantum computers",2017,2.47,"Digital transition","blue"
"Quantum computers",2016,2.54,"Digital transition","blue"
"Artificial intelligence",2012,3.61,"Digital transition","blue"
"Quantum computers",2011,4.02,"Digital transition","blue"
"Smart grids",2016,2.37,"Digital transition","blue"
"Autonomous vehicles",2015,2.58,"Digital transition","blue"
"Smart grids",2014,2.56,"Digital transition","blue"
"Smart grids",2015,2.45,"Digital transition","blue"
"Smart grids",2020,1.8,"Digital transition","blue"
"Autonomous vehicles",2021,3.85,"Digital transition","blue"
"Smart grids",2018,1.77,"Digital transition","blue"
"Artificial intelligence",2011,3.38,"Digital transition","blue"
"Smart grids",2012,2.93,"Digital transition","blue"
"Smart grids",2013,2.38,"Digital transition","blue"
"Artificial intelligence",2010,3.07,"Digital transition","blue"
"Batteries",2019,1.38,"Green transition","green"
"Quantum computers",2010,3.07,"Digital transition","blue"
"Smart grids",2017,1.67,"Digital transition","blue"
"Smart grids",2011,2.77,"Digital transition","blue"
"Quantum computers",2021,2.81,"Digital transition","blue"
"Solar energy",2017,1.53,"Green transition","green"
"Batteries",2018,1.31,"Green transition","green"
"Green buildings",2016,1.51,"Green transition","green"
"Autonomous vehicles",2014,1.7,"Digital transition","blue"
"Green buildings",2014,1.61,"Green transition","green"
"Batteries",2013,1.8,"Green transition","green"
"Batteries",2012,1.95,"Green transition","green"
"Batteries",2014,1.51,"Green transition","green"
"Solar energy",2018,1.13,"Green transition","green"
"Batteries",2016,1.31,"Green transition","green"
"Solar energy",2015,1.44,"Green transition","green"
"Additive manufacturing",2018,1.11,"Digital transition","blue"
"Biotechnology",2017,1.23,"Green transition","green"
"Green buildings",2019,0.98,"Green transition","green"
"Batteries",2015,1.36,"Green transition","green"
"Autonomous vehicles",2013,1.58,"Digital transition","blue"
"Batteries",2020,0.98,"Green transition","green"
"Batteries",2017,1.15,"Green transition","green"
"Solar energy",2014,1.36,"Green transition","green"
"Green buildings",2015,1.29,"Green transition","green"
"Biotechnology",2016,1.16,"Green transition","green"
"Advanced Sustainable Materials",2017,1.1,"Green transition","green"
"Solar energy",2019,0.89,"Green transition","green"
"Biotechnology",2018,0.95,"Green transition","green"
"Green buildings",2017,1.07,"Green transition","green"
"Advanced Sustainable Materials",2016,1.08,"Green transition","green"
"Smart grids",2010,1.86,"Digital transition","blue"
"Additive manufacturing",2017,1.02,"Digital transition","blue"
"Additive manufacturing",2020,0.87,"Digital transition","blue"
"Green buildings",2018,0.88,"Green transition","green"
"Solar energy",2016,1.03,"Green transition","green"
"Advanced Sustainable Materials",2015,1.1,"Green transition","green"
"Batteries",2011,1.66,"Green transition","green"
"Additive manufacturing",2019,0.77,"Digital transition","blue"
"Advanced Sustainable Materials",2018,0.83,"Green transition","green"
"Green transports",2018,0.82,"Green transition","green"
"Green transports",2020,0.78,"Green transition","green"
"Solar energy",2011,1.58,"Green transition","green"
"Advanced Sustainable Materials",2014,1.07,"Green transition","green"
"Solar energy",2012,1.37,"Green transition","green"
"Solar energy",2013,1.22,"Green transition","green"
"Additive manufacturing",2016,0.87,"Digital transition","blue"
"Green transports",2019,0.67,"Green transition","green"
"Solar energy",2020,0.7,"Green transition","green"
"Advanced Sustainable Materials",2013,1.11,"Green transition","green"
"Biotechnology",2019,0.65,"Green transition","green"
"Biotechnology",2015,0.9,"Green transition","green"
"Green buildings",2013,1.09,"Green transition","green"
"Advanced Sustainable Materials",2019,0.63,"Green transition","green"
"Green buildings",2020,0.66,"Green transition","green"
"Smart grids",2021,1.42,"Digital transition","blue"
"Biotechnology",2014,0.88,"Green transition","green"
"Green buildings",2012,1.1,"Green transition","green"
"Autonomous vehicles",2012,1.07,"Digital transition","blue"
"Solar energy",2010,1.28,"Green transition","green"
"Biotechnology",2020,0.58,"Green transition","green"
"Green buildings",2010,1.16,"Green transition","green"
"Green transports",2013,0.89,"Green transition","green"
"Batteries",2021,1.15,"Green transition","green"
"Green transports",2015,0.72,"Green transition","green"
"Additive manufacturing",2021,1.1,"Digital transition","blue"
"Green transports",2016,0.62,"Green transition","green"
"Nanotechnology",2012,0.9,"Digital transition","blue"
"Biotechnology",2011,1,"Green transition","green"
"Green transports",2011,0.97,"Green transition","green"
"Green transports",2012,0.85,"Green transition","green"
"Biotechnology",2013,0.73,"Green transition","green"
"Green buildings",2011,0.91,"Green transition","green"
"Autonomous robots",2019,0.42,"Digital transition","blue"
"Advanced Sustainable Materials",2012,0.73,"Green transition","green"
"Autonomous vehicles",2010,0.87,"Digital transition","blue"
"Biotechnology",2010,0.87,"Green transition","green"
"Green transports",2014,0.55,"Green transition","green"
"Autonomous vehicles",2011,0.78,"Digital transition","blue"
"Batteries",2010,0.81,"Green transition","green"
"Nanotechnology",2019,0.37,"Digital transition","blue"
"Advanced Sustainable Materials",2011,0.75,"Green transition","green"
