"id","x","y","parent","color"
"Solar energy",2012,50.57,"Green transition","green"
"Solar energy",2013,47.6,"Green transition","green"
"Solar energy",2014,43.22,"Green transition","green"
"Solar energy",2011,51.83,"Green transition","green"
"Solar energy",2010,51.17,"Green transition","green"
"Solar energy",2015,45.96,"Green transition","green"
"Solar energy",2016,40.75,"Green transition","green"
"Solar energy",2018,41.52,"Green transition","green"
"Solar energy",2017,40.97,"Green transition","green"
"Solar energy",2019,36.67,"Green transition","green"
"Solar energy",2020,43.36,"Green transition","green"
"Solar energy",2021,44.87,"Green transition","green"
"Augmented reality",2019,13.97,"Digital transition","blue"
"Augmented reality",2018,12.32,"Digital transition","blue"
"Augmented reality",2014,10.17,"Digital transition","blue"
"Augmented reality",2016,10.6,"Digital transition","blue"
"Augmented reality",2017,11.97,"Digital transition","blue"
"Augmented reality",2015,10.4,"Digital transition","blue"
"Internet of things",2016,8.32,"Digital transition","blue"
"Quantum computers",2012,8.35,"Digital transition","blue"
"Quantum computers",2014,7.43,"Digital transition","blue"
"Internet of things",2014,7.24,"Digital transition","blue"
"Nanotechnology",2010,8.81,"Digital transition","blue"
"Nanotechnology",2012,7.63,"Digital transition","blue"
"Quantum computers",2018,7.98,"Digital transition","blue"
"Quantum computers",2017,8,"Digital transition","blue"
"Artificial intelligence",2019,7.94,"Digital transition","blue"
"Nanotechnology",2011,7.96,"Digital transition","blue"
"Quantum computers",2011,7.88,"Digital transition","blue"
"Quantum computers",2019,7.7,"Digital transition","blue"
"Quantum computers",2010,7.52,"Digital transition","blue"
"Augmented reality",2013,6.15,"Digital transition","blue"
"Internet of things",2015,6.81,"Digital transition","blue"
"Quantum computers",2015,6.81,"Digital transition","blue"
"Internet of things",2013,6.09,"Digital transition","blue"
"Nanotechnology",2013,5.75,"Digital transition","blue"
"Quantum computers",2016,5.89,"Digital transition","blue"
"Quantum computers",2013,5.75,"Digital transition","blue"
"Nanotechnology",2014,5.35,"Digital transition","blue"
"Internet of things",2018,6.12,"Digital transition","blue"
"Cybersecurity",2016,5.41,"Digital transition","blue"
"Advanced Sustainable Materials",2013,5.07,"Green transition","green"
"Cybersecurity",2014,4.82,"Digital transition","blue"
"Nanotechnology",2018,5.73,"Digital transition","blue"
"Internet of things",2019,5.79,"Digital transition","blue"
"Internet of things",2017,5.71,"Digital transition","blue"
"Augmented reality",2020,7.83,"Digital transition","blue"
