"id","x","y","parent","color"
"Green transports",2019,968,"Green transition","green"
"Green transports",2020,890,"Green transition","green"
"Green transports",2018,810,"Green transition","green"
"Green transports",2012,774,"Green transition","green"
"Green transports",2014,752,"Green transition","green"
"Green transports",2013,743,"Green transition","green"
"Green transports",2015,739,"Green transition","green"
"Batteries",2019,651,"Green transition","green"
"Green transports",2017,645,"Green transition","green"
"Green transports",2016,639,"Green transition","green"
"Batteries",2020,638,"Green transition","green"
"Green transports",2011,560,"Green transition","green"
"Batteries",2012,558,"Green transition","green"
"Batteries",2018,534,"Green transition","green"
"Batteries",2013,519,"Green transition","green"
"Batteries",2014,484,"Green transition","green"
"Batteries",2015,479,"Green transition","green"
"Green transports",2010,443,"Green transition","green"
"Batteries",2016,425,"Green transition","green"
"Green transports",2021,418,"Green transition","green"
"Batteries",2017,390,"Green transition","green"
"Batteries",2011,382,"Green transition","green"
"Batteries",2021,348,"Green transition","green"
"Autonomous vehicles",2019,314,"Digital transition","blue"
"Autonomous vehicles",2018,278,"Digital transition","blue"
"Batteries",2010,275,"Green transition","green"
"Autonomous vehicles",2020,267,"Digital transition","blue"
"Autonomous vehicles",2017,227,"Digital transition","blue"
"Autonomous vehicles",2016,214,"Digital transition","blue"
"Autonomous vehicles",2015,186,"Digital transition","blue"
"Autonomous vehicles",2014,165,"Digital transition","blue"
"Autonomous vehicles",2013,131,"Digital transition","blue"
"Advanced Sustainable Materials",2018,111,"Green transition","green"
"Advanced Sustainable Materials",2017,110,"Green transition","green"
"Advanced Sustainable Materials",2019,104,"Green transition","green"
"Autonomous vehicles",2021,102,"Digital transition","blue"
"Advanced Sustainable Materials",2013,94,"Green transition","green"
"Air & Water pollution reduction",2018,88,"Green transition","green"
"Air & Water pollution reduction",2014,84,"Green transition","green"
"Smart grids",2019,84,"Digital transition","blue"
"Smart grids",2013,82,"Digital transition","blue"
"Air & Water pollution reduction",2019,81,"Green transition","green"
"Air & Water pollution reduction",2017,76,"Green transition","green"
"Autonomous vehicles",2011,76,"Digital transition","blue"
"Autonomous vehicles",2012,76,"Digital transition","blue"
"Internet of things",2019,76,"Digital transition","blue"
"Air & Water pollution reduction",2015,75,"Green transition","green"
"Smart grids",2020,75,"Digital transition","blue"
"Smart grids",2012,72,"Digital transition","blue"
"Advanced Sustainable Materials",2016,71,"Green transition","green"
"Advanced Sustainable Materials",2014,71,"Green transition","green"
"Air & Water pollution reduction",2016,71,"Green transition","green"
"Air & Water pollution reduction",2012,70,"Green transition","green"
"Augmented reality",2019,70,"Digital transition","blue"
"Internet of things",2018,70,"Digital transition","blue"
"Advanced Sustainable Materials",2015,69,"Green transition","green"
"Air & Water pollution reduction",2013,68,"Green transition","green"
"Hydrogen",2019,65,"Green transition","green"
"Advanced Sustainable Materials",2020,59,"Green transition","green"
"Hydrogen",2020,59,"Green transition","green"
"Smart grids",2018,59,"Digital transition","blue"
"Air & Water pollution reduction",2011,57,"Green transition","green"
"Smart grids",2014,57,"Digital transition","blue"
"Air & Water pollution reduction",2020,55,"Green transition","green"
"Artificial intelligence",2019,55,"Digital transition","blue"
"Smart grids",2011,55,"Digital transition","blue"
"Solar energy",2012,53,"Green transition","green"
"Augmented reality",2018,52,"Digital transition","blue"
"Smart grids",2015,52,"Digital transition","blue"
"Internet of things",2015,50,"Digital transition","blue"
"Smart grids",2016,49,"Digital transition","blue"
"Internet of things",2016,48,"Digital transition","blue"
"Internet of things",2020,47,"Digital transition","blue"
"Augmented reality",2020,46,"Digital transition","blue"
