"id","x","y","parent","color"
"Autonomous vehicles",2019,43.98,"Digital transition","blue"
"Autonomous vehicles",2018,49.03,"Digital transition","blue"
"Autonomous vehicles",2020,46.92,"Digital transition","blue"
"Autonomous vehicles",2017,57.18,"Digital transition","blue"
"Autonomous vehicles",2016,49.42,"Digital transition","blue"
"Autonomous vehicles",2015,50,"Digital transition","blue"
"Autonomous vehicles",2014,53.92,"Digital transition","blue"
"Autonomous vehicles",2013,44.26,"Digital transition","blue"
"Autonomous vehicles",2021,47,"Digital transition","blue"
"Smart grids",2019,11.76,"Digital transition","blue"
"Smart grids",2013,27.7,"Digital transition","blue"
"Autonomous vehicles",2011,46.06,"Digital transition","blue"
"Autonomous vehicles",2012,35.85,"Digital transition","blue"
"Internet of things",2019,10.64,"Digital transition","blue"
"Smart grids",2020,13.18,"Digital transition","blue"
"Smart grids",2012,33.96,"Digital transition","blue"
"Augmented reality",2019,9.8,"Digital transition","blue"
"Internet of things",2018,12.35,"Digital transition","blue"
"Smart grids",2018,10.41,"Digital transition","blue"
"Smart grids",2014,18.63,"Digital transition","blue"
"Artificial intelligence",2019,7.7,"Digital transition","blue"
"Smart grids",2011,33.33,"Digital transition","blue"
"Augmented reality",2018,9.17,"Digital transition","blue"
"Smart grids",2015,13.98,"Digital transition","blue"
"Internet of things",2015,13.44,"Digital transition","blue"
"Smart grids",2016,11.32,"Digital transition","blue"
"Internet of things",2016,11.09,"Digital transition","blue"
"Internet of things",2020,8.26,"Digital transition","blue"
"Augmented reality",2020,8.08,"Digital transition","blue"
"Smart grids",2017,11.08,"Digital transition","blue"
"Cybersecurity",2019,5.74,"Digital transition","blue"
"Smart grids",2010,36.61,"Digital transition","blue"
"Smart grids",2021,18.89,"Digital transition","blue"
"Autonomous vehicles",2010,34.82,"Digital transition","blue"
"Artificial intelligence",2020,6.5,"Digital transition","blue"
"Cybersecurity",2020,6.5,"Digital transition","blue"
"Cloud computing",2019,5.04,"Digital transition","blue"
"Cybersecurity",2016,8.31,"Digital transition","blue"
"Internet of things",2017,8.31,"Digital transition","blue"
"Augmented reality",2016,7.39,"Digital transition","blue"
"Augmented reality",2017,7.56,"Digital transition","blue"
"Internet of things",2013,9.8,"Digital transition","blue"
"Cloud computing",2020,4.39,"Digital transition","blue"
"Cybersecurity",2018,4.41,"Digital transition","blue"
"Internet of things",2014,8.17,"Digital transition","blue"
"Internet of things",2012,11.79,"Digital transition","blue"
"Artificial intelligence",2018,4.23,"Digital transition","blue"
"Blockchain",2019,3.36,"Digital transition","blue"
"Cloud computing",2016,5.31,"Digital transition","blue"
"Augmented reality",2013,7.43,"Digital transition","blue"
"Blockchain",2020,3.87,"Digital transition","blue"
"Cloud computing",2018,3.88,"Digital transition","blue"
"Cybersecurity",2015,5.38,"Digital transition","blue"
"Augmented reality",2014,5.56,"Digital transition","blue"
"Internet of things",2021,7.83,"Digital transition","blue"
"Artificial intelligence",2021,7.37,"Digital transition","blue"
"Cloud computing",2015,4.3,"Digital transition","blue"
"Cloud computing",2017,3.78,"Digital transition","blue"
"Cybersecurity",2017,3.78,"Digital transition","blue"
"Artificial intelligence",2014,4.58,"Digital transition","blue"
"Augmented reality",2015,3.76,"Digital transition","blue"
"Augmented reality",2021,6.45,"Digital transition","blue"
"Artificial intelligence",2017,3.27,"Digital transition","blue"
"Blockchain",2015,3.49,"Digital transition","blue"
"Blockchain",2018,2.12,"Digital transition","blue"
"Internet of things",2010,10.71,"Digital transition","blue"
"Artificial intelligence",2015,2.96,"Digital transition","blue"
"Artificial intelligence",2016,2.54,"Digital transition","blue"
"Augmented reality",2012,5.19,"Digital transition","blue"
"Cybersecurity",2021,5.07,"Digital transition","blue"
"Cybersecurity",2014,3.59,"Digital transition","blue"
"Internet of things",2011,6.67,"Digital transition","blue"
"Blockchain",2016,2.31,"Digital transition","blue"
"Cloud computing",2013,3.38,"Digital transition","blue"
"Cloud computing",2014,3.27,"Digital transition","blue"
"Cybersecurity",2012,4.72,"Digital transition","blue"
"Cybersecurity",2013,3.04,"Digital transition","blue"
"Autonomous robots",2018,1.41,"Digital transition","blue"
"Quantum computers",2018,1.41,"Digital transition","blue"
"Additive manufacturing",2020,1.23,"Digital transition","blue"
"Additive manufacturing",2018,1.23,"Digital transition","blue"
"Blockchain",2012,3.3,"Digital transition","blue"
"Blockchain",2021,3.23,"Digital transition","blue"
"Additive manufacturing",2019,0.84,"Digital transition","blue"
