"id","x","y","parent","color"
"Advanced Sustainable Materials",2018,62.14,"Green transition","green"
"Advanced Sustainable Materials",2014,60.11,"Green transition","green"
"Advanced Sustainable Materials",2012,50.52,"Green transition","green"
"Advanced Sustainable Materials",2015,47.26,"Green transition","green"
"Advanced Sustainable Materials",2011,58.39,"Green transition","green"
"Advanced Sustainable Materials",2017,43.69,"Green transition","green"
"Advanced Sustainable Materials",2013,54.38,"Green transition","green"
"Advanced Sustainable Materials",2010,57.05,"Green transition","green"
"Advanced Sustainable Materials",2016,52,"Green transition","green"
"Advanced Sustainable Materials",2019,43.26,"Green transition","green"
"Advanced Sustainable Materials",2020,57.14,"Green transition","green"
"Advanced Sustainable Materials",2021,51.43,"Green transition","green"
"Biotechnology",2017,16.5,"Green transition","green"
"Biotechnology",2019,24.11,"Green transition","green"
"Biotechnology",2015,15.92,"Green transition","green"
"Biotechnology",2018,11.65,"Green transition","green"
"Green buildings",2012,10.42,"Green transition","green"
"Green buildings",2014,11.24,"Green transition","green"
"Waste management",2017,9.71,"Green transition","green"
"Air & Water pollution reduction",2017,9.22,"Green transition","green"
"Air & Water pollution reduction",2018,8.74,"Green transition","green"
"Biotechnology",2016,12,"Green transition","green"
"Biotechnology",2010,11.41,"Green transition","green"
"Recycling technologies",2017,8.25,"Green transition","green"
"Biotechnology",2012,8.33,"Green transition","green"
"Waste management",2019,11.35,"Green transition","green"
"Air & Water pollution reduction",2015,6.47,"Green transition","green"
"Biotechnology",2014,7.3,"Green transition","green"
"Recycling technologies",2019,9.22,"Green transition","green"
"Green buildings",2010,8.05,"Green transition","green"
"Green buildings",2013,7.5,"Green transition","green"
"Green transports",2012,6.25,"Green transition","green"
"Air & Water pollution reduction",2013,6.88,"Green transition","green"
"Green buildings",2015,5.47,"Green transition","green"
"Biofuels",2017,4.85,"Green transition","green"
"Biotechnology",2011,6.21,"Green transition","green"
"Green transports",2010,6.71,"Green transition","green"
"Recycling technologies",2012,5.21,"Green transition","green"
"Recycling technologies",2020,10.2,"Green transition","green"
"Solar energy",2011,6.21,"Green transition","green"
"Air & Water pollution reduction",2010,6.04,"Green transition","green"
"Air & Water pollution reduction",2016,6,"Green transition","green"
"Batteries",2015,4.48,"Green transition","green"
"Biotechnology",2013,5.62,"Green transition","green"
"Air & Water pollution reduction",2011,4.97,"Green transition","green"
"Batteries",2014,4.49,"Green transition","green"
"Biofuels",2011,4.97,"Green transition","green"
"Biotechnology",2020,8.16,"Green transition","green"
"Recycling technologies",2014,4.49,"Green transition","green"
"Waste management",2020,8.16,"Green transition","green"
"Air & Water pollution reduction",2014,3.93,"Green transition","green"
"Batteries",2012,3.65,"Green transition","green"
"Biotechnology",2021,10,"Green transition","green"
"Green transports",2013,4.38,"Green transition","green"
"Recycling technologies",2018,3.4,"Green transition","green"
"Recycling technologies",2011,4.35,"Green transition","green"
"Waste management",2018,3.4,"Green transition","green"
"Waste management",2012,3.65,"Green transition","green"
"Air & Water pollution reduction",2012,3.12,"Green transition","green"
"Batteries",2011,3.73,"Green transition","green"
"Batteries",2016,4,"Green transition","green"
"Biofuels",2012,3.12,"Green transition","green"
"Green transports",2016,4,"Green transition","green"
"Green transports",2015,2.99,"Green transition","green"
"Recycling technologies",2016,4,"Green transition","green"
"Recycling technologies",2013,3.75,"Green transition","green"
"Waste management",2013,3.75,"Green transition","green"
"Waste management",2011,3.73,"Green transition","green"
"Waste management",2021,8.57,"Green transition","green"
"Water related adaptation technologies",2013,3.75,"Green transition","green"
