"id","parent","value","color","share"
"Fondazione Edmund Mach (IT)","Biotechnology",2,"lightorange",0.02
"Bahrebar Soheil (IR)","Air & Water pollution reduction",1,"grey",0.01
"Industrie Rolli Alimentari Spa (IT)","Air & Water pollution reduction",1,"grey",0.01
"Industrie Rolli Alimentari Spa (IT)","Waste management",1,"blue",0.01
"Industrie Rolli Alimentari Spa (IT)","Biofuels",1,"brown",0.01
"Industrie Rolli Alimentari Spa (IT)","Recycling technologies",1,"darkgreen",0.01
"Industrie Rolli Alimentari Spa (IT)","Biotechnology",1,"lightorange",0.01
"Sxy A/S (DK)","Air & Water pollution reduction",1,"grey",0.01
"Sxy A/S (DK)","Recycling technologies",1,"darkgreen",0.01
"Puppo Capodano Marie-Gabrielle (FR)","Biotechnology",1,"lightorange",0.01
"Rijk Zwaan Zaadteelt En Zaadhandel Bv (NL)","Biotechnology",32,"lightorange",0.24
"Grass Stefan (CH)","Waste management",1,"blue",0.01
"Grass Stefan (CH)","Biofuels",1,"brown",0.01
"Grass Stefan (CH)","Recycling technologies",1,"darkgreen",0.01
"The Scottish Association For Marine Science (UK)","Biotechnology",1,"lightorange",0.01
"Kongju National University Industry-University Cooperation Foundation (KR)","Biotechnology",2,"lightorange",0.02
"Museum National D'histoire Naturelle (FR)","Biotechnology",1,"lightorange",0.01
"Bejo Zaden Bv (NL)","Biotechnology",5,"lightorange",0.04
"Dow Global Technologies Llc (US)","Air & Water pollution reduction",3,"grey",0.02
"Husqvarna Ab (SE)","Water related adaptation technologies",11,"indigo",0.08
"Gobio Gmbh Institut F„ºR Gew„§Sser„∂Kologie Und Angewandte Biologie (DE)","Biotechnology",1,"lightorange",0.01
"Lonza Walkersville Inc (US)","Biotechnology",1,"lightorange",0.01
"Alavi Shirkhorshidi Seyed Sasan (IR)","Air & Water pollution reduction",1,"grey",0.01
"Hosseini Mahmood (IR)","Air & Water pollution reduction",1,"grey",0.01
"Alavi Shirkhorshidi Seyed Sasan (IR)","Batteries",1,"red",0.01
"Hosseini Mahmood (IR)","Batteries",1,"red",0.01
"Alavi Shirkhorshidi Seyed Sasan (IR)","Green transports",1,"pink",0.01
"Hosseini Mahmood (IR)","Green transports",1,"pink",0.01
"Daios Asterios (EL)","Water related adaptation technologies",1,"indigo",0.01
"The Climate Corporation (US)","Water related adaptation technologies",9,"indigo",0.07
"The Climate Corporation (US)","Artificial intelligence",26,"black",0.2
"Costello Lorraine (IE)","Greenhouse gas capture",1,"darkyellow",0.01
"The Gsi Group Llc (US)","Green buildings",1,"darkorange",0.01
"Viking Genetics Fmba (DK)","Augmented reality",1,"navyblue",0.01
"Deinobiotics (FR)","Advanced Sustainable Materials",1,"orange",0.01
"Deinobiotics (FR)","Biotechnology",2,"lightorange",0.02
"Apreslabs Ltd (UK)","Biotechnology",1,"lightorange",0.01
"Stellenbosch University (ZA)","Water related adaptation technologies",1,"indigo",0.01
"Stellenbosch University (ZA)","Biotechnology",2,"lightorange",0.02
