"id","x","y","parent","color"
"Biotechnology",2019,56,"Green transition","green"
"Biotechnology",2018,57.94,"Green transition","green"
"Biotechnology",2020,58,"Green transition","green"
"Biotechnology",2017,60.38,"Green transition","green"
"Biotechnology",2016,63.11,"Green transition","green"
"Biotechnology",2014,63.91,"Green transition","green"
"Biotechnology",2015,61.12,"Green transition","green"
"Biotechnology",2013,67.59,"Green transition","green"
"Biotechnology",2012,68.67,"Green transition","green"
"Biotechnology",2011,72.19,"Green transition","green"
"Biotechnology",2010,72.67,"Green transition","green"
"Biotechnology",2021,61.77,"Green transition","green"
"Augmented reality",2019,9.93,"Digital transition","blue"
"Artificial intelligence",2019,9.12,"Digital transition","blue"
"Artificial intelligence",2020,9.66,"Digital transition","blue"
"Augmented reality",2018,9.12,"Digital transition","blue"
"Augmented reality",2020,8.88,"Digital transition","blue"
"Augmented reality",2017,8.01,"Digital transition","blue"
"Artificial intelligence",2018,6.79,"Digital transition","blue"
"Augmented reality",2016,7.86,"Digital transition","blue"
"Augmented reality",2014,8.43,"Digital transition","blue"
"Augmented reality",2015,8.19,"Digital transition","blue"
"Nanotechnology",2019,4.88,"Digital transition","blue"
"Artificial intelligence",2021,9.89,"Digital transition","blue"
"Nanotechnology",2018,5.01,"Digital transition","blue"
"Nanotechnology",2017,5.35,"Digital transition","blue"
"Artificial intelligence",2017,5.05,"Digital transition","blue"
"Advanced Sustainable Materials",2019,4,"Green transition","green"
"Augmented reality",2021,8.32,"Digital transition","blue"
"Nanotechnology",2012,7.45,"Digital transition","blue"
"Advanced Sustainable Materials",2018,4.13,"Green transition","green"
"Nanotechnology",2020,4.18,"Digital transition","blue"
"Advanced Sustainable Materials",2017,4.19,"Green transition","green"
"Nanotechnology",2016,4.85,"Digital transition","blue"
"Nanotechnology",2014,5.38,"Digital transition","blue"
"Augmented reality",2013,6.28,"Digital transition","blue"
"Advanced Sustainable Materials",2020,3.56,"Green transition","green"
"Nanotechnology",2015,5.05,"Digital transition","blue"
"Nanotechnology",2010,6.77,"Digital transition","blue"
"Nanotechnology",2011,6.64,"Digital transition","blue"
"Nanotechnology",2013,5.81,"Digital transition","blue"
"Artificial intelligence",2016,4.27,"Digital transition","blue"
"Advanced Sustainable Materials",2014,4.83,"Green transition","green"
"Augmented reality",2012,5.66,"Digital transition","blue"
"Advanced Sustainable Materials",2016,4.09,"Green transition","green"
"Artificial intelligence",2015,4.36,"Digital transition","blue"
"Advanced Sustainable Materials",2013,4.83,"Green transition","green"
"Advanced Sustainable Materials",2015,3.99,"Green transition","green"
"Internet of things",2017,2.83,"Digital transition","blue"
"Artificial intelligence",2014,3.83,"Digital transition","blue"
"Additive manufacturing",2019,2.33,"Digital transition","blue"
"Internet of things",2018,2.47,"Digital transition","blue"
"Internet of things",2019,2.19,"Digital transition","blue"
"Cybersecurity",2019,2.16,"Digital transition","blue"
"Advanced Sustainable Materials",2012,4.2,"Green transition","green"
"Internet of things",2020,2.39,"Digital transition","blue"
"Additive manufacturing",2020,2.25,"Digital transition","blue"
"Nanotechnology",2021,4.11,"Digital transition","blue"
"Cybersecurity",2018,2.14,"Digital transition","blue"
"Augmented reality",2011,4.1,"Digital transition","blue"
"Advanced Sustainable Materials",2011,4.03,"Green transition","green"
"Advanced Sustainable Materials",2010,4.02,"Green transition","green"
"Augmented reality",2010,4,"Digital transition","blue"
"Additive manufacturing",2018,1.98,"Digital transition","blue"
"Autonomous robots",2018,1.97,"Digital transition","blue"
"Air & Water pollution reduction",2017,2.12,"Green transition","green"
"Internet of things",2015,2.85,"Digital transition","blue"
"Internet of things",2016,2.46,"Digital transition","blue"
"Cybersecurity",2020,1.92,"Digital transition","blue"
"Autonomous robots",2017,1.9,"Digital transition","blue"
"Air & Water pollution reduction",2019,1.58,"Green transition","green"
