"id","x","y","parent","color"
"Batteries",2019,21.63,"Green transition","green"
"Solar energy",2018,21.42,"Green transition","green"
"Solar energy",2019,20.98,"Green transition","green"
"Batteries",2018,20.74,"Green transition","green"
"Batteries",2017,21.59,"Green transition","green"
"Advanced Sustainable Materials",2017,20.7,"Green transition","green"
"Advanced Sustainable Materials",2019,18.89,"Green transition","green"
"Solar energy",2020,22.56,"Green transition","green"
"Advanced Sustainable Materials",2016,22.03,"Green transition","green"
"Batteries",2016,21.74,"Green transition","green"
"Advanced Sustainable Materials",2018,18.15,"Green transition","green"
"Solar energy",2017,18.73,"Green transition","green"
"Batteries",2020,20.55,"Green transition","green"
"Advanced Sustainable Materials",2020,19.84,"Green transition","green"
"Batteries",2015,22.82,"Green transition","green"
"Biotechnology",2018,15.38,"Green transition","green"
"Batteries",2013,22.98,"Green transition","green"
"Batteries",2014,20.89,"Green transition","green"
"Solar energy",2016,17.18,"Green transition","green"
"Advanced Sustainable Materials",2014,19.45,"Green transition","green"
"Advanced Sustainable Materials",2015,19.66,"Green transition","green"
"Biotechnology",2017,14.43,"Green transition","green"
"Biotechnology",2019,13.48,"Green transition","green"
"Solar energy",2013,18.59,"Green transition","green"
"Solar energy",2014,17.41,"Green transition","green"
"Biotechnology",2020,14.42,"Green transition","green"
"Batteries",2012,22.84,"Green transition","green"
"Solar energy",2015,16.5,"Green transition","green"
"Green buildings",2017,11.96,"Green transition","green"
"Biotechnology",2016,13.02,"Green transition","green"
"Green buildings",2014,15.24,"Green transition","green"
"Green buildings",2016,12.87,"Green transition","green"
"Advanced Sustainable Materials",2013,15.95,"Green transition","green"
"Green buildings",2018,9.69,"Green transition","green"
"Solar energy",2012,18.44,"Green transition","green"
"Green buildings",2019,9.32,"Green transition","green"
"Green buildings",2015,13.43,"Green transition","green"
"Green buildings",2013,13.92,"Green transition","green"
"Advanced Sustainable Materials",2021,23.08,"Green transition","green"
"Solar energy",2011,21.4,"Green transition","green"
"Biotechnology",2014,11.72,"Green transition","green"
"Biotechnology",2015,11.92,"Green transition","green"
"Solar energy",2021,21.11,"Green transition","green"
"Advanced Sustainable Materials",2012,15.7,"Green transition","green"
"Batteries",2021,20.16,"Green transition","green"
"Batteries",2011,18.06,"Green transition","green"
"Green buildings",2020,8.07,"Green transition","green"
"Green buildings",2012,12.79,"Green transition","green"
"Biotechnology",2013,9.85,"Green transition","green"
"Green transports",2013,9.71,"Green transition","green"
"Green buildings",2011,15.97,"Green transition","green"
"Advanced Sustainable Materials",2011,15.89,"Green transition","green"
"Green transports",2018,6.18,"Green transition","green"
"Solar energy",2010,20.68,"Green transition","green"
"Green transports",2019,5.85,"Green transition","green"
"Advanced Sustainable Materials",2010,19.94,"Green transition","green"
"Biotechnology",2021,14.31,"Green transition","green"
"Biotechnology",2012,10.41,"Green transition","green"
"Batteries",2010,17.16,"Green transition","green"
"Green transports",2020,5.83,"Green transition","green"
"Green transports",2012,9.1,"Green transition","green"
"Biotechnology",2011,11.4,"Green transition","green"
"Green transports",2015,6.54,"Green transition","green"
"Green transports",2014,5.91,"Green transition","green"
"Green buildings",2010,13.54,"Green transition","green"
"Green transports",2017,4.07,"Green transition","green"
"Biotechnology",2010,13.01,"Green transition","green"
"Green transports",2016,4.38,"Green transition","green"
"Green buildings",2021,7.27,"Green transition","green"
"Green transports",2011,6.67,"Green transition","green"
"Air & Water pollution reduction",2019,2.55,"Green transition","green"
"Air & Water pollution reduction",2018,1.91,"Green transition","green"
"Green transports",2010,6.61,"Green transition","green"
"Air & Water pollution reduction",2017,1.77,"Green transition","green"
"Air & Water pollution reduction",2020,1.98,"Green transition","green"
"Green transports",2021,4.11,"Green transition","green"
"Air & Water pollution reduction",2012,2.62,"Green transition","green"
"Air & Water pollution reduction",2013,2.03,"Green transition","green"
"Air & Water pollution reduction",2016,1.62,"Green transition","green"
"Hydrogen",2019,1.35,"Green transition","green"
"Efficient power & combustion",2014,1.87,"Green transition","green"
"Waste management",2017,1.35,"Green transition","green"
"Air & Water pollution reduction",2014,1.74,"Green transition","green"
"Hydrogen",2015,1.69,"Green transition","green"
"Waste management",2020,1.42,"Green transition","green"
"Air & Water pollution reduction",2015,1.65,"Green transition","green"
"Water related adaptation technologies",2020,1.38,"Green transition","green"
"Water related adaptation technologies",2019,1.11,"Green transition","green"
"Air & Water pollution reduction",2011,2.71,"Green transition","green"
"Wind energy",2019,1.08,"Green transition","green"
"Waste management",2016,1.25,"Green transition","green"
"Waste management",2019,1.05,"Green transition","green"
"Hydrogen",2017,1.08,"Green transition","green"
"Air & Water pollution reduction",2021,2.53,"Green transition","green"
"Wind energy",2016,1.18,"Green transition","green"
"Hydrogen",2018,0.95,"Green transition","green"
"Waste management",2015,1.38,"Green transition","green"
"Waste management",2018,0.95,"Green transition","green"
"Efficient power & combustion",2016,1.07,"Green transition","green"
"Efficient power & combustion",2017,0.92,"Green transition","green"
"Recycling technologies",2016,1.03,"Green transition","green"
"Recycling technologies",2019,0.86,"Green transition","green"
"Wind energy",2012,1.67,"Green transition","green"
"Waste management",2014,1.17,"Green transition","green"
"Wind energy",2014,1.17,"Green transition","green"
"Recycling technologies",2018,0.8,"Green transition","green"
"Recycling technologies",2020,0.97,"Green transition","green"
"Wind energy",2017,0.85,"Green transition","green"
"Wind energy",2018,0.8,"Green transition","green"
"Efficient power & combustion",2018,0.77,"Green transition","green"
"Hydrogen",2013,1.16,"Green transition","green"
"Recycling technologies",2014,1.09,"Green transition","green"
"Water related adaptation technologies",2018,0.77,"Green transition","green"
"Efficient power & combustion",2019,0.74,"Green transition","green"
"Hydrogen",2016,0.88,"Green transition","green"
"Wind energy",2013,1.06,"Green transition","green"
"Efficient power & combustion",2011,1.71,"Green transition","green"
"Efficient power & combustion",2013,1.02,"Green transition","green"
"Hydrogen",2011,1.71,"Green transition","green"
"Hydrogen",2014,0.96,"Green transition","green"
"Waste management",2013,1.02,"Green transition","green"
"Efficient power & combustion",2015,0.93,"Green transition","green"
"Hydrogen",2020,0.78,"Green transition","green"
"Wind energy",2020,0.78,"Green transition","green"
"Hydrogen",2012,1.19,"Green transition","green"
"Hydrogen",2021,1.58,"Green transition","green"
"Recycling technologies",2015,0.89,"Green transition","green"
"Recycling technologies",2017,0.66,"Green transition","green"
"Efficient power & combustion",2012,1.13,"Green transition","green"
"Nuclear energy",2018,0.58,"Green transition","green"
"Water related adaptation technologies",2017,0.59,"Green transition","green"
"Wind energy",2011,1.4,"Green transition","green"
