"id","x","y","parent","color"
"Augmented reality",2019,28.17,"Digital transition","blue"
"Artificial intelligence",2019,25.87,"Digital transition","blue"
"Artificial intelligence",2020,28.33,"Digital transition","blue"
"Augmented reality",2018,27.91,"Digital transition","blue"
"Augmented reality",2020,26.03,"Digital transition","blue"
"Augmented reality",2017,27.24,"Digital transition","blue"
"Artificial intelligence",2018,20.79,"Digital transition","blue"
"Augmented reality",2016,29.7,"Digital transition","blue"
"Augmented reality",2014,32.9,"Digital transition","blue"
"Augmented reality",2015,28.66,"Digital transition","blue"
"Nanotechnology",2019,13.83,"Digital transition","blue"
"Artificial intelligence",2021,31.51,"Digital transition","blue"
"Nanotechnology",2018,15.34,"Digital transition","blue"
"Nanotechnology",2017,18.18,"Digital transition","blue"
"Artificial intelligence",2017,17.16,"Digital transition","blue"
"Augmented reality",2021,26.48,"Digital transition","blue"
"Nanotechnology",2012,35.49,"Digital transition","blue"
"Nanotechnology",2020,12.25,"Digital transition","blue"
"Nanotechnology",2016,18.3,"Digital transition","blue"
"Nanotechnology",2014,21.01,"Digital transition","blue"
"Augmented reality",2013,28.82,"Digital transition","blue"
"Nanotechnology",2015,17.66,"Digital transition","blue"
"Nanotechnology",2010,38.43,"Digital transition","blue"
"Nanotechnology",2011,37.06,"Digital transition","blue"
"Nanotechnology",2013,26.68,"Digital transition","blue"
"Artificial intelligence",2016,16.12,"Digital transition","blue"
"Augmented reality",2012,26.97,"Digital transition","blue"
"Artificial intelligence",2015,15.25,"Digital transition","blue"
"Internet of things",2017,9.64,"Digital transition","blue"
"Artificial intelligence",2014,14.95,"Digital transition","blue"
"Additive manufacturing",2019,6.62,"Digital transition","blue"
"Internet of things",2018,7.57,"Digital transition","blue"
"Internet of things",2019,6.21,"Digital transition","blue"
"Cybersecurity",2019,6.12,"Digital transition","blue"
"Internet of things",2020,7,"Digital transition","blue"
"Additive manufacturing",2020,6.58,"Digital transition","blue"
"Nanotechnology",2021,13.1,"Digital transition","blue"
"Cybersecurity",2018,6.55,"Digital transition","blue"
"Augmented reality",2011,22.88,"Digital transition","blue"
"Augmented reality",2010,22.73,"Digital transition","blue"
"Additive manufacturing",2018,6.07,"Digital transition","blue"
"Autonomous robots",2018,6.04,"Digital transition","blue"
"Internet of things",2015,9.96,"Digital transition","blue"
"Internet of things",2016,9.31,"Digital transition","blue"
"Cybersecurity",2020,5.64,"Digital transition","blue"
"Autonomous robots",2017,6.47,"Digital transition","blue"
"Cybersecurity",2017,6.37,"Digital transition","blue"
"Autonomous robots",2019,4.04,"Digital transition","blue"
"Internet of things",2014,9,"Digital transition","blue"
"Cybersecurity",2015,7.51,"Digital transition","blue"
"Additive manufacturing",2017,5.35,"Digital transition","blue"
"Artificial intelligence",2013,11.38,"Digital transition","blue"
"Additive manufacturing",2021,8.24,"Digital transition","blue"
"Cloud computing",2018,4.08,"Digital transition","blue"
"Cloud computing",2019,3.34,"Digital transition","blue"
"Cybersecurity",2016,6.31,"Digital transition","blue"
"Artificial intelligence",2012,10.73,"Digital transition","blue"
"Cloud computing",2020,3.76,"Digital transition","blue"
"Autonomous robots",2020,3.62,"Digital transition","blue"
"Cloud computing",2015,5.95,"Digital transition","blue"
"Artificial intelligence",2010,12.71,"Digital transition","blue"
"Autonomous robots",2016,5.4,"Digital transition","blue"
"Cloud computing",2017,3.92,"Digital transition","blue"
