"reg";"tech";"year";"count";"share";"rank"
"AD";"Biotechnologie gericht op moleculen en cellen";2004;1;0,01;49
"AD";"Biotechnologie gericht op moleculen en cellen";2013;1;0,01;59
"AD";"Biotechnologie gericht op moleculen en cellen";2021;1;0,01;65
"AD";"Biotechnologie gericht op moleculen en cellen";2022;1;0,01;63
"AD";"Cybersecurity";2017;1;0,01;53
"AD";"Cybersecurity";2018;1;0,01;47
"AE";"Beeldvormingstechnologie";2009;1;0,05;35
"AE";"Beeldvormingstechnologie";2016;1;0,02;42
"AE";"Beeldvormingstechnologie";2019;2;0,03;42
"AE";"Beeldvormingstechnologie";2020;7;0,08;36
"AE";"Beeldvormingstechnologie";2021;4;0,05;39
"AE";"Beeldvormingstechnologie";2022;1;0,01;45
"AE";"Beeldvormingstechnologie";2023;2;0,06;35
"AE";"Biotechnologie gericht op moleculen en cellen";2004;1;0,01;49
"AE";"Biotechnologie gericht op moleculen en cellen";2005;1;0,01;50
"AE";"Biotechnologie gericht op moleculen en cellen";2008;1;0,01;55
"AE";"Biotechnologie gericht op moleculen en cellen";2010;1;0,01;58
"AE";"Biotechnologie gericht op moleculen en cellen";2012;2;0,02;55
"AE";"Biotechnologie gericht op moleculen en cellen";2014;2;0,02;58
"AE";"Biotechnologie gericht op moleculen en cellen";2015;2;0,02;52
"AE";"Biotechnologie gericht op moleculen en cellen";2016;2;0,02;55
"AE";"Biotechnologie gericht op moleculen en cellen";2017;1;0,01;63
"AE";"Biotechnologie gericht op moleculen en cellen";2018;1;0,01;63
"AE";"Biotechnologie gericht op moleculen en cellen";2019;2;0,01;58
"AE";"Biotechnologie gericht op moleculen en cellen";2020;1;0,01;64
"AE";"Biotechnologie gericht op moleculen en cellen";2021;2;0,01;57
"AE";"Biotechnologie gericht op moleculen en cellen";2022;1;0,01;63
"AE";"Biotechnologie gericht op moleculen en cellen";2023;3;0,03;46
"AE";"Cybersecurity";2007;1;0,03;40
"AE";"Cybersecurity";2008;1;0,03;41
"AE";"Cybersecurity";2009;2;0,06;38
"AE";"Cybersecurity";2011;2;0,06;35
"AE";"Cybersecurity";2012;1;0,03;42
"AE";"Cybersecurity";2013;1;0,02;44
"AE";"Cybersecurity";2014;4;0,07;37
"AE";"Cybersecurity";2015;1;0,02;45
"AE";"Cybersecurity";2016;2;0,03;48
"AE";"Cybersecurity";2017;2;0,03;44
"AE";"Cybersecurity";2019;7;0,08;37
"AE";"Cybersecurity";2020;5;0,05;43
"AE";"Cybersecurity";2021;8;0,09;36
"AE";"Cybersecurity";2022;6;0,08;35
"AE";"Cybersecurity";2023;1;0,02;41
"AE";"Energiematerialen";2005;1;0,03;38
"AE";"Energiematerialen";2006;3;0,07;33
"AE";"Energiematerialen";2007;4;0,09;27
"AE";"Energiematerialen";2008;1;0,02;39
"AE";"Energiematerialen";2010;1;0,02;46
"AE";"Energiematerialen";2011;1;0,01;49
"AE";"Energiematerialen";2012;2;0,02;44
"AE";"Energiematerialen";2013;2;0,02;40
"AE";"Energiematerialen";2014;1;0,01;51
"AE";"Energiematerialen";2015;1;0,01;49
"AE";"Energiematerialen";2016;2;0,03;42
"AE";"Energiematerialen";2018;3;0,03;42
"AE";"Energiematerialen";2019;2;0,02;45
"AE";"Energiematerialen";2020;2;0,02;49
"AE";"Energiematerialen";2021;6;0,06;33
"AE";"Energiematerialen";2022;1;0,01;49
"AE";"Groene chemische productieprocessen";2012;1;0,12;28
"AE";"Groene chemische productieprocessen";2018;1;0,16;31
"AE";"Halfgeleiders";2010;1;0,01;38
"AE";"Halfgeleiders";2012;2;0,02;41
"AE";"Halfgeleiders";2014;1;0,01;40
"AE";"Halfgeleiders";2016;3;0,04;34
"AE";"Halfgeleiders";2017;1;0,01;44
"AE";"Halfgeleiders";2018;1;0,01;42
"AE";"Halfgeleiders";2019;1;0,01;42
"AE";"Halfgeleiders";2020;2;0,02;41
"AE";"Halfgeleiders";2021;4;0,04;29
"AE";"Kunstmatige intelligentie en data";2014;1;0,07;28
"AE";"Kunstmatige intelligentie en data";2015;1;0,06;34
"AE";"Kunstmatige intelligentie en data";2017;3;0,11;31
"AE";"Kunstmatige intelligentie en data";2019;5;0,07;34
"AE";"Kunstmatige intelligentie en data";2020;8;0,08;33
"AE";"Kunstmatige intelligentie en data";2021;9;0,07;36
"AE";"Kunstmatige intelligentie en data";2022;7;0,06;36
"AE";"Kunstmatige intelligentie en data";2023;4;0,07;36
"AE";"Optica en geintegreerde fotonica";2010;2;0,03;37
