"id";"name";"value"
"AT11";"Burgenland (AT)";25,05
"AT12";"Niederösterreich";12,48
"AT13";"Wien";10,02
"AT21";"Kärnten";17,67
"AT22";"Steiermark";34,61
"AT31";"Oberösterreich";27,69
"AT32";"Salzburg";14,39
"AT33";"Tirol";19,85
"AT34";"Vorarlberg";12,48
"BE10";"Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest";20,4
"BE21";"Prov. Antwerpen";9,02
"BE22";"Prov. Limburg (BE)";16,67
"BE23";"Prov. Oost-Vlaanderen";7,92
"BE24";"Prov. Vlaams-Brabant";16,12
"BE25";"Prov. West-Vlaanderen";10,11
"BE31";"Prov. Brabant Wallon";12,75
"BE32";"Prov. Hainaut";9,56
"BE33";"Prov. Liège";8,47
"BE34";"Prov. Luxembourg (BE)";22,22
"BE35";"Prov. Namur";8,11
"BG31";"Severozapaden";13,02
"BG32";"Severen tsentralen";13,21
"BG33";"Severoiztochen";13,84
"BG34";"Yugoiztochen";2,82
"BG41";"Yugozapaden";21,22
"BG42";"Yuzhen tsentralen";3,92
"CH01";"Région lémanique";6,56
"CH02";"Espace Mittelland";11,93
"CH03";"Nordwestschweiz";10,84
"CH04";"Zürich";11,29
"CH05";"Ostschweiz";15,66
"CH06";"Zentralschweiz";5,28
"CH07";"Ticino";9,56
"CY00";"Kýpros";12,75
"CZ01";"Praha";9,65
"CZ02";"Střední Čechy";20,95
"CZ03";"Jihozápad";12,93
"CZ04";"Severozápad";6,28
"CZ05";"Severovýchod";10,47
"CZ06";"Jihovýchod";9,74
"CZ07";"Střední Morava";18,94
"CZ08";"Moravskoslezsko";8,83
"DE11";"Stuttgart";28,14
"DE12";"Karlsruhe";25,23
"DE13";"Freiburg";19,31
"DE14";"Tübingen";27,69
"DE21";"Oberbayern";26,23
"DE22";"Niederbayern";30,15
"DE23";"Oberpfalz";21,22
"DE24";"Oberfranken";31,79
"DE25";"Mittelfranken";31,51
"DE26";"Unterfranken";30,05
"DE27";"Schwaben";29,05
"DE30";"Berlin";18,58
"DE40";"Brandenburg";15,85
"DE50";"Bremen";23,04
"DE60";"Hamburg";19,85
"DE71";"Darmstadt";16,58
"DE72";"Gießen";28,05
"DE73";"Kassel";20,49
"DE80";"Mecklenburg-Vorpommern";13,02
"DE91";"Braunschweig";23,95
"DE92";"Hannover";10,02
"DE93";"Lüneburg";22,95
"DE94";"Weser-Ems";10,29
"DEA1";"Düsseldorf";11,66
"DEA2";"Köln";16,48
"DEA3";"Münster";26,32
"DEA4";"Detmold";13,66
"DEA5";"Arnsberg";17,49
"DEB1";"Koblenz";20,77
"DEB2";"Trier";6,1
"DEB3";"Rheinhessen-Pfalz";19,58
"DEC0";"Saarland";9,93
"DED2";"Dresden";35,34
"DED4";"Chemnitz";31,79
"DED5";"Leipzig";16,58
"DEE0";"Sachsen-Anhalt";18,76
"DEF0";"Schleswig-Holstein";19,49
"DEG0";"Thüringen";15,48
"DK01";"Hovedstaden";5,46
"DK02";"Sjælland";6,83
"DK03";"Syddanmark";12,11
"DK04";"Midtjylland";6,01
"DK05";"Nordjylland";17,49
