"id";"name";"value"
"AT11";"Burgenland (AT)";12,3
"AT12";"Niederösterreich";20,24
"AT13";"Wien";36,11
"AT21";"Kärnten";53,57
"AT22";"Steiermark";36,9
"AT31";"Oberösterreich";19,44
"AT32";"Salzburg";30,95
"AT33";"Tirol";36,11
"AT34";"Vorarlberg";8,33
"BE10";"Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest";21,43
"BE21";"Prov. Antwerpen";5,95
"BE22";"Prov. Limburg (BE)";15,08
"BE23";"Prov. Oost-Vlaanderen";20,24
"BE24";"Prov. Vlaams-Brabant";36,51
"BE25";"Prov. West-Vlaanderen";12,3
"BE31";"Prov. Brabant Wallon";18,65
"BE32";"Prov. Hainaut";19,05
"BE33";"Prov. Liège";14,68
"BE34";"Prov. Luxembourg (BE)";42,86
"BE35";"Prov. Namur";19,44
"BG31";"Severozapaden";0,79
"BG32";"Severen tsentralen";16,27
"BG33";"Severoiztochen";1,59
"BG34";"Yugoiztochen";5,16
"BG41";"Yugozapaden";19,84
"BG42";"Yuzhen tsentralen";17,86
"CH01";"Région lémanique";38,1
"CH02";"Espace Mittelland";15,87
"CH03";"Nordwestschweiz";12,3
"CH04";"Zürich";68,65
"CH05";"Ostschweiz";13,1
"CH06";"Zentralschweiz";6,75
"CH07";"Ticino";14,68
"CY00";"Kýpros";54,76
"CZ01";"Praha";44,84
"CZ02";"Střední Čechy";52,78
"CZ03";"Jihozápad";37,7
"CZ04";"Severozápad";18,65
"CZ05";"Severovýchod";34,13
"CZ06";"Jihovýchod";18,25
"CZ07";"Střední Morava";39,68
"CZ08";"Moravskoslezsko";17,46
"DE11";"Stuttgart";42,86
"DE12";"Karlsruhe";36,51
"DE13";"Freiburg";27,78
"DE14";"Tübingen";28,17
"DE21";"Oberbayern";34,92
"DE22";"Niederbayern";30,16
"DE23";"Oberpfalz";19,05
"DE24";"Oberfranken";17,46
"DE25";"Mittelfranken";50,4
"DE26";"Unterfranken";17,46
"DE27";"Schwaben";16,67
"DE30";"Berlin";40,48
"DE40";"Brandenburg";21,43
"DE50";"Bremen";8,73
"DE60";"Hamburg";2,38
"DE71";"Darmstadt";32,54
"DE72";"Gießen";15,48
"DE73";"Kassel";13,49
"DE80";"Mecklenburg-Vorpommern";24,21
"DE91";"Braunschweig";27,78
"DE92";"Hannover";9,92
"DE93";"Lüneburg";6,35
"DE94";"Weser-Ems";1,19
"DEA1";"Düsseldorf";9,13
"DEA2";"Köln";12,3
"DEA3";"Münster";13,89
"DEA4";"Detmold";11,11
