"id";"name";"value"
"AT11";"Burgenland (AT)";6,97
"AT12";"Niederösterreich";8,2
"AT13";"Wien";9,79
"AT21";"Kärnten";6,7
"AT22";"Steiermark";4,85
"AT31";"Oberösterreich";3,44
"AT32";"Salzburg";7,5
"AT33";"Tirol";8,82
"AT34";"Vorarlberg";0,35
"BE10";"Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest";13,32
"BE21";"Prov. Antwerpen";5,91
"BE22";"Prov. Limburg (BE)";5,82
"BE23";"Prov. Oost-Vlaanderen";10,41
"BE24";"Prov. Vlaams-Brabant";8,55
"BE25";"Prov. West-Vlaanderen";6,26
"BE31";"Prov. Brabant Wallon";8,91
"BE32";"Prov. Hainaut";8,11
"BE33";"Prov. Liège";10,58
"BE34";"Prov. Luxembourg (BE)";8,55
"BE35";"Prov. Namur";5,73
"BG31";"Severozapaden";1,06
"BG32";"Severen tsentralen";1,23
"BG33";"Severoiztochen";1,41
"BG34";"Yugoiztochen";2,91
"BG41";"Yugozapaden";8,11
"BG42";"Yuzhen tsentralen";1,23
"CH01";"Région lémanique";11,02
"CH02";"Espace Mittelland";7,85
"CH03";"Nordwestschweiz";6
"CH04";"Zürich";9,26
"CH05";"Ostschweiz";3,44
"CH06";"Zentralschweiz";8,64
"CH07";"Ticino";8,91
"CY00";"Kýpros";8,73
"CZ01";"Praha";5,38
"CZ02";"Střední Čechy";9,26
"CZ03";"Jihozápad";2,82
"CZ04";"Severozápad";8,73
"CZ05";"Severovýchod";4,06
"CZ06";"Jihovýchod";10,58
"CZ07";"Střední Morava";11,2
"CZ08";"Moravskoslezsko";3,97
"DE11";"Stuttgart";4,14
"DE12";"Karlsruhe";5,91
"DE13";"Freiburg";8,38
"DE14";"Tübingen";1,41
"DE21";"Oberbayern";2,03
"DE22";"Niederbayern";3,35
"DE23";"Oberpfalz";1,32
"DE24";"Oberfranken";2,2
"DE25";"Mittelfranken";1,68
"DE26";"Unterfranken";4,59
"DE27";"Schwaben";1,41
"DE30";"Berlin";4,67
"DE40";"Brandenburg";4,23
"DE50";"Bremen";4,06
"DE60";"Hamburg";8,64
"DE71";"Darmstadt";7,23
"DE72";"Gießen";6,97
"DE73";"Kassel";9,44
"DE80";"Mecklenburg-Vorpommern";9,7
"DE91";"Braunschweig";8,91
"DE92";"Hannover";2,56
"DE93";"Lüneburg";3,09
"DE94";"Weser-Ems";1,85
"DEA1";"Düsseldorf";5,38
"DEA2";"Köln";4,23
"DEA3";"Münster";6
"DEA4";"Detmold";1,94
"DEA5";"Arnsberg";3,53
"DEB1";"Koblenz";4,32
"DEB2";"Trier";3,44
"DEB3";"Rheinhessen-Pfalz";8,47
"DEC0";"Saarland";4,76
"DED2";"Dresden";9,35
"DED4";"Chemnitz";1,68
"DED5";"Leipzig";11,64
"DEE0";"Sachsen-Anhalt";8,11
"DEF0";"Schleswig-Holstein";5,2
"DEG0";"Thüringen";9,08
"DK01";"Hovedstaden";12,08
"DK02";"Sjælland";11,2
"DK03";"Syddanmark";6,61
"DK04";"Midtjylland";7,67
"DK05";"Nordjylland";1,23
"EE00";"Eesti";5,2
"EL30";"Attiki";6,35
"EL41";"Voreio Aigaio";0,88
"EL42";"Notio Aigaio";0
"EL43";"Kriti";3,53
"EL51";"Anatoliki Makedonia, Thraki";2,03
"EL52";"Kentriki Makedonia";10,05
"EL53";"Dytiki Makedonia";0,44
"EL54";"Thessalia";4,06
"EL61";"Ipeiros";1,23
"EL62";"Ionia Nisia";0
"EL63";"Dytiki Ellada";2,03
"EL64";"Sterea Ellada";0,62
"EL65";"Peloponnisos";3,79
"ES11";"Galicia";8,73
"ES12";"Principado de Asturias";3,79
"ES13";"Cantabria";2,73
"ES21";"País Vasco";10,05
"ES22";"Comunidad Foral de Navarra";6,79
"ES23";"La Rioja";5,91
"ES24";"Aragón";4,76
"ES30";"Comunidad de Madrid";4,94
"ES41";"Castilla y León";11,2
"ES42";"Castilla-La Mancha";3,26
"ES43";"Extremadura";1,85
"ES51";"Cataluña";3,97
"ES52";"Comunidad Valenciana";9,61
"ES53";"Illes Balears";3,97
"ES61";"Andalucía";5,29
"ES62";"Región de Murcia";9,35
"ES64";"Ciudad Autónoma de Melilla";0
"ES70";"Canarias";11,46
"FI19";"Länsi-Suomi";9,79
"FI1B";"Helsinki-Uusimaa";5,29
"FI1C";"Etelä-Suomi";8,91
"FI1D";"Pohjois- ja Itä-Suomi";8,29
"FI20";"Åland";1,32
"FR10";"Île de France";2,2
"FR21";"Champagne-Ardenne";9,88
"FR22";"Picardie";3,62
"FR23";"Haute-Normandie";2,65
"FR24";"Centre";4,32
"FR25";"Basse-Normandie";6
"FR26";"Bourgogne";4,59
"FR30";"Nord - Pas-de-Calais";11,02
"FR41";"Lorraine";9,26
"FR42";"Alsace";9,26
"FR43";"Franche-Comté";6
"FR51";"Pays de la Loire";4,76
"FR52";"Bretagne";4,76
"FR53";"Poitou-Charentes";5,73
"FR61";"Aquitaine";12,26
"FR62";"Midi-Pyrénées";9,52
"FR63";"Limousin";3,97
