"id";"name";"value"
"AT11";"Burgenland (AT)";11
"AT12";"Niederösterreich";12,75
"AT13";"Wien";9
"AT21";"Kärnten";7
"AT22";"Steiermark";9,5
"AT31";"Oberösterreich";17,5
"AT32";"Salzburg";7,75
"AT33";"Tirol";9
"AT34";"Vorarlberg";2,25
"BE10";"Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest";18,5
"BE21";"Prov. Antwerpen";13,5
"BE22";"Prov. Limburg (BE)";18
"BE23";"Prov. Oost-Vlaanderen";17,5
"BE24";"Prov. Vlaams-Brabant";16,25
"BE25";"Prov. West-Vlaanderen";11
"BE31";"Prov. Brabant Wallon";15,25
"BE32";"Prov. Hainaut";13
"BE33";"Prov. Liège";11,25
"BE34";"Prov. Luxembourg (BE)";7,75
"BE35";"Prov. Namur";11
"BG31";"Severozapaden";3,75
"BG32";"Severen tsentralen";9
"BG33";"Severoiztochen";5,25
"BG34";"Yugoiztochen";3,25
"BG41";"Yugozapaden";11
"BG42";"Yuzhen tsentralen";3
"CH01";"Région lémanique";7
"CH02";"Espace Mittelland";4,5
"CH03";"Nordwestschweiz";4,25
"CH04";"Zürich";9
"CH05";"Ostschweiz";5,5
"CH06";"Zentralschweiz";9,25
"CH07";"Ticino";8,5
"CY00";"Kýpros";4,5
"CZ01";"Praha";5,75
"CZ02";"Střední Čechy";6,75
"CZ03";"Jihozápad";3,5
"CZ04";"Severozápad";4,5
"CZ05";"Severovýchod";9
"CZ06";"Jihovýchod";8
"CZ07";"Střední Morava";10,75
"CZ08";"Moravskoslezsko";5,5
"DE11";"Stuttgart";4,75
"DE12";"Karlsruhe";8,25
"DE13";"Freiburg";4,25
"DE14";"Tübingen";5,5
"DE21";"Oberbayern";5,5
"DE22";"Niederbayern";10,5
"DE23";"Oberpfalz";5,75
"DE24";"Oberfranken";9,75
"DE25";"Mittelfranken";5
"DE26";"Unterfranken";9,75
"DE27";"Schwaben";5
"DE30";"Berlin";4,25
"DE40";"Brandenburg";6,75
"DE50";"Bremen";10,75
"DE60";"Hamburg";12,25
"DE71";"Darmstadt";13,5
"DE72";"Gießen";9,75
"DE73";"Kassel";8,25
"DE80";"Mecklenburg-Vorpommern";11,5
"DE91";"Braunschweig";6,25
"DE92";"Hannover";9,5
"DE93";"Lüneburg";14,25
"DE94";"Weser-Ems";8,5
"DEA1";"Düsseldorf";14
"DEA2";"Köln";12,25
"DEA3";"Münster";17,25
"DEA4";"Detmold";6,25
"DEA5";"Arnsberg";7,25
"DEB1";"Koblenz";8,5
"DEB2";"Trier";5,25
"DEB3";"Rheinhessen-Pfalz";15,5
"DEC0";"Saarland";8,5
"DED2";"Dresden";9,25
"DED4";"Chemnitz";6,75
"DED5";"Leipzig";14
"DEE0";"Sachsen-Anhalt";11,5
"DEF0";"Schleswig-Holstein";8,5
"DEG0";"Thüringen";3,25
"DK01";"Hovedstaden";16,5
"DK02";"Sjælland";17,5
"DK03";"Syddanmark";9,5
"DK04";"Midtjylland";8,75
"DK05";"Nordjylland";6
"EE00";"Eesti";2
"EL30";"Attiki";7,75
"EL41";"Voreio Aigaio";0
"EL42";"Notio Aigaio";0
"EL43";"Kriti";6
"EL51";"Anatoliki Makedonia, Thraki";4,5
"EL52";"Kentriki Makedonia";7,5
"EL53";"Dytiki Makedonia";0,5
"EL54";"Thessalia";7,25
"EL61";"Ipeiros";0
"EL62";"Ionia Nisia";0,25
"EL63";"Dytiki Ellada";6,75
"EL64";"Sterea Ellada";0
"EL65";"Peloponnisos";3,75
"ES11";"Galicia";9,5
"ES12";"Principado de Asturias";5,25
"ES13";"Cantabria";3
"ES21";"País Vasco";10
"ES22";"Comunidad Foral de Navarra";8
"ES23";"La Rioja";8
"ES24";"Aragón";5,25
"ES30";"Comunidad de Madrid";7,25
"ES41";"Castilla y León";15,25
"ES42";"Castilla-La Mancha";6,5
"ES43";"Extremadura";2
"ES51";"Cataluña";6,25
"ES52";"Comunidad Valenciana";10
"ES53";"Illes Balears";5,5
"ES61";"Andalucía";7,5
"ES62";"Región de Murcia";9,75
"ES64";"Ciudad Autónoma de Melilla";0
"ES70";"Canarias";8
"FI19";"Länsi-Suomi";12
"FI1B";"Helsinki-Uusimaa";15,75
"FI1C";"Etelä-Suomi";16,75
"FI1D";"Pohjois- ja Itä-Suomi";9,5
"FI20";"Åland";2,5
"FR10";"Île de France";2,25
"FR21";"Champagne-Ardenne";15,75
"FR22";"Picardie";13
"FR23";"Haute-Normandie";11,5
"FR24";"Centre";6,25
"FR25";"Basse-Normandie";6,75
"FR26";"Bourgogne";13
"FR30";"Nord - Pas-de-Calais";14,25
"FR41";"Lorraine";11,75
"FR42";"Alsace";17
"FR43";"Franche-Comté";8,25
"FR51";"Pays de la Loire";12,25
"FR52";"Bretagne";3,5
"FR53";"Poitou-Charentes";13
"FR61";"Aquitaine";19,5
"FR62";"Midi-Pyrénées";11,75
"FR63";"Limousin";4,5
"FR71";"Rhône-Alpes";21
"FR72";"Auvergne";10,25
"FR81";"Languedoc-Roussillon";14,75
"FR82";"Provence-Alpes-Côte d'Azur";9,5
"FR83";"Corse";3,5
"FRY1";"Guadeloupe";4
"FRY2";"Martinique";0
"FRY3";"Guyane";0
"FRY4";"Réunion";7,25
"HR03";"Jadranska Hrvatska";1,5
"HR04";"Kontinentalna Hrvatska";5,75
"HU10";"Közép-Magyarország";3,5
"HU21";"Közép-Dunántúl";4,25
"HU22";"Nyugat-Dunántúl";10
"HU23";"Dél-Dunántúl";1,75
"HU31";"Észak-Magyarország";3,25
"HU32";"Észak-Alföld";7
"HU33";"Dél-Alföld";3,5
"IE01";"Border, Midland and Western";2,25
"IE02";"Southern and Eastern";9,75
"IS01";"Höfuðborgarsvæði";12
"IS02";"Landsbyggð";10,25
"ITC1";"Piemonte";15
"ITC2";"Valle d'Aosta/Vallée d'Aoste";1
"ITC3";"Liguria";7,75
"ITC4";"Lombardia";17
"ITF1";"Abruzzo";7
"ITF2";"Molise";2,5
"ITF3";"Campania";7,25
"ITF4";"Puglia";11
"ITF5";"Basilicata";6,75
"ITF6";"Calabria";7,5
"ITG1";"Sicilia";5,75
"ITG2";"Sardegna";5,75
"ITH1";"Provincia Autonoma di Bolzano/Bozen";9,5
"ITH2";"Provincia Autonoma di Trento";8
"ITH3";"Veneto";9,75
"ITH4";"Friuli-Venezia Giulia";8,5
"ITH5";"Emilia-Romagna";11
"ITI1";"Toscana";6,5
"ITI2";"Umbria";8,25
"ITI3";"Marche";7,75
"ITI4";"Lazio";8,75
"LI00";"Liechtenstein";1,5
"LT00";"Lietuva";4,25
"LU00";"Luxembourg";9,75
"LV00";"Latvija";5
"MT00";"Malta";3,25
"NL11";"Groningen";12,75
"NL12";"Friesland (NL)";14,5
"NL13";"Drenthe";6,5
"NL21";"Overijssel";21,5
"NL22";"Gelderland";18,75
"NL23";"Flevoland";8,25
"NL32";"Noord-Holland";9,25
"NL33";"Zuid-Holland";10
"NL34";"Zeeland";16
"NL41";"Noord-Brabant";0,75
"NL42";"Limburg (NL)";20,25
"NO01";"Oslo og Akershus";6,75
"NO02";"Hedmark og Oppland";5,5
"NO03";"Sør-Østlandet";14,5
"NO04";"Agder og Rogaland";4
"NO05";"Vestlandet";5,5
"NO06";"Trøndelag";7
"NO07";"Nord-Norge";0,75
"PL11";"Łódzkie";3,75
"PL12";"Mazowieckie";5,75
"PL21";"Małopolskie";8,25
"PL22";"Śląskie";9
"PL31";"Lubelskie";8,75
"PL32";"Podkarpackie";6
"PL33";"Świętokrzyskie";5,75
"PL34";"Podlaskie";4
"PL41";"Wielkopolskie";7,75
"PL42";"Zachodniopomorskie";6,5
"PL43";"Lubuskie";7,25
"PL51";"Dolnośląskie";3,25
"PL52";"Opolskie";7,25
"PL61";"Kujawsko-Pomorskie";7
"PL62";"Warmińsko-Mazurskie";1,5
"PL63";"Pomorskie";3
"PT11";"Norte";11,25
"PT15";"Algarve";4,25
"PT16";"Centro (PT)";13,5
"PT17";"Lisboa";8,75
"PT18";"Alentejo";2
"PT20";"Região Autónoma dos Açores";2,75
"PT30";"Região Autónoma da Madeira";0
"RO11";"Nord-Vest";4,75
"RO12";"Centru";0,25
"RO21";"Nord-Est";5
"RO22";"Sud-Est";0
"RO31";"Sud - Muntenia";4,25
"RO32";"Bucureşti - Ilfov";5,5
"RO41";"Sud-Vest Oltenia";2,5
"RO42";"Vest";0,25
"SE11";"Stockholm";6,5
"SE12";"Östra Mellansverige";9,25
"SE21";"Småland med öarna";6,75
"SE22";"Sydsverige";11
"SE23";"Västsverige";18
"SE31";"Norra Mellansverige";15
"SE32";"Mellersta Norrland";14
"SE33";"Övre Norrland";9,5
"SI03";"Zahodna Slovenija";8
"SI04";"Vzhodna Slovenija";5,5
"SK01";"Bratislavský kraj";11,75
"SK02";"Západné Slovensko";9,5
"SK03";"Stredné Slovensko";6,25
"SK04";"Východné Slovensko";5,75
"UKC1";"Tees Valley and Durham";13,75
"UKC2";"Northumberland and Tyne and Wear";9,25
"UKD1";"Cumbria";10,25
"UKD3";"Greater Manchester";7,75
"UKD4";"Lancashire";7,75
"UKD6";"Cheshire";10
"UKD7";"Merseyside";6,5
"UKE1";"East Yorkshire and Northern Lincolnshire";7
"UKE2";"North Yorkshire";8,25
"UKE3";"South Yorkshire";8,5
"UKE4";"West Yorkshire";12,25
"UKF1";"Derbyshire and Nottinghamshire";10
"UKF2";"Leicestershire, Rutland and Northamptonshire";4
"UKF3";"Lincolnshire";5,75
"UKG1";"Herefordshire, Worcestershire and Warwickshire";3,5
"UKG2";"Shropshire and Staffordshire";9,25
"UKG3";"West Midlands";5
"UKH1";"East Anglia";3
"UKH2";"Bedfordshire and Hertfordshire";7,5
"UKH3";"Essex";3,5
"UKI1";"Inner London";3
"UKI2";"Outer London";3,5
"UKJ1";"Berkshire, Buckinghamshire and Oxfordshire";7
"UKJ2";"Surrey, East and West Sussex";3,5
"UKJ3";"Hampshire and Isle of Wight";4,5
"UKJ4";"Kent";3,5
"UKK1";"Gloucestershire, Wiltshire and Bristol/Bath area";6
"UKK2";"Dorset and Somerset";4,25
"UKK3";"Cornwall and Isles of Scilly";13,5
"UKK4";"Devon";4,5
"UKL1";"West Wales and The Valleys";9,75
"UKL2";"East Wales";2,75
"UKM2";"Eastern Scotland";8,5
"UKM3";"South Western Scotland";6,25
"UKM5";"North Eastern Scotland";2,25
"UKM6";"Highlands and Islands";8
"UKN0";"Northern Ireland";4,75
