"id";"name";"value"
"AT11";"Burgenland (AT)";41,39
"AT12";"Niederösterreich";30,87
"AT13";"Wien";46,98
"AT21";"Kärnten";26,06
"AT22";"Steiermark";24,38
"AT31";"Oberösterreich";22,37
"AT32";"Salzburg";46,76
"AT33";"Tirol";15,55
"AT34";"Vorarlberg";14,21
"BE10";"Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest";49,89
"BE21";"Prov. Antwerpen";22,26
"BE22";"Prov. Limburg (BE)";18,57
"BE23";"Prov. Oost-Vlaanderen";13,2
"BE24";"Prov. Vlaams-Brabant";21,03
"BE25";"Prov. West-Vlaanderen";10,51
"BE31";"Prov. Brabant Wallon";8,95
"BE32";"Prov. Hainaut";8,95
"BE33";"Prov. Liège";23,38
"BE34";"Prov. Luxembourg (BE)";9,84
"BE35";"Prov. Namur";20,58
"BG31";"Severozapaden";11,52
"BG32";"Severen tsentralen";2,35
"BG33";"Severoiztochen";5,82
"BG34";"Yugoiztochen";20,25
"BG41";"Yugozapaden";34,34
"BG42";"Yuzhen tsentralen";15,55
"CH01";"Région lémanique";34,34
"CH02";"Espace Mittelland";23,83
"CH03";"Nordwestschweiz";14,43
"CH04";"Zürich";65,1
"CH05";"Ostschweiz";27,96
"CH06";"Zentralschweiz";48,43
"CH07";"Ticino";9,28
"CY00";"Kýpros";60,85
"CZ01";"Praha";40,83
"CZ02";"Střední Čechy";25,62
"CZ03";"Jihozápad";16,33
"CZ04";"Severozápad";23,94
"CZ05";"Severovýchod";20,47
"CZ06";"Jihovýchod";41,5
"CZ07";"Střední Morava";35,91
"CZ08";"Moravskoslezsko";17,56
"DE11";"Stuttgart";52,24
"DE12";"Karlsruhe";47,43
"DE13";"Freiburg";41,72
"DE14";"Tübingen";39,15
"DE21";"Oberbayern";61,97
"DE22";"Niederbayern";23,71
"DE23";"Oberpfalz";33,45
"DE24";"Oberfranken";31,21
"DE25";"Mittelfranken";57,83
"DE26";"Unterfranken";10,96
"DE27";"Schwaben";42,39
"DE30";"Berlin";60,96
"DE40";"Brandenburg";33,45
"DE50";"Bremen";35,79
"DE60";"Hamburg";21,7
"DE71";"Darmstadt";15,88
"DE72";"Gießen";16,78
"DE73";"Kassel";13,2
"DE80";"Mecklenburg-Vorpommern";16,89
"DE91";"Braunschweig";68,68
"DE92";"Hannover";49,55
"DE93";"Lüneburg";12,98
"DE94";"Weser-Ems";13,98
"DEA1";"Düsseldorf";3,02
"DEA2";"Köln";11,41
"DEA3";"Münster";12,53
"DEA4";"Detmold";9,4
"DEA5";"Arnsberg";15,88
"DEB1";"Koblenz";10,63
"DEB2";"Trier";27,4
"DEB3";"Rheinhessen-Pfalz";5,48
"DEC0";"Saarland";43,74
"DED2";"Dresden";20,36
"DED4";"Chemnitz";25,95
"DED5";"Leipzig";27,29
"DEE0";"Sachsen-Anhalt";20,36
"DEF0";"Schleswig-Holstein";39,04
"DEG0";"Thüringen";68,46
"DK01";"Hovedstaden";18,79
"DK02";"Sjælland";10,07
"DK03";"Syddanmark";19,57
"DK04";"Midtjylland";6,04
"DK05";"Nordjylland";8,5
"EE00";"Eesti";70,02
"EL30";"Attiki";21,81
"EL41";"Voreio Aigaio";44,3
"EL42";"Notio Aigaio";0,67
"EL43";"Kriti";25,73
"EL51";"Anatoliki Makedonia, Thraki";2,91
"EL52";"Kentriki Makedonia";21,03
"EL53";"Dytiki Makedonia";0,22
"EL54";"Thessalia";6,94
"EL61";"Ipeiros";46,09
"EL62";"Ionia Nisia";2,57
"EL63";"Dytiki Ellada";29,64
"EL64";"Sterea Ellada";13,87
"EL65";"Peloponnisos";50,78
"ES11";"Galicia";18,68
"ES12";"Principado de Asturias";13,53
"ES13";"Cantabria";13,09
"ES21";"País Vasco";48,32
"ES22";"Comunidad Foral de Navarra";13,42
"ES23";"La Rioja";6,26
"ES24";"Aragón";11,19
"ES30";"Comunidad de Madrid";43,74
"ES41";"Castilla y León";44,18
"ES42";"Castilla-La Mancha";43,29
"ES43";"Extremadura";39,82
"ES51";"Cataluña";31,66
"ES52";"Comunidad Valenciana";29,31
"ES53";"Illes Balears";37,58
"ES61";"Andalucía";45,08
"ES62";"Región de Murcia";16
"ES64";"Ciudad Autónoma de Melilla";1,01
"ES70";"Canarias";45,97
"FI19";"Länsi-Suomi";62,42
"FI1B";"Helsinki-Uusimaa";46,09
"FI1C";"Etelä-Suomi";21,14
"FI1D";"Pohjois- ja Itä-Suomi";27,07
"FI20";"Åland";7,38
"FR10";"Île de France";46,87
"FR21";"Champagne-Ardenne";16,22
"FR22";"Picardie";7,72
"FR23";"Haute-Normandie";6,04
"FR24";"Centre";14,99
"FR25";"Basse-Normandie";22,37
"FR26";"Bourgogne";19,57
"FR30";"Nord - Pas-de-Calais";19,13
"FR41";"Lorraine";11,63
"FR42";"Alsace";5,37
"FR43";"Franche-Comté";14,99
"FR51";"Pays de la Loire";15,88
"FR52";"Bretagne";63,53
"FR53";"Poitou-Charentes";14,88
"FR61";"Aquitaine";31,1
"FR62";"Midi-Pyrénées";30,09
"FR63";"Limousin";21,48
"FR71";"Rhône-Alpes";25,62
"FR72";"Auvergne";6,49
"FR81";"Languedoc-Roussillon";35,23
"FR82";"Provence-Alpes-Côte d'Azur";32,89
"FR83";"Corse";57,72
"FRY1";"Guadeloupe";24,16
"FRY2";"Martinique";19,13
"FRY3";"Guyane";0
"FRY4";"Réunion";6,38
"HR03";"Jadranska Hrvatska";7,83
"HR04";"Kontinentalna Hrvatska";19,46
"HU10";"Közép-Magyarország";66,22
"HU21";"Közép-Dunántúl";30,76
"HU22";"Nyugat-Dunántúl";29,31
"HU23";"Dél-Dunántúl";47,32
"HU31";"Észak-Magyarország";47,2
"HU32";"Észak-Alföld";53,02
"HU33";"Dél-Alföld";40,04
"IE01";"Border, Midland and Western";57,94
"IE02";"Southern and Eastern";50,45
"IS01";"Höfuðborgarsvæði";31,43
"IS02";"Landsbyggð";16,78
"ITC1";"Piemonte";12,86
"ITC2";"Valle d'Aosta/Vallée d'Aoste";29,53
"ITC3";"Liguria";41,16
"ITC4";"Lombardia";9,51
"ITF1";"Abruzzo";12,64
"ITF2";"Molise";41,05
"ITF3";"Campania";20,92
"ITF4";"Puglia";41,72
"ITF5";"Basilicata";30,87
"ITF6";"Calabria";22,48
"ITG1";"Sicilia";37,25
"ITG2";"Sardegna";13,31
"ITH1";"Provincia Autonoma di Bolzano/Bozen";10,18
"ITH2";"Provincia Autonoma di Trento";25,73
"ITH3";"Veneto";10,96
"ITH4";"Friuli-Venezia Giulia";8,84
"ITH5";"Emilia-Romagna";20,58
"ITI1";"Toscana";14,99
"ITI2";"Umbria";12,42
"ITI3";"Marche";12,42
"ITI4";"Lazio";30,09
"LI00";"Liechtenstein";19,02
"LT00";"Lietuva";62,75
"LU00";"Luxembourg";42,51
"LV00";"Latvija";15,66
"MT00";"Malta";55,48
"NL11";"Groningen";13,65
"NL12";"Friesland (NL)";16,11
"NL13";"Drenthe";10,29
"NL21";"Overijssel";12,75
"NL22";"Gelderland";4,14
"NL23";"Flevoland";7,38
"NL31";"Utrecht";11,86
"NL32";"Noord-Holland";57,38
"NL33";"Zuid-Holland";24,5
"NL41";"Noord-Brabant";71,59
"NL42";"Limburg (NL)";5,93
"NO01";"Oslo og Akershus";43,74
"NO02";"Hedmark og Oppland";35,46
"NO03";"Sør-Østlandet";23,6
"NO04";"Agder og Rogaland";20,13
"NO05";"Vestlandet";10,63
"NO06";"Trøndelag";44,63
"NO07";"Nord-Norge";13,98
"PL11";"Łódzkie";15,88
"PL12";"Mazowieckie";40,94
"PL21";"Małopolskie";27,29
"PL22";"Śląskie";18,46
"PL31";"Lubelskie";18,57
"PL32";"Podkarpackie";21,7
"PL33";"Świętokrzyskie";11,07
