"id";"name";"value"
"AT11";"Burgenland (AT)";12,68
"AT12";"Niederösterreich";19,19
"AT13";"Wien";39,26
"AT21";"Kärnten";25,88
"AT22";"Steiermark";18,49
"AT31";"Oberösterreich";12,5
"AT32";"Salzburg";14,79
"AT33";"Tirol";11,97
"AT34";"Vorarlberg";5,81
"BE10";"Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest";38,73
"BE21";"Prov. Antwerpen";16,73
"BE22";"Prov. Limburg (BE)";16,73
"BE23";"Prov. Oost-Vlaanderen";2,46
"BE24";"Prov. Vlaams-Brabant";17,43
"BE25";"Prov. West-Vlaanderen";6,16
"BE31";"Prov. Brabant Wallon";12,32
"BE32";"Prov. Hainaut";11,09
"BE33";"Prov. Liège";4,58
"BE34";"Prov. Luxembourg (BE)";5,81
"BE35";"Prov. Namur";16,02
"BG31";"Severozapaden";3,87
"BG32";"Severen tsentralen";1,41
"BG33";"Severoiztochen";1,23
"BG34";"Yugoiztochen";28,52
"BG41";"Yugozapaden";40,32
"BG42";"Yuzhen tsentralen";8,45
"CH01";"Région lémanique";39,61
"CH02";"Espace Mittelland";10,74
"CH03";"Nordwestschweiz";6,16
"CH04";"Zürich";53,35
"CH05";"Ostschweiz";14,96
"CH06";"Zentralschweiz";39,61
"CH07";"Ticino";3,52
"CY00";"Kýpros";41,37
"CZ01";"Praha";45,25
"CZ02";"Střední Čechy";69,19
"CZ03";"Jihozápad";16,37
"CZ04";"Severozápad";20,6
"CZ05";"Severovýchod";20,25
"CZ06";"Jihovýchod";13,2
"CZ07";"Střední Morava";12,32
"CZ08";"Moravskoslezsko";5,11
"DE11";"Stuttgart";34,86
"DE12";"Karlsruhe";16,73
"DE13";"Freiburg";14,96
"DE14";"Tübingen";13,56
"DE21";"Oberbayern";83,98
"DE22";"Niederbayern";16,73
"DE23";"Oberpfalz";14,26
"DE24";"Oberfranken";18,66
"DE25";"Mittelfranken";64,79
"DE26";"Unterfranken";6,69
"DE27";"Schwaben";18,13
"DE30";"Berlin";73,77
"DE40";"Brandenburg";22,89
"DE50";"Bremen";25,7
"DE60";"Hamburg";8,8
"DE71";"Darmstadt";38,38
"DE72";"Gießen";8,27
"DE73";"Kassel";7,39
"DE80";"Mecklenburg-Vorpommern";4,58
"DE91";"Braunschweig";48,24
"DE92";"Hannover";20,25
"DE93";"Lüneburg";7,75
"DE94";"Weser-Ems";10,39
"DEA1";"Düsseldorf";6,87
