"id";"name";"value"
"AT11";"Burgenland (AT)";15,32
"AT12";"Niederösterreich";18,1
"AT13";"Wien";18,18
"AT21";"Kärnten";23,38
"AT22";"Steiermark";28,23
"AT31";"Oberösterreich";21,13
"AT32";"Salzburg";24,85
"AT33";"Tirol";12,55
"AT34";"Vorarlberg";17,14
"BE10";"Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest";11
"BE21";"Prov. Antwerpen";9,52
"BE22";"Prov. Limburg (BE)";23,46
"BE23";"Prov. Oost-Vlaanderen";36,02
"BE24";"Prov. Vlaams-Brabant";26,49
"BE25";"Prov. West-Vlaanderen";23,64
"BE31";"Prov. Brabant Wallon";7,79
"BE32";"Prov. Hainaut";10,39
"BE33";"Prov. Liège";34,29
"BE34";"Prov. Luxembourg (BE)";12,29
"BE35";"Prov. Namur";32,55
"BG31";"Severozapaden";3,9
"BG32";"Severen tsentralen";3,72
"BG33";"Severoiztochen";4,59
"BG34";"Yugoiztochen";21,65
"BG41";"Yugozapaden";17,32
"BG42";"Yuzhen tsentralen";3,38
"CH01";"Région lémanique";40,17
"CH02";"Espace Mittelland";19,13
"CH03";"Nordwestschweiz";14,89
"CH04";"Zürich";36,97
"CH05";"Ostschweiz";34,72
"CH06";"Zentralschweiz";14,37
"CH07";"Ticino";7,19
"CY00";"Kýpros";33,07
"CZ01";"Praha";37,92
"CZ02";"Střední Čechy";36,71
"CZ03";"Jihozápad";11,69
"CZ04";"Severozápad";25,28
"CZ05";"Severovýchod";23,12
"CZ06";"Jihovýchod";17,66
"CZ07";"Střední Morava";29,96
"CZ08";"Moravskoslezsko";35,67
"DE11";"Stuttgart";36,97
"DE12";"Karlsruhe";30,3
"DE13";"Freiburg";41,21
"DE14";"Tübingen";44,76
"DE21";"Oberbayern";41,73
"DE22";"Niederbayern";45,54
"DE23";"Oberpfalz";52,99
"DE24";"Oberfranken";20
"DE25";"Mittelfranken";25,71
"DE26";"Unterfranken";19,57
"DE27";"Schwaben";39,91
"DE30";"Berlin";54,46
"DE40";"Brandenburg";48,23
"DE50";"Bremen";20,35
"DE60";"Hamburg";29,18
"DE71";"Darmstadt";39,57
"DE72";"Gießen";33,33
"DE73";"Kassel";20,35
