"from";"to";"domain";"full";"binary";"expected";"untapped";"links.rca";"sum_from";"sum_to";"binary.pc";"th.max";"th.max.pc";"RD";"RD.added"
"Biscay (ES213)";"Abruzzo (ITF1)";"Analysis of biological materials";0;0;0;0;0;0;0;0;0;0;16,76;21,2
"Biscay (ES213)";"Abruzzo (ITF1)";"Audio-visual technology";0;0;0;0;0;0;0;0;0;0;27,8;12,81
"Biscay (ES213)";"Abruzzo (ITF1)";"Basic communication processes";0;0;0;0;0;0;0;0;0;0;28,8;11,94
"Biscay (ES213)";"Abruzzo (ITF1)";"Basic materials chemistry";0;0;0;0;0;0;0;0;0;0;22,45;17,03
"Biscay (ES213)";"Abruzzo (ITF1)";"Biotechnology";0;0;0;0;0;0;0;0;0;0;26,78;4,98
"Biscay (ES213)";"Abruzzo (ITF1)";"Chemical engineering";0;0;0;0;0;0;0;0;0;0;29,76;14,21
"Biscay (ES213)";"Abruzzo (ITF1)";"Civil engineering";0;0;0;0;0;0;0;0;0;0;28,66;14,18
"Biscay (ES213)";"Abruzzo (ITF1)";"Computer technology";0;0;0;0;0;0;0;0;0;0;20,44;47,78
"Biscay (ES213)";"Abruzzo (ITF1)";"Control";0;0;0;0;0;0;0;0;0;0;24,19;33,37
"Biscay (ES213)";"Abruzzo (ITF1)";"Digital communication";0;0;0;0;0;0;0;0;0;0;20,69;10,37
"Biscay (ES213)";"Abruzzo (ITF1)";"Electrical machinery, apparatus, energy";0;0;0;0;0;0;0;0;0;0;29,57;15,34
"Biscay (ES213)";"Abruzzo (ITF1)";"Engines, pumps, turbines";0;0;0;0;0;0;0;0;0;0;23,91;20,09
"Biscay (ES213)";"Abruzzo (ITF1)";"Environmental technology";0;0;0;0;0;0;0;0;0;0;20,84;49,37
"Biscay (ES213)";"Abruzzo (ITF1)";"Food chemistry";0;0;0;0;0;0;0;0;0;0;69,14;6,94
"Biscay (ES213)";"Abruzzo (ITF1)";"Furniture, games";0;0;0;0;0;0;0;0;0;0;31,29;54,12
"Biscay (ES213)";"Abruzzo (ITF1)";"Green technologies";0;0;0;0;0;0;0;0;0;0;36,16;3,7
"Biscay (ES213)";"Abruzzo (ITF1)";"Handling";0;0;0;0;0;0;0;0;0;0;58,45;31,23
"Biscay (ES213)";"Abruzzo (ITF1)";"IT methods for management";0;0;0;0;0;0;0;0;0;0;24,5;22,19
"Biscay (ES213)";"Abruzzo (ITF1)";"Machine tools";0;0;0;0;0;0;0;0;0;0;27,03;15,15
"Biscay (ES213)";"Abruzzo (ITF1)";"Macromolecular chemistry, polymers";0;0;0;0;0;0;0;0;0;0;22,21;13,23
"Biscay (ES213)";"Abruzzo (ITF1)";"Materials, metallurgy";0;0;0;0;0;0;0;0;0;0;27,77;28,22
"Biscay (ES213)";"Abruzzo (ITF1)";"Measurement";0;0;0;0;0;0;0;0;0;0;27,44;57,3
"Biscay (ES213)";"Abruzzo (ITF1)";"Mechanical elements";0;0;0;0;0;0;0;0;0;0;24,75;18,59
"Biscay (ES213)";"Abruzzo (ITF1)";"Medical technology";0;0;0;0;0;0;0;0;0;0;27,99;7,68
"Biscay (ES213)";"Abruzzo (ITF1)";"Optics";0;0;0;0;0;0;0;0;0;0;30,64;9,03
"Biscay (ES213)";"Abruzzo (ITF1)";"Organic fine chemistry";0;0;0;0;0;0;0;0;0;0;29,12;14,31
"Biscay (ES213)";"Abruzzo (ITF1)";"Other consumer goods";0;0;0;0;0;0;0;0;0;0;32,39;15,08
"Biscay (ES213)";"Abruzzo (ITF1)";"Other special machines";0;0;0;0;0;0;0;0;0;0;42,66;14,11
"Biscay (ES213)";"Abruzzo (ITF1)";"Pharmaceuticals";0;0;0;0;0;0;0;0;0;0;25,14;6,03
"Biscay (ES213)";"Abruzzo (ITF1)";"Semiconductors";0;0;0;0;0;0;0;0;0;0;39,68;30,39
"Biscay (ES213)";"Abruzzo (ITF1)";"Surface technology, coating";0;0;0;0;0;0;0;0;0;0;29,56;14,03
"Biscay (ES213)";"Abruzzo (ITF1)";"Telecommunications";0;0;0;0;0;0;0;0;0;0;34,8;13,79
"Biscay (ES213)";"Abruzzo (ITF1)";"Textile and paper machines";0;0;0;0;0;0;0;0;0;0;51,78;9,64
"Biscay (ES213)";"Abruzzo (ITF1)";"Thermal processes and apparatus";0;0;0;0;0;0;0;0;0;0;59,83;11,85
"Biscay (ES213)";"Abruzzo (ITF1)";"Transport";0;0;0;0;0;0;0;0;0;0;23,65;20,99
"Biscay (ES213)";"Agder and Rogaland (NO04)";"Analysis of biological materials";0;0;0;0;0;0;0;0;0;0;16,76;26,4
"Biscay (ES213)";"Agder and Rogaland (NO04)";"Audio-visual technology";0;0;0;0;0;0;0;0;0;0;27,8;16,69
"Biscay (ES213)";"Agder and Rogaland (NO04)";"Basic communication processes";0;0;0;0;0;0;0;0;0;0;28,8;15,39
"Biscay (ES213)";"Agder and Rogaland (NO04)";"Basic materials chemistry";0;0;0;0;0;0;0;0;0;0;22,45;31,54
"Biscay (ES213)";"Agder and Rogaland (NO04)";"Biotechnology";0;0;0;0;0;0;0;0;0;0;26,78;8,95
"Biscay (ES213)";"Agder and Rogaland (NO04)";"Chemical engineering";0;0;0;0;0;0;0;0;0;0;29,76;20,92
"Biscay (ES213)";"Agder and Rogaland (NO04)";"Civil engineering";0;0;0;0;0;0;0;0;0;0;28,66;8,75
"Biscay (ES213)";"Agder and Rogaland (NO04)";"Computer technology";0;0;0;0;0;0;0;0;0;0;20,44;53,56
"Biscay (ES213)";"Agder and Rogaland (NO04)";"Control";0;0;0;0;0;0;0;0;0;0;24,19;33,02
"Biscay (ES213)";"Agder and Rogaland (NO04)";"Digital communication";0;0;0;0;0;0;0;0;0;0;20,69;38,43
"Biscay (ES213)";"Agder and Rogaland (NO04)";"Electrical machinery, apparatus, energy";0;0;0;0;0;0;0;0;0;0;29,57;18,06
"Biscay (ES213)";"Agder and Rogaland (NO04)";"Engines, pumps, turbines";0;0;0;0;0;0;0;0;0;0;23,91;2,03
"Biscay (ES213)";"Agder and Rogaland (NO04)";"Environmental technology";0;0;0;0;0;0;0;0;0;0;20,84;62,05
"Biscay (ES213)";"Agder and Rogaland (NO04)";"Food chemistry";0;0;0;0;0;0;0;0;0;0;69,14;1,5
"Biscay (ES213)";"Agder and Rogaland (NO04)";"Furniture, games";0;0;0;0;0;0;0;0;0;0;31,29;19,18
"Biscay (ES213)";"Agder and Rogaland (NO04)";"Green technologies";0;0;0;0;0;0;0;0;0;0;36,16;6,92
"Biscay (ES213)";"Agder and Rogaland (NO04)";"Handling";0;0;0;0;0;0;0;0;0;0;58,45;29,88
"Biscay (ES213)";"Agder and Rogaland (NO04)";"IT methods for management";0;0;0;0;0;0;0;0;0;0;24,5;22,62
"Biscay (ES213)";"Agder and Rogaland (NO04)";"Machine tools";0;0;0;0;0;0;0;0;0;0;27,03;6,47
"Biscay (ES213)";"Agder and Rogaland (NO04)";"Macromolecular chemistry, polymers";0;0;0;0;0;0;0;0;0;0;22,21;29,97
"Biscay (ES213)";"Agder and Rogaland (NO04)";"Materials, metallurgy";0;0;0;0;0;0;0;0;0;0;27,77;17,68
"Biscay (ES213)";"Agder and Rogaland (NO04)";"Measurement";0;0;0;0;0;0;0;0;0;0;27,44;51,33
"Biscay (ES213)";"Agder and Rogaland (NO04)";"Mechanical elements";0;0;0;0;0;0;0;0;0;0;24,75;38,17
"Biscay (ES213)";"Agder and Rogaland (NO04)";"Medical technology";0;0;0;0;0;0;0;0;0;0;27,99;4,33
"Biscay (ES213)";"Agder and Rogaland (NO04)";"Optics";0;0;0;0;0;0;0;0;0;0;30,64;15,14
"Biscay (ES213)";"Agder and Rogaland (NO04)";"Organic fine chemistry";0;0;0;0;0;0;0;0;0;0;29,12;10,89
"Biscay (ES213)";"Agder and Rogaland (NO04)";"Other consumer goods";0;0;0;0;0;0;0;0;0;0;32,39;20,94
"Biscay (ES213)";"Agder and Rogaland (NO04)";"Other special machines";0;0;0;0;0;0;0;0;0;0;42,66;18,67
"Biscay (ES213)";"Agder and Rogaland (NO04)";"Pharmaceuticals";0;0;0;0;0;0;0;0;0;0;25,14;1,88
"Biscay (ES213)";"Agder and Rogaland (NO04)";"Semiconductors";0;0;0;0;0;0;0;0;0;0;39,68;16,51
"Biscay (ES213)";"Agder and Rogaland (NO04)";"Surface technology, coating";0;0;0;0;0;0;0;0;0;0;29,56;31,85
"Biscay (ES213)";"Agder and Rogaland (NO04)";"Telecommunications";0;0;0;0;0;0;0;0;0;0;34,8;8,37
"Biscay (ES213)";"Agder and Rogaland (NO04)";"Textile and paper machines";0;0;0;0;0;0;0;0;0;0;51,78;11,23
"Biscay (ES213)";"Agder and Rogaland (NO04)";"Thermal processes and apparatus";0;0;0;0;0;0;0;0;0;0;59,83;4,89
"Biscay (ES213)";"Agder and Rogaland (NO04)";"Transport";0;0;0;0;0;0;0;0;0;0;23,65;18,39
"Biscay (ES213)";"Alentejo (PT18)";"Analysis of biological materials";0;0;0;0;0;0;0;0;0;0;16,76;12,25
"Biscay (ES213)";"Alentejo (PT18)";"Audio-visual technology";0;0;0;0;0;0;0;0;0;0;27,8;9,01
"Biscay (ES213)";"Alentejo (PT18)";"Basic communication processes";0;0;0;0;0;0;0;0;0;0;28,8;8,17
"Biscay (ES213)";"Alentejo (PT18)";"Basic materials chemistry";0;0;0;0;0;0;0;0;0;0;22,45;6,95
"Biscay (ES213)";"Alentejo (PT18)";"Biotechnology";0;0;0;0;0;0;0;0;0;0;26,78;1,76
"Biscay (ES213)";"Alentejo (PT18)";"Chemical engineering";0;0;0;0;0;0;0;0;0;0;29,76;9,84
"Biscay (ES213)";"Alentejo (PT18)";"Civil engineering";0;0;0;0;0;0;0;0;0;0;28,66;9
"Biscay (ES213)";"Alentejo (PT18)";"Computer technology";0;0;0;0;0;0;0;0;0;0;20,44;41,58
"Biscay (ES213)";"Alentejo (PT18)";"Control";0;0;0;0;0;0;0;0;0;0;24,19;11,76
"Biscay (ES213)";"Alentejo (PT18)";"Digital communication";0;0;0;0;0;0;0;0;0;0;20,69;4,31
