"id";"value";"share";"ctry"
"SIEGFRIEDSEN, Sönke";11;0,75;"DE"
"SHI, Wei";9;0,61;"CN"
"NING, Dezhi";9;0,61;"CN"
"BARTMINN, Daniel";9;0,61;"DE"
"SHIN, Hyun Kyoung";8;0,54;"KR"
"KIM, Dong Ju";8;0,54;"KR"
"SOERENSEN, Johnny";8;0,54;"DK"
"RABAUT, Dieter Wim Jan";8;0,54;"BE"
"ROODENBURG, Joop";7;0,47;"NL"
"MOIRET, Cyrille";6;0,41;"FR"
"MOFFAT, Brian Lee";6;0,41;"US"
"SHELDON-COULSON, Garth Alexander";6;0,41;"US"
"HART, Christopher, G.";5;0,34;"US"
"SERNA GARCÍA-CONDE, José Salustiano";5;0,34;"ES"
"FELKER, Fort";5;0,34;"US"
"JIANG, Zhiyu";5;0,34;"CN"
"REN, Zhengru";5;0,34;"CN"
"PLACE, Daniel William";5;0,34;"US"
"VEHMEIJER, Terence Willem August";5;0,34;"NL"
"VANNIEUWENHUYSE, Kenneth Gerard";5;0,34;"BE"
"BAUDUIN, Christian Raymond";4;0,27;"NC"
"BAUDUIN, Christian Raymond";4;0,27;"MC"
"BAUDUIN, Christian Raymond";4;0,27;"PF"
"BUSHBY, Donald, P.";4;0,27;"US"
"KIM, Jong Keun";4;0,27;"KR"
"NORDSTROM, Charles";4;0,27;"US"
"NORDSTROM, Charles, Joseph";4;0,27;"US"
"JENSEN, John Harry";4;0,27;"DK"
"OBERMEYER, Sebastian";4;0,27;"DE"
"ESBENSEN, Thomas";4;0,27;"DK"
"LAUGESEN, Kasper";4;0,27;"DK"
"GONZALEZ PATIÑO, Noelia";4;0,27;"ES"
"RUNGE, Jörn";4;0,27;"DE"
"GAD, Jens Andersen";4;0,27;"DK"
"NAKAMURA, Takuju";3;0,2;"JP"
"COLMARD, Christophe";3;0,2;"FR"
"BOZONNET, Pauline";3;0,2;"FR"
"DAHLHAUS, Frank";3;0,2;"DE"
"MELIS, Cecile";3;0,2;"NC"
"MELIS, Cecile";3;0,2;"MC"
"MELIS, Cecile";3;0,2;"PF"
"CAILLE, Francois";3;0,2;"NC"
"CAILLE, Francois";3;0,2;"MC"
"CAILLE, Francois";3;0,2;"PF"
"VISELLI, Anthony, M.";3;0,2;"US"
"DAGHER, Habib, J.";3;0,2;"US"
"ALM, Filip";3;0,2;"SE"
"CASSIMERE, Brandon";3;0,2;"US"
"Barber, Gerald L.";3;0,2;"US"
"STIESDAL, Henrik";3;0,2;"DK"
"HONG, Key Yong";3;0,2;"KR"
"LEE, Kang Su";3;0,2;"KR"
"KIM, Kyong Hwan";3;0,2;"KR"
"CHOI, Jong Su";3;0,2;"KR"
"Sheldon-Coulson, Garth Alexander";3;0,2;"US"
"Moffat, Brian Lee";3;0,2;"US"
"SKAARE, Bjørn";3;0,2;"NO"
"RAHM, Magnus";3;0,2;"SE"
"BODANESE, Luiz Germano";3;0,2;"BR"
"INABA Shinichi";3;0,2;"JP"
"NAKASHIMA Shuusaku";3;0,2;"JP"
"THOMAS, Christopher Mark";3;0,2;"UK"
"MOELLER, Jesper";3;0,2;"DK"
"MARTIN DIAZ, Elena";3;0,2;"ES"
"VAN RUYVEN, Stefan Cornelis";3;0,2;"NL"
"VAN VESSEM, Henricus Gerardus Andreas";3;0,2;"NL"
"JUNG, Boudewijn Casper";3;0,2;"NL"
"HACHTMANN, Brian";3;0,2;"US"
"SELLNER, Jan";3;0,2;"ES"
"RICO RUBIO, Antonio";3;0,2;"ES"
"BERQUE, Joannes";3;0,2;"ES"
"VAN LOON, Jeroen";3;0,2;"BE"
"MICHIELSEN, Jan Maria Koen";3;0,2;"BE"
"MORTENSEN, Peter Sigfred";3;0,2;"DK"
"MELGAARD, Allan";3;0,2;"DK"
"CHEN, Weilun";3;0,2;"CN"
"LI, Huiqin";3;0,2;"CN"
"CHEN, Tailun";3;0,2;"CN"
"SAEEDI, Navid";2;0,14;"FR"
"DUPIN, Victor";2;0,14;"FR"
"POIRETTE, Yann";2;0,14;"FR"
"PERDRIZET, Timothee";2;0,14;"FR"
"CERMELLI, Christian";2;0,14;"FR"
"FUNABASHI Shigehisa";2;0,14;"JP"
"MUKAI Hiroshi";2;0,14;"JP"
"KIMURA Mamoru";2;0,14;"JP"
"CLAESSON, Lennart";2;0,14;"SE"
"RODDIER, Dominique";2;0,14;"US"
"SUNG, Yong Jun";2;0,14;"KR"
"EHRNBERG, Daniel";2;0,14;"SE"
"LEPREUX, Olivier";2;0,14;"FR"
"COUDURIER, Christophe";2;0,14;"FR"
"HAYMAN, Jason";2;0,14;"UK"
"BURDEN, Christopher";2;0,14;"UK"
"RADIGUET, Bruno";2;0,14;"FR"
"LOKKEN, Roald, T.";2;0,14;"US"
"BOURDON, Jean-Claude";2;0,14;"FR"
"MICHEL, Dominique";2;0,14;"FR"
"EMERY, Adrien";2;0,14;"FR"
"SKJOLDHAMMER, Jan";2;0,14;"SE"
"MOLES, Peter Andrew Robert";2;0,14;"US"
"MANCINI, Christopher S";2;0,14;"US"
"CHANCE, Thomas";2;0,14;"US"
"KERINS, Kevin Frances";2;0,14;"US"
"FERNÁNDEZ GÓMEZ, Miguel Ángel";2;0,14;"ES"
"PITRE, John";2;0,14;"US"
"STEFFEN, A. Shelley";2;0,14;"US"
"KIM, Dae Jun";2;0,14;"US"
"BOO, Sung Youn";2;0,14;"US"
"PARK, Se Wan";2;0,14;"KR"
"BOTWRIGHT, Adrian";2;0,14;"DK"
"PALLIER, Bernard";2;0,14;"FR"
"GAMBARETTI, Patrick";2;0,14;"FR"
"CHAPALAIN, Thomas";2;0,14;"FR"
"GRIGNOUX, Joël";2;0,14;"FR"
"YOSHIMOTO Haruki";2;0,14;"JP"
"AWASHIMA Yuji";2;0,14;"JP"
"BOWIE, Malcolm";2;0,14;"UK"
