"reg","tech","count","rca","reldens","comp","dutch.reg"
"NL13","Augmented reality",0,0,10.64,29.41,"north"
"NL11","Augmented reality",1,0.24,21.46,29.41,"north"
"NL12","Augmented reality",5,1.63,31.5,29.41,"north"
"NL11","Data technology",6,0.27,14.22,20.33,"north"
"NL12","Data technology",10,0.6,24.55,20.33,"north"
"NL13","Data technology",2,0.2,11.34,20.33,"north"
"NL13","Green chemistry",0,0,49.68,46.95,"north"
"NL11","Green chemistry",1,1.22,60.18,46.95,"north"
"NL12","Green chemistry",12,20.07,54.74,46.95,"north"
"NL12","Hydrogen technology",9,8.06,54.09,46.21,"north"
"NL13","Hydrogen technology",1,1.45,23.7,46.21,"north"
"NL11","Hydrogen technology",1,0.65,25.4,46.21,"north"
"NL12","Sensor technology",4,0.37,23.56,32,"north"
"NL13","Sensor technology",5,0.74,23.65,32,"north"
"NL11","Sensor technology",16,1.07,40.62,32,"north"
"NL13","Water treatment technology",3,3.76,53.57,43.49,"north"
"NL12","Water treatment technology",14,10.81,56.89,43.49,"north"
"NL11","Water treatment technology",1,0.56,35.41,43.49,"north"
"north","Augmented reality",6,1.39833333333333,29.8266666666667,29.41,"north"
"north","Data technology",18,0.445555555555556,19.6388888888889,20.33,"north"
"north","Green chemistry",13,18.62,55.1584615384615,46.95,"north"
"north","Hydrogen technology",11,6.78545454545455,48.7190909090909,46.21,"north"
"north","Sensor technology",25,0.892,34.4964,32,"north"
"north","Water treatment technology",18,9.06555555555556,55.1433333333333,43.49,"north"
