"reg","tech","count","rca","reldens","comp","dutch.reg"
"NL11","Analysis of biological materials",10,1.78,48.37,34.97,"north"
"NL12","Analysis of biological materials",3,0.75,33.58,34.97,"north"
"NL13","Analysis of biological materials",3,1.17,29.88,34.97,"north"
"NL11","Audio-visual technology",1,0.11,17.31,72.35,"north"
"NL13","Audio-visual technology",1,0.24,10.77,72.35,"north"
"NL12","Audio-visual technology",1,0.16,14.54,72.35,"north"
"NL13","Basic communication processes",0,0,5.27,82.4,"north"
"NL11","Basic communication processes",0,0,7.47,82.4,"north"
"NL12","Basic communication processes",0,0,7.47,82.4,"north"
"NL13","Basic materials chemistry",5,0.83,31.54,12.17,"north"
"NL11","Basic materials chemistry",21,1.58,56.4,12.17,"north"
"NL12","Basic materials chemistry",9,0.96,62.15,12.17,"north"
"NL11","Biotechnology",37,2.54,77.55,36.76,"north"
"NL12","Biotechnology",21,2.03,23.79,36.76,"north"
"NL13","Biotechnology",13,1.96,30.07,36.76,"north"
"NL13","Chemical engineering",13,1.78,30.6,18.36,"north"
"NL11","Chemical engineering",16,1,42.92,18.36,"north"
"NL12","Chemical engineering",16,1.41,52.14,18.36,"north"
"NL11","Civil engineering",4,0.27,21.79,13.72,"north"
"NL12","Civil engineering",11,1.06,43.1,13.72,"north"
"NL13","Civil engineering",12,1.8,36.08,13.72,"north"
"NL13","Computer technology",3,0.27,11.02,88.39,"north"
"NL11","Computer technology",6,0.25,20.48,88.39,"north"
"NL12","Computer technology",7,0.41,22.19,88.39,"north"
"NL12","Control",3,0.32,36.23,46.7,"north"
"NL11","Control",2,0.15,17.58,46.7,"north"
"NL13","Control",1,0.17,23.63,46.7,"north"
"NL13","Digital communication",6,0.63,3.84,100,"north"
"NL11","Digital communication",10,0.48,4.56,100,"north"
"NL12","Digital communication",3,0.2,19.71,100,"north"
"NL13","Electrical machinery, apparatus, energy",1,0.08,20.85,30.49,"north"
"NL12","Electrical machinery, apparatus, energy",12,0.59,36.9,30.49,"north"
"NL11","Electrical machinery, apparatus, energy",14,0.49,19.84,30.49,"north"
"NL11","Engines, pumps, turbines",4,0.32,17.22,25.2,"north"
"NL13","Engines, pumps, turbines",5,0.87,26.25,25.2,"north"
"NL12","Engines, pumps, turbines",5,0.56,51.16,25.2,"north"
"NL11","Environmental technology",4,0.58,25.86,24.65,"north"
"NL12","Environmental technology",24,4.92,58.87,24.65,"north"
"NL13","Environmental technology",3,0.96,45.8,24.65,"north"
"NL11","Food chemistry",16,2.98,72.85,20.91,"north"
"NL12","Food chemistry",7,1.84,54.64,20.91,"north"
"NL13","Food chemistry",8,3.26,47.25,20.91,"north"
"NL13","Furniture, games",5,1.26,39.91,18.02,"north"
"NL11","Furniture, games",5,0.58,31.82,18.02,"north"
"NL12","Furniture, games",7,1.13,45.03,18.02,"north"
"NL11","Green technologies",26,0.89,26.33,27.17,"north"
"NL13","Green technologies",12,0.9,27.41,27.17,"north"
"NL12","Green technologies",30,1.44,34.46,27.17,"north"
"NL13","Handling",32,4.48,38.59,3.8,"north"
"NL12","Handling",54,4.86,47.7,3.8,"north"
"NL11","Handling",25,1.6,21.44,3.8,"north"
"NL11","IT methods for management",2,0.39,11.92,55.98,"north"
"NL13","IT methods for management",0,0,13.08,55.98,"north"
"NL12","IT methods for management",4,1.1,17.72,55.98,"north"
"NL11","Machine tools",8,0.68,29.63,1.93,"north"
"NL12","Machine tools",6,0.72,48.9,1.93,"north"
"NL13","Machine tools",8,1.49,37.93,1.93,"north"
"NL12","Macromolecular chemistry, polymers",9,1.22,42.69,4.28,"north"
"NL11","Macromolecular chemistry, polymers",14,1.35,61.07,4.28,"north"
"NL13","Macromolecular chemistry, polymers",2,0.42,34.25,4.28,"north"
"NL11","Materials, metallurgy",3,0.29,37.61,19.33,"north"
"NL12","Materials, metallurgy",7,0.96,59.4,19.33,"north"
"NL13","Materials, metallurgy",0,0,45.46,19.33,"north"
"NL11","Measurement",18,0.59,43.71,54.84,"north"
"NL13","Measurement",13,0.93,35.81,54.84,"north"
"NL12","Measurement",11,0.51,25.24,54.84,"north"
"NL13","Mechanical elements",6,0.81,41,14.17,"north"
"NL11","Mechanical elements",6,0.37,19.04,14.17,"north"
"NL12","Mechanical elements",8,0.7,43.91,14.17,"north"
"NL13","Medical technology",7,0.6,29.07,41.08,"north"
"NL12","Medical technology",7,0.38,34.66,41.08,"north"
"NL11","Medical technology",59,2.3,33.9,41.08,"north"
"NL13","Micro-structural and nano-technology",0,0,22.86,42,"north"
"NL11","Micro-structural and nano-technology",3,1.96,40.18,42,"north"
"NL12","Micro-structural and nano-technology",1,0.92,29.33,42,"north"
"NL13","Optics",0,0,17.41,45.39,"north"
"NL12","Optics",1,0.18,20.27,45.39,"north"
"NL11","Optics",23,2.95,24.63,45.39,"north"
"NL11","Organic fine chemistry",38,2.97,73.53,28.13,"north"
"NL12","Organic fine chemistry",1,0.11,40.36,28.13,"north"
"NL13","Organic fine chemistry",2,0.34,27.54,28.13,"north"
"NL11","Other consumer goods",4,0.36,33.33,23.01,"north"
"NL13","Other consumer goods",2,0.39,41.04,23.01,"north"
"NL12","Other consumer goods",5,0.63,52.72,23.01,"north"
"NL11","Other special machines",23,1.01,35.2,0,"north"
"NL13","Other special machines",15,1.44,34.66,0,"north"
"NL12","Other special machines",32,1.98,48.2,0,"north"
"NL13","Pharmaceuticals",6,0.71,53.78,40.46,"north"
"NL11","Pharmaceuticals",65,3.49,88.49,40.46,"north"
"NL12","Pharmaceuticals",2,0.15,52.12,40.46,"north"
"NL13","Semiconductors",0,0,18.71,55.41,"north"
"NL11","Semiconductors",2,0.42,33.67,55.41,"north"
"NL12","Semiconductors",1,0.3,25.85,55.41,"north"
"NL11","Surface technology, coating",4,0.43,37.22,3.88,"north"
"NL12","Surface technology, coating",10,1.53,43.69,3.88,"north"
"NL13","Surface technology, coating",5,1.19,30.42,3.88,"north"
"NL13","Telecommunications",2,0.42,4.98,97.24,"north"
"NL11","Telecommunications",0,0,8.86,97.24,"north"
"NL12","Telecommunications",3,0.4,9.75,97.24,"north"
"NL13","Textile and paper machines",1,0.32,43.88,5.66,"north"
"NL11","Textile and paper machines",6,0.86,47.26,5.66,"north"
"NL12","Textile and paper machines",12,2.43,49.93,5.66,"north"
"NL13","Thermal processes and apparatus",25,7.03,25.98,9.58,"north"
"NL12","Thermal processes and apparatus",9,1.63,44.66,9.58,"north"
"NL11","Thermal processes and apparatus",11,1.41,11.52,9.58,"north"
"NL11","Transport",3,0.11,17.49,23.23,"north"
"NL12","Transport",8,0.41,38.02,23.23,"north"
"NL13","Transport",8,0.64,23.72,23.23,"north"
"north","Analysis of biological materials",16,1.4725,42.13,34.97,"north"
"north","Audio-visual technology",3,0.17,14.2066666666667,72.35,"north"
"north","Basic communication processes",0,NA,NA,82.4,"north"
"north","Basic materials chemistry",35,1.31342857142857,54.3271428571429,12.17,"north"
"north","Biotechnology",71,2.28295774647887,52.9556338028169,36.76,"north"
"north","Chemical engineering",45,1.37111111111111,42.6391111111111,18.36,"north"
"north","Civil engineering",27,1.27185185185185,36.822962962963,13.72,"north"
"north","Computer technology",16,0.32375,19.454375,88.39,"north"
"north","Control",6,0.238333333333333,27.9133333333333,46.7,"north"
"north","Digital communication",19,0.483157894736842,6.72473684210526,100,"north"
"north","Electrical machinery, apparatus, energy",27,0.519259259259259,27.4596296296296,30.49,"north"
"north","Engines, pumps, turbines",14,0.602142857142857,32.5664285714286,25.2,"north"
"north","Environmental technology",31,3.97677419354839,53.3458064516129,24.65,"north"
"north","Food chemistry",31,2.79483870967742,62.1316129032258,20.91,"north"
"north","Furniture, games",17,1.00647058823529,39.6388235294118,18.02,"north"
"north","Green technologies",68,1.13441176470588,30.1073529411765,27.17,"north"
"north","Handling",111,4.01621621621622,39.1592792792793,3.8,"north"
"north","IT methods for management",6,0.863333333333333,15.7866666666667,55.98,"north"
"north","Machine tools",22,0.985454545454545,37.9036363636364,1.93,"north"
"north","Macromolecular chemistry, polymers",25,1.2288,52.3076,4.28,"north"
"north","Materials, metallurgy",10,0.759,52.863,19.33,"north"
"north","Measurement",42,0.674285714285714,36.427380952381,54.84,"north"
"north","Mechanical elements",20,0.634,35.576,14.17,"north"
"north","Medical technology",73,1.95287671232877,33.5097260273973,41.08,"north"
"north","Micro-structural and nano-technology",4,1.7,37.4675,42,"north"
"north","Optics",24,2.83458333333333,24.4483333333333,45.39,"north"
"north","Organic fine chemistry",41,2.7719512195122,70.4775609756097,28.13,"north"
"north","Other consumer goods",11,0.488181818181818,43.5454545454545,23.01,"north"
"north","Other special machines",70,1.54557142857143,41.0271428571429,0,"north"
"north","Pharmaceuticals",73,3.17,84.6406849315068,40.46,"north"
"north","Semiconductors",3,0.38,31.0633333333333,55.41,"north"
"north","Surface technology, coating",19,1.20894736842105,38.8357894736842,3.88,"north"
"north","Telecommunications",5,0.408,7.842,97.24,"north"
"north","Textile and paper machines",19,1.82315789473684,48.7684210526316,5.66,"north"
"north","Thermal processes and apparatus",45,4.57622222222222,26.1813333333333,9.58,"north"
"north","Transport",19,0.459473684210526,28.7573684210526,23.23,"north"
