"reg","tech","count","rca","reldens","comp","dutch.reg"
"NL42","3D-printing/additive productie",28,1.24,45.6,51.56,"south"
"NL34","3D-printing/additive productie",3,0.87,22.94,51.56,"south"
"NL41","3D-printing/additive productie",93,0.74,10.53,51.56,"south"
"NL34","Advanced maintenance (CMMS)",0,0,17.26,54.36,"south"
"NL41","Advanced maintenance (CMMS)",10,0.38,22.42,54.36,"south"
"NL42","Advanced maintenance (CMMS)",0,0,14.23,54.36,"south"
"NL34","Artificial intelligence",0,0,5.22,24.95,"south"
"NL41","Artificial intelligence",281,2.15,64.72,24.95,"south"
"NL42","Artificial intelligence",2,0.09,5.39,24.95,"south"
"NL34","Bio-landbouw",3,1.82,63.76,37.94,"south"
"NL41","Bio-landbouw",17,0.28,3.75,37.94,"south"
"NL42","Bio-landbouw",19,1.74,64.99,37.94,"south"
"NL34","Biosensors",0,0,8.43,28.74,"south"
"NL41","Biosensors",72,0.75,11.68,28.74,"south"
"NL42","Biosensors",15,0.87,27.01,28.74,"south"
"NL34","Carbon Capture",0,0,30.42,56.55,"south"
"NL41","Carbon Capture",0,0,2.8,56.55,"south"
"NL42","Carbon Capture",0,0,63.99,56.55,"south"
"NL41","Digitale veiligheid",280,1.17,35.44,30.7,"south"
"NL42","Digitale veiligheid",2,0.05,6.88,30.7,"south"
"NL34","Digitale veiligheid",2,0.31,5.91,30.7,"south"
"NL34","Electrolizers voor Power2Molecule",1,0.63,43.11,44.46,"south"
"NL42","Electrolizers voor Power2Molecule",20,1.9,32.2,44.46,"south"
"NL41","Electrolizers voor Power2Molecule",9,0.15,3.6,44.46,"south"
"NL34","Elektrische mobiliteit - Battery technologies",1,0.2,23.19,49.68,"south"
"NL42","Elektrische mobiliteit - Battery technologies",19,0.58,24.24,49.68,"south"
"NL41","Elektrische mobiliteit - Battery technologies",68,0.37,16.49,49.68,"south"
"NL34","Elektrische mobiliteit - EV charging systems",0,0,29.43,60.07,"south"
"NL42","Elektrische mobiliteit - EV charging systems",0,0,4.59,60.07,"south"
"NL41","Elektrische mobiliteit - EV charging systems",22,0.54,14.65,60.07,"south"
"NL34","Energiebesparing hardware/datacenters - Photonic memory",0,0,16.92,38.45,"south"
"NL42","Energiebesparing hardware/datacenters - Photonic memory",0,0,12.31,38.45,"south"
"NL41","Energiebesparing hardware/datacenters - Photonic memory",1,3.86,72.31,38.45,"south"
"NL34","Energieopslag - Photovoltaic",2,1.33,34.25,37.87,"south"
"NL41","Energieopslag - Photovoltaic",39,0.71,32.87,37.87,"south"
