"reg","tech","rca","countpub","reldens","comp","count","dutch.reg"
"NL21","Agro-tech/Smart farming",0.96,22,57.68,39.19,7,"east"
"NL21","Agro-tech/Smart farming - Vertical Farming",0.87,1,19.73,57.27,2,"east"
"NL21","Circulaire en natuur - inclusieve landbouw",0.49,4,71.59,41.11,11,"east"
"NL21","Innovaties voor preventie - Imaging",2.57,31,16.97,29.41,7,"east"
"NL21","MedTech en Connected Health",0.51,11,10.45,26.67,0,"east"
"NL21","Nanotechnologie en fotonica - Nanotechnologies",1.18,694,67.83,35.43,8,"east"
"NL21","Nanotechnologie en fotonica - Photonics",4.39,146,32,40.46,13,"east"
"NL21","Nieuwe, duurzame en geavanceerde materialen - Composite materials",0.98,589,58.68,56.11,17,"east"
"NL21","Protein transition and food technology",0,0,44.72,32.06,6,"east"
"NL21","Smart Industry & Industrie 4.0 - Additive manufacturing",1.35,29,63.71,55.39,26,"east"
"NL21","Smart Industry & Industrie 4.0 - Autonomous robots",0,0,45.06,54.56,4,"east"
"NL22","Agro-tech/Smart farming",2.55,231,66.06,39.19,17,"east"
"NL22","Agro-tech/Smart farming - Vertical Farming",2.64,12,24.37,57.27,13,"east"
"NL22","Circulaire en natuur - inclusieve landbouw",3.42,111,66.31,41.11,18,"east"
"NL22","Innovaties voor preventie - Imaging",2.25,107,14.22,29.41,30,"east"
"NL22","MedTech en Connected Health",1.5,127,7.99,26.67,10,"east"
"NL22","Nanotechnologie en fotonica - Nanotechnologies",0.76,1773,55.58,35.43,13,"east"
"NL22","Nanotechnologie en fotonica - Photonics",1.4,183,33.19,40.46,69,"east"
"NL22","Nieuwe, duurzame en geavanceerde materialen - Composite materials",0.49,1151,53.65,56.11,28,"east"
"NL22","Protein transition and food technology",0.43,1,93.02,32.06,66,"east"
"NL22","Smart Industry & Industrie 4.0 - Additive manufacturing",0.74,63,23.07,55.39,11,"east"
"NL22","Smart Industry & Industrie 4.0 - Autonomous robots",0,0,18.72,54.56,7,"east"
"east","Agro-tech/Smart farming",2.08625,253,63.6158333333333,39.19,24,"east"
"east","Agro-tech/Smart farming - Vertical Farming",2.404,13,23.7513333333333,57.27,15,"east"
"east","Circulaire en natuur - inclusieve landbouw",2.30862068965517,115,68.3127586206896,41.11,29,"east"
"east","Innovaties voor preventie - Imaging",2.31054054054054,138,14.7402702702703,29.41,37,"east"
"east","MedTech en Connected Health",1.5,138,7.99,26.67,10,"east"
"east","Nanotechnologie en fotonica - Nanotechnologies",0.92,2467,60.2466666666667,35.43,21,"east"
"east","Nanotechnologie en fotonica - Photonics",1.8740243902439,329,33.0013414634146,40.46,82,"east"
"east","Nieuwe, duurzame en geavanceerde materialen - Composite materials",0.675111111111111,1740,55.5502222222222,56.11,45,"east"
"east","Protein transition and food technology",0.394166666666667,1,88.995,32.06,72,"east"
"east","Smart Industry & Industrie 4.0 - Additive manufacturing",1.16864864864865,92,51.6278378378378,55.39,37,"east"
"east","Smart Industry & Industrie 4.0 - Autonomous robots",0,0,28.2981818181818,54.56,11,"east"
