"reg","tech","rca","countpub","reldens","comp","count","dutch.reg"
"NL11","Augmented reality",0.6,9,21.46,29.41,1,"north"
"NL11","Green chemistry",2.47,6,60.18,46.95,1,"north"
"NL11","Hydrogen technology",3.49,4,25.4,46.21,1,"north"
"NL11","Sensor technology",0.07,1,40.62,32,16,"north"
"NL11","Water treatment technology",0.2,1,35.41,43.49,1,"north"
"NL12","Augmented reality",0.59,9,31.5,29.41,5,"north"
"NL12","Green chemistry",2.42,6,54.74,46.95,12,"north"
"NL12","Hydrogen technology",3.42,4,54.09,46.21,9,"north"
"NL12","Sensor technology",0.07,1,23.56,32,4,"north"
"NL12","Water treatment technology",0.19,1,56.89,43.49,14,"north"
"NL13","Augmented reality",0,0,10.64,29.41,0,"north"
"NL13","Green chemistry",0,0,49.68,46.95,0,"north"
"NL13","Hydrogen technology",0,0,23.7,46.21,1,"north"
"NL13","Sensor technology",0,0,23.65,32,5,"north"
"NL13","Water treatment technology",0,0,53.57,43.49,3,"north"
"north","Augmented reality",0.591666666666667,18,29.8266666666667,29.41,6,"north"
"north","Green chemistry",2.42384615384615,12,55.1584615384615,46.95,13,"north"
"north","Hydrogen technology",3.11545454545455,8,48.7190909090909,46.21,11,"north"
"north","Sensor technology",0.056,2,34.4964,32,25,"north"
"north","Water treatment technology",0.158888888888889,2,55.1433333333333,43.49,18,"north"
