"reg","tech","rca","countpub","reldens","comp","count","dutch.reg"
"NL21","Analysis of biological materials",0.13,1,20.71,34.97,8,"east"
"NL21","Audio-visual technology",0,0,19.42,72.35,9,"east"
"NL21","Basic communication processes",0.85,62,10.99,82.4,5,"east"
"NL21","Basic materials chemistry",0,0,79.85,12.17,47,"east"
"NL21","Biotechnology",0.19,18,35.84,36.76,10,"east"
"NL21","Chemical engineering",1.05,438,69.24,18.36,51,"east"
"NL21","Civil engineering",0.81,49,51.09,13.72,63,"east"
"NL21","Computer technology",0.96,4483,14.37,88.39,16,"east"
"NL21","Control",0.92,73,29.2,46.7,8,"east"
"NL21","Digital communication",1.13,6,9.13,100,14,"east"
"NL21","Electrical machinery, apparatus, energy",0,0,45.35,30.49,58,"east"
"NL21","Engines, pumps, turbines",0.3,5,55.92,25.2,15,"east"
"NL21","Environmental technology",0.88,1009,71.53,24.65,26,"east"
"NL21","Food chemistry",0,0,57.04,20.91,14,"east"
"NL21","Furniture, games",0,0,56.25,18.02,29,"east"
"NL21","Green technologies",0.87,96,43.86,27.17,83,"east"
"NL21","Handling",3.35,1,52.41,3.8,63,"east"
"NL21","IT methods for management",0,0,19.7,55.98,1,"east"
"NL21","Machine tools",0,0,63.78,1.93,22,"east"
"NL21","Macromolecular chemistry, polymers",0.38,7,79.22,4.28,64,"east"
"NL21","Materials, metallurgy",0.47,103,71.68,19.33,28,"east"
"NL21","Measurement",0.95,59,24.27,54.84,55,"east"
"NL21","Mechanical elements",0.89,50,48.7,14.17,36,"east"
"NL21","Medical technology",0,0,43.09,41.08,39,"east"
"NL21","Micro-structural and nano-technology",1.18,694,41.34,42,5,"east"
"NL21","Optics",1.23,557,32.11,45.39,14,"east"
"NL21","Organic fine chemistry",4.6,1,54.13,28.13,49,"east"
"NL21","Other consumer goods",0,0,56.46,23.01,32,"east"
"NL21","Other special machines",0,0,63.12,0,103,"east"
"NL21","Pharmaceuticals",0.36,1,49.63,40.46,24,"east"
"NL21","Semiconductors",0.99,28,42.01,55.41,3,"east"
"NL21","Surface technology, coating",1.04,47,67.75,3.88,28,"east"
"NL21","Telecommunications",1.34,244,9.19,97.24,9,"east"
"NL21","Textile and paper machines",0.09,1,74.82,5.66,23,"east"
"NL21","Thermal processes and apparatus",1.38,262,57.16,9.58,51,"east"
"NL21","Transport",1.19,99,39.7,23.23,50,"east"
"NL22","Analysis of biological materials",1.17,37,50.59,34.97,26,"east"
"NL22","Audio-visual technology",0.53,2,25.64,72.35,24,"east"
"NL22","Basic communication processes",1.31,376,16.7,82.4,29,"east"
"NL22","Basic materials chemistry",0,0,76.18,12.17,79,"east"
"NL22","Biotechnology",1.73,634,67.46,36.76,110,"east"
"NL22","Chemical engineering",0.68,1111,61.27,18.36,94,"east"
"NL22","Civil engineering",0.59,140,40.92,13.72,101,"east"
"NL22","Computer technology",1.13,20794,17.13,88.39,43,"east"
"NL22","Control",0.39,122,24.22,46.7,18,"east"
"NL22","Digital communication",0.57,12,9.02,100,25,"east"
"NL22","Electrical machinery, apparatus, energy",0,0,33.26,30.49,97,"east"
"NL22","Engines, pumps, turbines",0.45,30,30.77,25.2,22,"east"
"NL22","Environmental technology",1.42,6378,54.2,24.65,54,"east"
"NL22","Food chemistry",0,0,86.43,20.91,144,"east"
"NL22","Furniture, games",0,0,43.32,18.02,50,"east"
"NL22","Green technologies",0.63,272,43.49,27.17,138,"east"
"NL22","Handling",0.85,1,45.34,3.8,121,"east"
"NL22","IT methods for management",0.28,1,13.58,55.98,5,"east"
"NL22","Machine tools",0,0,49.27,1.93,39,"east"
"NL22","Macromolecular chemistry, polymers",1.16,85,77.05,4.28,86,"east"
