"reg","tech","rca","countpub","reldens","comp","count","dutch.reg"
"NL23","Analysis of biological materials",0,0,50.44,34.97,0,"west"
"NL23","Audio-visual technology",0,0,20.31,72.35,0,"west"
"NL23","Basic communication processes",4.58,7,18.9,82.4,0,"west"
"NL23","Basic materials chemistry",0,0,74.01,12.17,12,"west"
"NL23","Biotechnology",2.94,11,70.03,36.76,9,"west"
"NL23","Chemical engineering",0.11,1,58.68,18.36,10,"west"
"NL23","Civil engineering",0,0,42.98,13.72,12,"west"
"NL23","Computer technology",0.84,102,11.09,88.39,5,"west"
"NL23","Control",0,0,19.04,46.7,0,"west"
"NL23","Digital communication",0,0,6.64,100,3,"west"
"NL23","Electrical machinery, apparatus, energy",0.81,11,43.72,30.49,3,"west"
"NL23","Engines, pumps, turbines",5.43,2,62.76,25.2,1,"west"
"NL23","Environmental technology",1.57,38,65.06,24.65,4,"west"
"NL23","Food chemistry",4.26,28,76.98,20.91,13,"west"
"NL23","Furniture, games",0,0,40.91,18.02,2,"west"
"NL23","Green technologies",0,0,42.71,27.17,14,"west"
"NL23","Handling",0,0,39.12,3.8,6,"west"
"NL23","IT methods for management",0,0,11.26,55.98,0,"west"
"NL23","Machine tools",0,0,46.46,1.93,1,"west"
"NL23","Macromolecular chemistry, polymers",0,0,72.83,4.28,13,"west"
"NL23","Materials, metallurgy",0.69,7,72.23,19.33,0,"west"
"NL23","Measurement",0.8,1,30.01,54.84,3,"west"
"NL23","Mechanical elements",1.63,2,34.13,14.17,16,"west"
"NL23","Medical technology",0,0,34.19,41.08,3,"west"
"NL23","Micro-structural and nano-technology",0.22,3,52.89,42,1,"west"
"NL23","Optics",1.18,25,33.74,45.39,1,"west"
"NL23","Organic fine chemistry",1.45,43,86.23,28.13,8,"west"
"NL23","Other consumer goods",0,0,34.58,23.01,2,"west"
"NL23","Other special machines",0,0,48.05,0,21,"west"
"NL23","Pharmaceuticals",3.17,24,79.56,40.46,14,"west"
"NL23","Semiconductors",0,0,38.1,55.41,11,"west"
"NL23","Surface technology, coating",0,0,50.38,3.88,15,"west"
"NL23","Telecommunications",0.87,10,7.86,97.24,0,"west"
"NL23","Textile and paper machines",0,0,50.91,5.66,3,"west"
"NL23","Thermal processes and apparatus",0.23,3,47.33,9.58,9,"west"
"NL23","Transport",0,0,42.22,23.23,12,"west"
"NL31","Analysis of biological materials",1.04,49,43.79,34.97,46,"west"
"NL31","Audio-visual technology",0.95,5,14.43,72.35,27,"west"
"NL31","Basic communication processes",1.14,481,5.93,82.4,3,"west"
"NL31","Basic materials chemistry",0.59,62,38.79,12.17,48,"west"
"NL31","Biotechnology",0.88,911,70.44,36.76,220,"west"
"NL31","Chemical engineering",0.6,1538,43.67,18.36,83,"west"
"NL31","Civil engineering",1.31,1029,24.7,13.72,62,"west"
"NL31","Computer technology",1.16,38865,12.88,88.39,49,"west"
"NL31","Control",0.9,465,19.63,46.7,22,"west"
"NL31","Digital communication",0.66,37,4.05,100,30,"west"
"NL31","Electrical machinery, apparatus, energy",0.91,3394,18.45,30.49,48,"west"
"NL31","Engines, pumps, turbines",0.4,41,23.81,25.2,23,"west"
"NL31","Environmental technology",1.28,8489,43.05,24.65,42,"west"
"NL31","Food chemistry",0.5,906,66.67,20.91,131,"west"
"NL31","Furniture, games",2.1,59,35.51,18.02,65,"west"
"NL31","Green technologies",0.88,573,28.13,27.17,92,"west"
"NL31","Handling",1.58,188,22.72,3.8,80,"west"
"NL31","IT methods for management",0.84,8,12.42,55.98,12,"west"
"NL31","Machine tools",0.11,2,25.37,1.93,15,"west"
"NL31","Macromolecular chemistry, polymers",0.86,100,25.34,4.28,28,"west"
"NL31","Materials, metallurgy",0.61,1703,26.11,19.33,29,"west"
"NL31","Measurement",1.39,479,40.9,54.84,101,"west"
"NL31","Mechanical elements",1.02,345,30.59,14.17,54,"west"
"NL31","Medical technology",1.13,981,36.46,41.08,93,"west"
"NL31","Micro-structural and nano-technology",0.64,2407,29.56,42,6,"west"
"NL31","Optics",1,5839,7.35,45.39,35,"west"
"NL31","Organic fine chemistry",0.75,6145,57.72,28.13,63,"west"
"NL31","Other consumer goods",0.96,7,33.33,23.01,26,"west"
"NL31","Other special machines",0.13,2,27.93,0,94,"west"
"NL31","Pharmaceuticals",0.99,2067,75.51,40.46,248,"west"
"NL31","Semiconductors",0.72,113,19.39,55.41,4,"west"
"NL31","Surface technology, coating",0.52,144,22.33,3.88,25,"west"
"NL31","Telecommunications",0.96,3018,7.86,97.24,21,"west"
"NL31","Textile and paper machines",0.39,23,29.25,5.66,15,"west"
"NL31","Thermal processes and apparatus",0.82,2963,27.81,9.58,36,"west"
"NL31","Transport",1.56,839,20.35,23.23,101,"west"
"NL32","Analysis of biological materials",1.5,61,50.59,34.97,40,"west"
"NL32","Audio-visual technology",1.54,7,24.2,72.35,67,"west"
"NL32","Basic communication processes",1.26,456,27.03,82.4,6,"west"
"NL32","Basic materials chemistry",0.6,54,51.32,12.17,127,"west"
"NL32","Biotechnology",1.17,1039,79.4,36.76,166,"west"
"NL32","Chemical engineering",0.5,1108,45.6,18.36,132,"west"
"NL32","Civil engineering",1.13,764,35.71,13.72,96,"west"
"NL32","Computer technology",1.25,36293,20.25,88.39,169,"west"
"NL32","Control",0.34,153,33.4,46.7,61,"west"
"NL32","Digital communication",0.27,13,30.08,100,70,"west"
"NL32","Electrical machinery, apparatus, energy",0.64,2062,26.43,30.49,70,"west"
"NL32","Engines, pumps, turbines",0.44,38,22.34,25.2,45,"west"
"NL32","Environmental technology",1.26,7227,51.86,24.65,38,"west"
"NL32","Food chemistry",0.61,947,80.58,20.91,105,"west"
"NL32","Furniture, games",1.86,45,39.49,18.02,65,"west"
