"id","name","value"
"NL31","Utrecht",9.36
"UKI2","Outer London",9.95
"DEF0","Schleswig-Holstein",13.9
"SK01","Bratislavský kraj",6.27
"UKJ1","Berkshire, Buckinghamshire and Oxfordshire",8.27
"PL22","Śląskie",14.66
"DE12","Karlsruhe",7.52
"AT12","Niederösterreich",18.98
"NO07","Nord-Norge",4.33
"FRY2","Martinique",0.22
"EL41","Voreio Aigaio",0.05
"ITC4","Lombardia",16.5
"EE00","Eesti",7.14
"FRY3","Guyane",0
"UKN0","Northern Ireland",8.76
"UKK1","Gloucestershire, Wiltshire and Bristol/Bath area",10.76
"AT34","Vorarlberg",12.28
"ES53","Illes Balears",6.98
"ITH4","Friuli-Venezia Giulia",15.09
"UKD7","Merseyside",10.6
"DED4","Chemnitz",18.6
"ITF3","Campania",9.63
"ES41","Castilla y León",8.76
"BE22","Prov. Limburg (BE)",18.44
"FR25","Basse-Normandie",8.11
"PL34","Podlaskie",3.24
"EL65","Peloponnisos",2.49
"FR30","Nord - Pas-de-Calais",12.44
"RO22","Sud-Est",0.54
"ITG2","Sardegna",4.92
"RO32","Bucureşti - Ilfov",4.6
"MT00","Malta",5.19
"ITG1","Sicilia",5.41
"IS01","Höfuðborgarsvæði",4.71
"UKD4","Lancashire",16.71
"HR04","Kontinentalna Hrvatska",5.9
"DE50","Bremen",12.11
"LU00","Luxembourg",15.14
"UKK2","Dorset and Somerset",10.92
"NO02","Hedmark og Oppland",6.92
"BG42","Yuzhen tsentralen",2.38
"FI1C","Etelä-Suomi",12.17
"PT16","Centro (PT)",6.81
"EL52","Kentriki Makedonia",6.92
"NO04","Agder og Rogaland",8.44
"DE73","Kassel",12.49
"ITF5","Basilicata",2.65
"IE01","Border, Midland and Western",5.9
"FR51","Pays de la Loire",14.06
"DK03","Syddanmark",8.17
"EL62","Ionia Nisia",0.65
"ITH3","Veneto",15.74
"ITF2","Molise",2.43
"ES24","Aragón",8.27
"DEB2","Trier",9.63
"BG33","Severoiztochen",2.87
"PT30","Região Autónoma da Madeira",0.05
"ES64","Ciudad Autónoma de Melilla",0
"HU10","Közép-Magyarország",6
"NL13","Drenthe",4.38
"DE21","Oberbayern",13.14
"EL53","Dytiki Makedonia",0.05
"CZ03","Jihozápad",11.47
"ITI2","Umbria",8.22
"AT13","Wien",11.84
"UKC1","Tees Valley and Durham",8.11
"UKE4","West Yorkshire",10.28
"PT15","Algarve",4.92
"PL12","Mazowieckie",9.3
"FR26","Bourgogne",20.23
"CH06","Zentralschweiz",17.69
"PL43","Lubuskie",6.76
"DE92","Hannover",14.39
"DEA3","Münster",19.04
"DK02","Sjælland",9.41
"DEA4","Detmold",17.09
"DED5","Leipzig",11.74
"UKL1","West Wales and The Valleys",16.33
"UKH3","Essex",11.63
"PT20","Região Autónoma dos Açores",0.22
"UKE3","South Yorkshire",14.82
"PL41","Wielkopolskie",7.46
"ES51","Cataluña",16.44
"SK03","Stredné Slovensko",6.11
"UKD1","Cumbria",7.73
