"id","name","value"
"ITI2","Umbria",34.8027
"EL54","Thessalia",1.6367
"DEA4","Detmold",55.2073
"SI03","Zahodna Slovenija",39.3413
"FI1C","Etelä-Suomi",40.9367
"UKD3","Greater Manchester",11.98
"ITC1","Piemonte",60.8047
"CZ03","Jihozápad",3.9487
"IE01","Border, Midland and Western",5.4213
"FR71","Rhône-Alpes",12.0967
"UKC2","Northumberland and Tyne and Wear",42.4213
"MT00","Malta",3.5427
"SI04","Vzhodna Slovenija",57.7867
"HR03","Jadranska Hrvatska",55.8013
"ES51","Cataluña",7.1607
"UKD7","Merseyside",1.75
"DEF0","Schleswig-Holstein",6.1773
"DE30","Berlin",7.8167
"PT20","Região Autónoma dos Açores",0.4873
"ITH1","Provincia Autonoma di Bolzano/Bozen",9.1033
"FR24","Centre",24.786
"BG41","Yugozapaden",8.5593
"HU32","Észak-Alföld",6.8927
"RO11","Nord-Vest",3.8827
"BE35","Prov. Namur",13.0407
"BG42","Yuzhen tsentralen",3.7787
"FRY3","Guyane",0
"UKJ2","Surrey, East and West Sussex",5.136
"PT17","Lisboa",5.86
"PT30","Região Autónoma da Madeira",0.08
"UKE1","East Yorkshire and Northern Lincolnshire",40.436
"CZ07","Střední Morava",60.8533
"BE24","Prov. Vlaams-Brabant",5.8767
"NO07","Nord-Norge",3.0507
"NL22","Gelderland",10.88
"CH02","Espace Mittelland",6.4627
"SE11","Stockholm",3.916
"DED4","Chemnitz",26.4227
"DE14","Tübingen",67.6033
"ES52","Comunidad Valenciana",60.1007
"ITF2","Molise",4.22
"HU23","Dél-Dunántúl",4.94
"DEB1","Koblenz",62.7233
"DE27","Schwaben",9.708
"NL41","Noord-Brabant",63.3653
"DED5","Leipzig",7.4953
"NL33","Zuid-Holland",8.072
"UKK4","Devon",10.002
"ES23","La Rioja",3.9167
"UKF3","Lincolnshire",8.4453
"DK01","Hovedstaden",2.8487
"CZ04","Severozápad",54.8127
"DEC0","Saarland",53.2113
"NL23","Flevoland",1.438
"PL33","Świętokrzyskie",4.3007
"CH06","Zentralschweiz",24.2827
"ITH3","Veneto",60.818
"UKE3","South Yorkshire",5.7807
"UKM3","South Western Scotland",54.654
"SK03","Stredné Slovensko",23.144
"FI19","Länsi-Suomi",7.04
"AT31","Oberösterreich",57.354
"UKG2","Shropshire and Staffordshire",6.6633
"BE25","Prov. West-Vlaanderen",5.928
"ES12","Principado de Asturias",54.3753
"CZ01","Praha",12.916
"RO32","Bucureşti - Ilfov",4.0627
"EL64","Sterea Ellada",4.09
"FR10","Île de France",56.526
"ES64","Ciudad Autónoma de Melilla",0.08
"ES30","Comunidad de Madrid",4.0727
"BE32","Prov. Hainaut",36.078
"PL51","Dolnośląskie",4.8907
"NL32","Noord-Holland",4.726
"ES53","Illes Balears",24.2853
"ES62","Región de Murcia",5.3267
"HU22","Nyugat-Dunántúl",6.3713
"SK01","Bratislavský kraj",51.3187
"DEB3","Rheinhessen-Pfalz",4.0173
"FR82","Provence-Alpes-Côte d'Azur",6.7073
"DE92","Hannover",13.716
"FI20","Åland",1.2727
"DEG0","Thüringen",20.626
"IS01","Höfuðborgarsvæði",1.9067
"FI1B","Helsinki-Uusimaa",9.626
"UKH2","Bedfordshire and Hertfordshire",33.8487
"ITC2","Valle d'Aosta/Vallée d'Aoste",2.5527
"DK04","Midtjylland",50.7727
"UKE2","North Yorkshire",11.3853
"AT13","Wien",58.2753
"HU31","Észak-Magyarország",43.9473
"EL42","Notio Aigaio",0.0693
"RO42","Vest",45.7233
"UKJ1","Berkshire, Buckinghamshire and Oxfordshire",8.3973
"UKF1","Derbyshire and Nottinghamshire",1.0553
"PT15","Algarve",4.3513
"DE24","Oberfranken",43.8613
"FI1D","Pohjois- ja Itä-Suomi",26.2027
"BE31","Prov. Brabant Wallon",3.3947
"EL65","Peloponnisos",0.76
"DEA3","Münster",6.5913
"HR04","Kontinentalna Hrvatska",4.8133
"FR83","Corse",15.58
"ITI1","Toscana",37.496
"UKL2","East Wales",2.5393
"BE33","Prov. Liège",57.046
"SE21","Småland med öarna",46.282
"DED2","Dresden",14.7413
"FR72","Auvergne",2.9947
"RO22","Sud-Est",0.328
"DE94","Weser-Ems",6.3027
"LU00","Luxembourg",8.4893
"SE32","Mellersta Norrland",4.5427
"ES41","Castilla y León",54.8273
"UKD1","Cumbria",3.652
"SE12","Östra Mellansverige",4.2347
"DE13","Freiburg",8.0593
"SK02","Západné Slovensko",55.2907
"FR53","Poitou-Charentes",29.204
"BE21","Prov. Antwerpen",3.504
"DE72","Gießen",6.2653
"DK03","Syddanmark",4.4533
"ITI3","Marche",54.5433
"NL31","Utrecht",5.0427
"DE40","Brandenburg",8.9993
"CZ06","Jihovýchod",6.9613
"AT33","Tirol",55.9093
"UKI2","Outer London",5.2407
"UKK1","Gloucestershire, Wiltshire and Bristol/Bath area",3.1787
"DE12","Karlsruhe",11.3207
"NO06","Trøndelag",7.3207
"ES11","Galicia",6.1307
"UKH3","Essex",9.15
"ITF5","Basilicata",3.7613
"UKN0","Northern Ireland",3.4733
"BG34","Yugoiztochen",3.7107
"NL12","Friesland (NL)",3.796
"AT21","Kärnten",5.2433
"UKD4","Lancashire",7.5813
"RO41","Sud-Vest Oltenia",2.396
"AT34","Vorarlberg",61.632
"UKM6","Highlands and Islands",3.1
"ES21","País Vasco",4.2673
"PL12","Mazowieckie",35.6027
"CZ05","Severovýchod",12.628
"PL22","Śląskie",42.492
"RO12","Centru",2.4713
"UKM5","North Eastern Scotland",1.7833
"DK05","Nordjylland",2.3033
