"id","name","value"
"NL42","Limburg (NL)",10.77
"DEA5","Arnsberg",14.41
"EL53","Dytiki Makedonia",2.38
"AT11","Burgenland (AT)",10.28
"CY00","Kýpros",34.02
"NO02","Hedmark og Oppland",18.85
"UKF2","Leicestershire, Rutland and Northamptonshire",20.29
"SE21","Småland med öarna",14.77
"CZ04","Severozápad",15.57
"FR62","Midi-Pyrénées",16.25
"DE80","Mecklenburg-Vorpommern",24.15
"RO22","Sud-Est",14.63
"ES13","Cantabria",13.78
"ITG1","Sicilia",31.87
"UKD6","Cheshire",16.79
"AT34","Vorarlberg",13.6
"DEF0","Schleswig-Holstein",22.71
"ITH3","Veneto",12.34
"NO05","Vestlandet",13.42
"SE22","Sydsverige",31.69
"UKN0","Northern Ireland",33.57
"NL34","Zeeland",6.91
"BE24","Prov. Vlaams-Brabant",36.45
"DK03","Syddanmark",10.91
"DEB1","Koblenz",14.59
"FR83","Corse",13.15
"FR51","Pays de la Loire",19.43
"CH02","Espace Mittelland",26.62
"DEG0","Thüringen",35.91
"ITI2","Umbria",16.11
"HU32","Észak-Alföld",22.76
"FR43","Franche-Comté",14.72
"SE32","Mellersta Norrland",7.14
"UKJ3","Hampshire and Isle of Wight",27.38
"PL51","Dolnośląskie",11.8
"FR41","Lorraine",6.96
"PL11","Łódzkie",24.33
"PL61","Kujawsko-Pomorskie",27.92
"NO06","Trøndelag",33.26
"CH06","Zentralschweiz",38.51
"DEA1","Düsseldorf",10.86
"PL21","Małopolskie",27.15
"UKJ2","Surrey, East and West Sussex",33.62
"UKD7","Merseyside",10.05
"EL64","Sterea Ellada",3.95
"PL31","Lubelskie",28.64
"HU23","Dél-Dunántúl",28.95
"CH04","Zürich",51.62
"CZ07","Střední Morava",16.97
"BG42","Yuzhen tsentralen",13.96
"UKE1","East Yorkshire and Northern Lincolnshire",20.83
"CZ05","Severovýchod",22.04
"AT31","Oberösterreich",11.67
"BE34","Prov. Luxembourg (BE)",9.2
"PL32","Podkarpackie",9.43
"PT20","Região Autónoma dos Açores",6.1
"ITI3","Marche",15.35
"ES24","Aragón",13.11
"SI03","Zahodna Slovenija",18.99
"NO04","Agder og Rogaland",9.56
"DE91","Braunschweig",30.03
"RO21","Nord-Est",29.53
"NL23","Flevoland",9.87
"PL22","Śląskie",20.74
"DED4","Chemnitz",14.5
"DK05","Nordjylland",7.76
"NL22","Gelderland",14.72
"FI1B","Helsinki-Uusimaa",36.45
"EL30","Attiki",25.4
"SI04","Vzhodna Slovenija",27.83
"FR63","Limousin",20.47
"EL61","Ipeiros",18.9
"HU21","Közép-Dunántúl",26.03
"ITH2","Provincia Autonoma di Trento",19.57
"RO31","Sud - Muntenia",18.67
"UKL2","East Wales",29.67
"DEB2","Trier",10.86
"FR82","Provence-Alpes-Côte d'Azur",42.73
"ES64","Ciudad Autónoma de Melilla",4.04
"FR42","Alsace",20.29
"ITF1","Abruzzo",15.57
"DEE0","Sachsen-Anhalt",17.55
"UKC1","Tees Valley and Durham",9.38
"ES23","La Rioja",9.43
"FR25","Basse-Normandie",26.53
"IE02","Southern and Eastern",43.72
"PL52","Opolskie",7.54
"SE33","Övre Norrland",22.04
"BE35","Prov. Namur",14.81
"RO32","Bucureşti - Ilfov",35.1
"ITI1","Toscana",27.33
"FR52","Bretagne",27.92
"FI20","Åland",7.59
"CH01","Région lémanique",46.05
"CH03","Nordwestschweiz",29.4
"ES30","Comunidad de Madrid",31.06
"BE21","Prov. Antwerpen",21.1
"HR03","Jadranska Hrvatska",8.8
"ITG2","Sardegna",19.52
"NL33","Zuid-Holland",19.21
"PT16","Centro (PT)",34.96
"FR23","Haute-Normandie",10.01
"AT21","Kärnten",19.17
"BG34","Yugoiztochen",13.02
"ITC4","Lombardia",20.51
"UKJ4","Kent",25.85
"DE27","Schwaben",17.64
"FR22","Picardie",9.02
"DK04","Midtjylland",12.21
"PT15","Algarve",14.05
"HU33","Dél-Alföld",11.62
"UKF3","Lincolnshire",24.6
"NL21","Overijssel",11.31
"UKE3","South Yorkshire",24.33
"ITF3","Campania",29.35
"LT00","Lietuva",33.71
"DE94","Weser-Ems",8.08
"AT22","Steiermark",21.27
"FI1D","Pohjois- ja Itä-Suomi",33.35
"ES12","Principado de Asturias",16.56
"ITH1","Provincia Autonoma di Bolzano/Bozen",13.73
"DEA2","Köln",15.08
"HU22","Nyugat-Dunántúl",20.56
"DE25","Mittelfranken",38.11
"HU31","Észak-Magyarország",23.65
"UKI1","Inner London",43.22
"PT11","Norte",39.09
"UKM3","South Western Scotland",30.97
"UKM5","North Eastern Scotland",11.8
"EL62","Ionia Nisia",0.72
"EL54","Thessalia",13.11
"CZ03","Jihozápad",22.85
"DK01","Hovedstaden",30.75
"EE00","Eesti",35.64
"DEA4","Detmold",10.82
"CH07","Ticino",27.65
"SK03","Stredné Slovensko",21.9
"ES51","Cataluña",29.89
"UKL1","West Wales and The Valleys",22.13
"NO01","Oslo og Akershus",42.86
"FI1C","Etelä-Suomi",14.32
"ITF6","Calabria",28.59
"ES21","País Vasco",20.47
"UKH1","East Anglia",40.44
"CZ02","Střední Čechy",22.31
"PT17","Lisboa",36.36
"ES22","Comunidad Foral de Navarra",17.73
"FRY4","Réunion",6.01
"FR10","Île de France",33.03
"UKH2","Bedfordshire and Hertfordshire",31.64
"SE12","Östra Mellansverige",16.88
"DE13","Freiburg",31.33
"BG41","Yugozapaden",25.99
"ITC2","Valle d'Aosta/Vallée d'Aoste",5.88
"RO12","Centru",27.56
"DE14","Tübingen",29.53
"SE31","Norra Mellansverige",11.76
"UKK1","Gloucestershire, Wiltshire and Bristol/Bath area",34.61
"DE22","Niederbayern",18.76
"DK02","Sjælland",24.96
"UKI2","Outer London",44.7
"AT32","Salzburg",23.25
"DE26","Unterfranken",17.28
"CZ01","Praha",40.39
"UKD4","Lancashire",24.51
"BE10","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest",23.56
"AT12","Niederösterreich",22.8
"PL41","Wielkopolskie",29.44
"NL11","Groningen",26.97
"UKK4","Devon",18.76
"NO07","Nord-Norge",12.93
"BG31","Severozapaden",6.69
"SK02","Západné Slovensko",12.66
"DE73","Kassel",16.16
"PL33","Świętokrzyskie",20.51
"FR53","Poitou-Charentes",14.32
"ES53","Illes Balears",17.59
"DEB3","Rheinhessen-Pfalz",14.45
"IE01","Border, Midland and Western",33.89
"ES43","Extremadura",15.22
"DE24","Oberfranken",30.16
"FRY2","Martinique",14.41
"FR24","Centre",16.56
"DE93","Lüneburg",11.04
"ES11","Galicia",12.66
"DED5","Leipzig",25
"CZ06","Jihovýchod",20.69
"HR04","Kontinentalna Hrvatska",24.73
"BE23","Prov. Oost-Vlaanderen",17.37
"DE12","Karlsruhe",25.58
"RO41","Sud-Vest Oltenia",5.7
"UKH3","Essex",29.13
"SE11","Stockholm",27.83
"FRY3","Guyane",0
"BG33","Severoiztochen",14.05
"CZ08","Moravskoslezsko",17.86
"DED2","Dresden",20.51
"UKF1","Derbyshire and Nottinghamshire",5.7
"DE30","Berlin",51.12
"ITF4","Puglia",22.26
"PT18","Alentejo",10.37
"DE11","Stuttgart",28.86
"DE21","Oberbayern",35.01
"UKC2","Northumberland and Tyne and Wear",13.46
"UKD3","Greater Manchester",18.45
"PL42","Zachodniopomorskie",17.86
"NL41","Noord-Brabant",42.95
"ITF5","Basilicata",27.15
"ES52","Comunidad Valenciana",25.54
"HU10","Közép-Magyarország",34.16
"ES61","Andalucía",20.42
"BG32","Severen tsentralen",2.24
"FR30","Nord - Pas-de-Calais",27.87
"ES70","Canarias",26.26
"PL63","Pomorskie",30.21
"UKG1","Herefordshire, Worcestershire and Warwickshire",29.4
"UKD1","Cumbria",14.77
"UKJ1","Berkshire, Buckinghamshire and Oxfordshire",41.29
"IS01","Höfuðborgarsvæði",18.31
"ITI4","Lazio",35.86
"EL51","Anatoliki Makedonia, Thraki",5.12
"LV00","Latvija",16.7
"SK01","Bratislavský kraj",28.05
"DE71","Darmstadt",22.49
"UKK3","Cornwall and Isles of Scilly",15.84
"SK04","Východné Slovensko",21.95
"EL52","Kentriki Makedonia",23.2
"PL62","Warmińsko-Mazurskie",14.54
"FRY1","Guadeloupe",14.32
"ITH5","Emilia-Romagna",12.52
"MT00","Malta",24.73
"UKM2","Eastern Scotland",42.64
"DE60","Hamburg",11.76
"AT33","Tirol",30.16
"NL13","Drenthe",13.55
"ITF2","Molise",12.52
"RO11","Nord-Vest",25.04
"NL32","Noord-Holland",26.39
"ES62","Región de Murcia",21.59
"BE25","Prov. West-Vlaanderen",11.49
"UKE4","West Yorkshire",26.39
"ES41","Castilla y León",16.29
"FR26","Bourgogne",17.59
"LU00","Luxembourg",20.69
"FR21","Champagne-Ardenne",19.17
"DE50","Bremen",20.47
"SE23","Västsverige",14.5
"DE23","Oberpfalz",17.41
"FR72","Auvergne",6.91
"PL12","Mazowieckie",36.8
"ES42","Castilla-La Mancha",13.78
"DE40","Brandenburg",39.59
"ITC1","Piemonte",14.18
"NO03","Sør-Østlandet",16.61
"IS02","Landsbyggð",4.62
"DEA3","Münster",9.52
