"id","name","value"
"FR52","Bretagne",47.01
"SE23","Västsverige",23.83
"NO07","Nord-Norge",8.03
"RO21","Nord-Est",44.42
"DE94","Weser-Ems",12.78
"CZ04","Severozápad",19.8
"DK01","Hovedstaden",16.63
"NO04","Agder og Rogaland",20.55
"UKI1","Inner London",58.14
"PT16","Centro (PT)",39.16
"ITF6","Calabria",21.53
"NL11","Groningen",10.73
"ITC1","Piemonte",17.67
"ITF2","Molise",29.95
"DE71","Darmstadt",17.75
"UKH1","East Anglia",38.88
"ITH1","Provincia Autonoma di Bolzano/Bozen",22.25
"ES22","Comunidad Foral de Navarra",17.13
"ITG2","Sardegna",16.7
"NL33","Zuid-Holland",19.51
"ITF3","Campania",37.44
"PL31","Lubelskie",22.64
"SI04","Vzhodna Slovenija",17.39
"HR04","Kontinentalna Hrvatska",18.86
"FRY4","Réunion",8.89
"FR22","Picardie",9.18
"PL51","Dolnośląskie",15.08
"FI1B","Helsinki-Uusimaa",54.79
"UKF1","Derbyshire and Nottinghamshire",4.61
"SK01","Bratislavský kraj",47.05
"UKJ2","Surrey, East and West Sussex",58.46
"UKM5","North Eastern Scotland",11.45
"AT32","Salzburg",19.91
"UKG3","West Midlands",40.82
"UKE2","North Yorkshire",23.9
"FR51","Pays de la Loire",20.05
"PT18","Alentejo",13.14
"ITI1","Toscana",15.87
"NO06","Trøndelag",42.94
"SE22","Sydsverige",44.82
"CH05","Ostschweiz",17.6
"DED2","Dresden",19.15
"PL63","Pomorskie",38.88
"NL21","Overijssel",8.96
"ES51","Cataluña",35.06
"RO22","Sud-Est",24.15
"SE31","Norra Mellansverige",19.83
"UKH3","Essex",26.17
"SK04","Východné Slovensko",14.18
"UKC2","Northumberland and Tyne and Wear",10.33
"DE24","Oberfranken",30.85
"DED4","Chemnitz",19.33
"DE25","Mittelfranken",55.83
"DE72","Gießen",13.86
"PL61","Kujawsko-Pomorskie",19.69
"ES52","Comunidad Valenciana",13.03
"PT20","Região Autónoma dos Açores",8.21
"PL22","Śląskie",32.29
"FR23","Haute-Normandie",10.01
"ITI3","Marche",12.96
"FR24","Centre",9.36
"ITG1","Sicilia",35.78
"UKE3","South Yorkshire",28.33
"DEA4","Detmold",13.64
"UKG1","Herefordshire, Worcestershire and Warwickshire",30.24
"DE13","Freiburg",25.85
"DE30","Berlin",65.44
"CZ01","Praha",41.72
"DE40","Brandenburg",50.94
"ITC4","Lombardia",13.75
"IE01","Border, Midland and Western",46
"CZ05","Severovýchod",18.79
"PL43","Lubuskie",23.79
"BG42","Yuzhen tsentralen",24.8
"FR26","Bourgogne",11.3
"ES62","Región de Murcia",15.37
"BE34","Prov. Luxembourg (BE)",8.64
"RO11","Nord-Vest",42.76
"EL42","Notio Aigaio",0
"ES42","Castilla-La Mancha",23.97
"EL64","Sterea Ellada",5.51
"HR03","Jadranska Hrvatska",11.05
"DK04","Midtjylland",10.87
"UKK1","Gloucestershire, Wiltshire and Bristol/Bath area",41.5
"UKJ1","Berkshire, Buckinghamshire and Oxfordshire",47.12
"DE12","Karlsruhe",42.4
"BE32","Prov. Hainaut",7.49
"FR53","Poitou-Charentes",13.79
"ITI4","Lazio",42.73
"CZ06","Jihovýchod",14.83
"EE00","Eesti",55.04
"CH03","Nordwestschweiz",10.26
"ES23","La Rioja",16.7
"BE23","Prov. Oost-Vlaanderen",12.89
"UKJ4","Kent",26.13
"FR83","Corse",14.58
"AT21","Kärnten",21.49
"PT30","Região Autónoma da Madeira",8.53
"ITF4","Puglia",21.2
"PL12","Mazowieckie",40.1
"AT34","Vorarlberg",16.34
"FR42","Alsace",11.66
"IS02","Landsbyggð",12.63
"CH07","Ticino",19.37
"BE35","Prov. Namur",18.75
"UKI2","Outer London",59.9
"UKM2","Eastern Scotland",44.02
"EL61","Ipeiros",30.38
"AT12","Niederösterreich",31.82
"NO02","Hedmark og Oppland",31.61
"NL41","Noord-Brabant",49.35
"DK02","Sjælland",11.45
"FR62","Midi-Pyrénées",14.65
"FR10","Île de France",61.52
"NL32","Noord-Holland",38.19
"EL54","Thessalia",4.72
"ITH3","Veneto",14.58
"FR72","Auvergne",8.78
"NL12","Friesland (NL)",21.53
"RO12","Centru",42.94
"DEB2","Trier",10.8
"FRY3","Guyane",0
"PL42","Zachodniopomorskie",21.38
"UKN0","Northern Ireland",42.01
"BE22","Prov. Limburg (BE)",23
"ES61","Andalucía",31.32
"HU33","Dél-Alföld",22.17
"LV00","Latvija",15.01
"DE21","Oberbayern",65.55
"PL32","Podkarpackie",7.34
"BG31","Severozapaden",15.91
"FRY2","Martinique",3.78
"PL11","Łódzkie",14.51
"CH06","Zentralschweiz",46.18
"UKD6","Cheshire",20.23
"DK03","Syddanmark",10.73
"ITH4","Friuli-Venezia Giulia",10.8
"FR71","Rhône-Alpes",31.57
"IE02","Southern and Eastern",47.16
"NL23","Flevoland",2.92
"LU00","Luxembourg",33.15
"RO32","Bucureşti - Ilfov",48.74
"PL34","Podlaskie",21.02
"DE80","Mecklenburg-Vorpommern",12.74
"DEA2","Köln",25.45
"DEA1","Düsseldorf",10.55
"RO41","Sud-Vest Oltenia",7.81
"LT00","Lietuva",36.86
"EL51","Anatoliki Makedonia, Thraki",8.82
"HU32","Észak-Alföld",29.37
"BG34","Yugoiztochen",19.83
"PL41","Wielkopolskie",33.77
"AT22","Steiermark",27.21
"FR81","Languedoc-Roussillon",18.61
"SK02","Západné Slovensko",14.29
"DE93","Lüneburg",11.66
"CH04","Zürich",50.36
"NO01","Oslo og Akershus",48.6
"UKM6","Highlands and Islands",18.97
"IS01","Höfuðborgarsvæði",21.27
