"id","name","value"
"DEG0","Thüringen",5.18
"UKK1","Gloucestershire, Wiltshire and Bristol/Bath area",6.45
"PL32","Podkarpackie",5.31
"SE32","Mellersta Norrland",22.38
"IS02","Landsbyggð",13.91
"BE25","Prov. West-Vlaanderen",19.34
"HU23","Dél-Dunántúl",6.83
"HU22","Nyugat-Dunántúl",2.91
"NL31","Utrecht",23.51
"UKC1","Tees Valley and Durham",29.46
"ITC3","Liguria",8.47
"NL32","Noord-Holland",35.02
"PL34","Podlaskie",11.88
"UKL2","East Wales",11.13
"BE22","Prov. Limburg (BE)",16.69
"PL61","Kujawsko-Pomorskie",25.66
"FR10","Île de France",4.05
"BG42","Yuzhen tsentralen",19.97
"FR21","Champagne-Ardenne",29.33
"FR25","Basse-Normandie",19.6
"LU00","Luxembourg",10.49
"RO21","Nord-Est",6.83
"DE13","Freiburg",2.53
"RO32","Bucureşti - Ilfov",5.94
"DE24","Oberfranken",7.46
"NL33","Zuid-Holland",29.58
"NO04","Agder og Rogaland",4.05
"AT12","Niederösterreich",17.45
"DEC0","Saarland",8.34
"SE31","Norra Mellansverige",17.7
"FR24","Centre",27.05
"AT34","Vorarlberg",2.65
"ITH1","Provincia Autonoma di Bolzano/Bozen",11.63
"SK03","Stredné Slovensko",19.97
"NO07","Nord-Norge",10.87
"NO06","Trøndelag",8.98
"DE27","Schwaben",13.02
"AT11","Burgenland (AT)",12.14
"IE01","Border, Midland and Western",4.42
"ITC2","Valle d'Aosta/Vallée d'Aoste",1.14
"ITG2","Sardegna",11.13
"CH01","Région lémanique",24.15
"UKC2","Northumberland and Tyne and Wear",20.86
"FR53","Poitou-Charentes",18.08
"AT21","Kärnten",6.19
"ITF5","Basilicata",6.57
"FR52","Bretagne",6.57
"FR41","Lorraine",19.97
"CY00","Kýpros",18.96
"CZ06","Jihovýchod",11.76
"FRY2","Martinique",1.26
"ITI4","Lazio",18.08
"DK01","Hovedstaden",31.73
"FR83","Corse",4.05
"EL62","Ionia Nisia",0.13
"CH04","Zürich",20.73
"ES62","Región de Murcia",16.56
"MT00","Malta",6.07
"RO22","Sud-Est",4.3
"SK01","Bratislavský kraj",15.55
"UKG3","West Midlands",6.07
"CH03","Nordwestschweiz",19.47
"ES53","Illes Balears",13.15
"SE21","Småland med öarna",7.71
"UKF2","Leicestershire, Rutland and Northamptonshire",9.86
"EL61","Ipeiros",0.88
"EL43","Kriti",10.24
"PT18","Alentejo",10.49
"LV00","Latvija",24.78
"AT22","Steiermark",16.56
"NO03","Sør-Østlandet",20.73
"UKD4","Lancashire",9.1
"UKM2","Eastern Scotland",12.26
"EL64","Sterea Ellada",3.16
"DEA5","Arnsberg",7.96
"UKI2","Outer London",8.34
"ES61","Andalucía",25.66
"BG32","Severen tsentralen",2.02
"PL52","Opolskie",8.22
"BE24","Prov. Vlaams-Brabant",30.21
"ES23","La Rioja",14.29
"DE21","Oberbayern",5.82
"ES51","Cataluña",25.28
"ITF6","Calabria",9.23
"DEB3","Rheinhessen-Pfalz",28.57
"SE11","Stockholm",9.1
"FRY1","Guadeloupe",4.8
"SI04","Vzhodna Slovenija",13.27
"BE31","Prov. Brabant Wallon",30.09
"PT11","Norte",22.88
"NL34","Zeeland",16.18
"DE11","Stuttgart",5.69
"PT17","Lisboa",21.74
"UKG2","Shropshire and Staffordshire",13.15
"PT15","Algarve",5.06
"ES52","Comunidad Valenciana",29.08
"UKH3","Essex",18.08
"FI1C","Etelä-Suomi",21.11
"NO05","Vestlandet",10.11
"BE10","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest",31.1
"EL53","Dytiki Makedonia",4.17
"DE93","Lüneburg",30.34
"DE12","Karlsruhe",6.45
"LT00","Lietuva",18.08
"DEE0","Sachsen-Anhalt",23.26
"CH06","Zentralschweiz",13.53
"NL12","Friesland (NL)",18.46
"SE23","Västsverige",13.02
"DEB1","Koblenz",7.46
"ES22","Comunidad Foral de Navarra",18.58
"UKM3","South Western Scotland",19.6
"SK04","Východné Slovensko",10.62
"ITF1","Abruzzo",16.06
"ITF4","Puglia",21.24
"HU21","Közép-Dunántúl",3.79
"RO41","Sud-Vest Oltenia",1.9
"ITG1","Sicilia",12.01
"UKH2","Bedfordshire and Hertfordshire",12.52
"UKH1","East Anglia",12.64
"UKE2","North Yorkshire",25.41
"EL51","Anatoliki Makedonia, Thraki",5.94
"ES13","Cantabria",12.77
"UKD7","Merseyside",19.47
"FRY4","Réunion",11.76
"DE23","Oberpfalz",9.99
"DEA2","Köln",20.99
"FRY3","Guyane",0
"EL30","Attiki",14.54
"ES12","Principado de Asturias",11.13
"DK04","Midtjylland",19.97
"IE02","Southern and Eastern",15.8
"UKF3","Lincolnshire",8.98
"DE22","Niederbayern",11.38
"HU31","Észak-Magyarország",6.83
"DE91","Braunschweig",8.85
"AT33","Tirol",11.38
"DE73","Kassel",10.75
"UKJ3","Hampshire and Isle of Wight",7.71
"UKM5","North Eastern Scotland",5.69
"BE32","Prov. Hainaut",20.61
"CZ03","Jihozápad",14.41
"AT31","Oberösterreich",19.34
"PL63","Pomorskie",19.09
"DE92","Hannover",9.86
"ITC4","Lombardia",22.12
"UKE4","West Yorkshire",17.19
"BE23","Prov. Oost-Vlaanderen",29.96
"NL22","Gelderland",35.15
"ES70","Canarias",16.31
"HU10","Közép-Magyarország",10.75
"FR62","Midi-Pyrénées",24.53
