"id","name","value"
"ITH4","Friuli-Venezia Giulia",12.54
"FR61","Aquitaine",52.07
"UKL1","West Wales and The Valleys",28.91
"CZ01","Praha",24.65
"DK01","Hovedstaden",29.44
"EL63","Dytiki Ellada",21.57
"DEA4","Detmold",7.23
"FI20","Åland",3.83
"DEG0","Thüringen",35.71
"UKK2","Dorset and Somerset",7.65
"MT00","Malta",22.95
"UKJ4","Kent",13.92
"FRY2","Martinique",0.21
"CZ02","Střední Čechy",21.36
"DE40","Brandenburg",14.13
"ES12","Principado de Asturias",28.37
"NL23","Flevoland",7.76
"DE30","Berlin",13.28
"NO05","Vestlandet",30.92
"DED5","Leipzig",41.55
"UKM2","Eastern Scotland",25.4
"CH03","Nordwestschweiz",12.54
"PL12","Mazowieckie",24.76
"NL42","Limburg (NL)",29.33
"PL33","Świętokrzyskie",29.76
"NO06","Trøndelag",49.73
"RO12","Centru",2.23
"ES11","Galicia",19.77
"UKJ2","Surrey, East and West Sussex",16.79
"ES62","Región de Murcia",25.72
"DE72","Gießen",29.65
"ITF4","Puglia",27.63
"UKJ1","Berkshire, Buckinghamshire and Oxfordshire",46.65
"ITC3","Liguria",16.15
"ES64","Ciudad Autónoma de Melilla",0
"ES52","Comunidad Valenciana",20.19
"ITH5","Emilia-Romagna",12.22
"HU22","Nyugat-Dunántúl",6.91
"UKD6","Cheshire",38.58
"FI19","Länsi-Suomi",9.46
"HU21","Közép-Dunántúl",22.42
"UKK4","Devon",21.15
"PL63","Pomorskie",13.5
"FR41","Lorraine",24.87
"DE13","Freiburg",9.35
"UKJ3","Hampshire and Isle of Wight",21.89
"BE23","Prov. Oost-Vlaanderen",16.47
"PL11","Łódzkie",12.96
"FR71","Rhône-Alpes",54.94
"DEB2","Trier",8.61
"BG31","Severozapaden",0
"CH01","Région lémanique",6.91
"ES24","Aragón",13.71
"DE60","Hamburg",32.41
"SK04","Východné Slovensko",26.25
"DE93","Lüneburg",46.97
"NO01","Oslo og Akershus",50.37
"FR63","Limousin",10.2
"UKM6","Highlands and Islands",17.75
"CZ07","Střední Morava",37.41
"UKE3","South Yorkshire",31.88
"SK02","Západné Slovensko",21.89
"DE22","Niederbayern",48.35
"ES41","Castilla y León",9.99
"DE50","Bremen",45.8
"FR82","Provence-Alpes-Côte d'Azur",13.5
"ITC1","Piemonte",36.88
"PL31","Lubelskie",7.76
"FR10","Île de France",30.29
"FR25","Basse-Normandie",28.06
"DE21","Oberbayern",40.6
"EL41","Voreio Aigaio",0.85
"NL32","Noord-Holland",22.42
"NL22","Gelderland",13.71
"NO04","Agder og Rogaland",38.04
"CH04","Zürich",14.03
"UKD1","Cumbria",8.08
"ITI4","Lazio",14.67
"UKG2","Shropshire and Staffordshire",36.88
"FI1D","Pohjois- ja Itä-Suomi",7.44
"ES30","Comunidad de Madrid",37.19
"RO11","Nord-Vest",29.97
"DE27","Schwaben",25.93
"AT13","Wien",17.43
"IE02","Southern and Eastern",4.99
"ITH3","Veneto",10.1
"UKD4","Lancashire",19.77
"UKI1","Inner London",2.66
"UKH2","Bedfordshire and Hertfordshire",8.61
"ES53","Illes Balears",4.57
"DEB3","Rheinhessen-Pfalz",42.3
"UKH3","Essex",9.03
"DK02","Sjælland",42.93
"DE80","Mecklenburg-Vorpommern",38.58
"AT31","Oberösterreich",38.26
"DEC0","Saarland",21.79
"FR30","Nord - Pas-de-Calais",12.65
"UKE2","North Yorkshire",17.32
"HU32","Észak-Alföld",7.76
"NL21","Overijssel",35.92
"DE14","Tübingen",22.53
"PL34","Podlaskie",2.98
"NL33","Zuid-Holland",36.77
"HU10","Közép-Magyarország",19.87
"CZ05","Severovýchod",29.76
"DEA1","Düsseldorf",24.44
"SE22","Sydsverige",7.97
"UKC2","Northumberland and Tyne and Wear",37.3
"UKF1","Derbyshire and Nottinghamshire",17.75
"UKE4","West Yorkshire",9.78
"UKG3","West Midlands",25.19
"ITI2","Umbria",24.44
"SE12","Östra Mellansverige",11.58
"PL22","Śląskie",29.76
"AT21","Kärnten",30.92
"NL12","Friesland (NL)",35.81
"BG42","Yuzhen tsentralen",6.06
"EL52","Kentriki Makedonia",17.64
"ES61","Andalucía",20.4
"RO31","Sud - Muntenia",39.11
"FR83","Corse",12.11
"DE24","Oberfranken",37.94
"PT17","Lisboa",24.34
"BG41","Yugozapaden",31.46
"EL30","Attiki",11.58
"ITF5","Basilicata",18.38
"PL62","Warmińsko-Mazurskie",12.11
"UKC1","Tees Valley and Durham",44.85
"EL54","Thessalia",23.06
"BE22","Prov. Limburg (BE)",23.06
"UKM3","South Western Scotland",28.16
"BG33","Severoiztochen",1.7
"RO41","Sud-Vest Oltenia",13.07
"NL34","Zeeland",26.04
"AT12","Niederösterreich",23.06
"PL42","Zachodniopomorskie",7.12
"FR53","Poitou-Charentes",27.84
"ES22","Comunidad Foral de Navarra",20.3
"PT30","Região Autónoma da Madeira",0.53
"LU00","Luxembourg",22.21
"UKD3","Greater Manchester",28.16
"AT33","Tirol",21.89
"BE33","Prov. Liège",18.81
"NL31","Utrecht",14.56
"CH05","Ostschweiz",7.33
"FR21","Champagne-Ardenne",21.68
"ITH2","Provincia Autonoma di Trento",18.92
"DE71","Darmstadt",33.16
"DE11","Stuttgart",48.67
"UKE1","East Yorkshire and Northern Lincolnshire",15.83
"HU33","Dél-Alföld",9.03
"DE25","Mittelfranken",36.98
"FR51","Pays de la Loire",44.74
"HR03","Jadranska Hrvatska",38.47
"ES51","Cataluña",31.67
"FR52","Bretagne",8.08
"UKF2","Leicestershire, Rutland and Northamptonshire",29.86
"DE12","Karlsruhe",37.83
"DEE0","Sachsen-Anhalt",54.09
"BE25","Prov. West-Vlaanderen",7.86
"SE31","Norra Mellansverige",14.98
"DE94","Weser-Ems",23.06
"FI1C","Etelä-Suomi",17.53
"DK03","Syddanmark",32.73
"PT15","Algarve",13.28
"UKI2","Outer London",7.44
"IS01","Höfuðborgarsvæði",17.53
"DEA2","Köln",24.12
"UKF3","Lincolnshire",12.22
"PL61","Kujawsko-Pomorskie",26.57
"PL41","Wielkopolskie",14.56
"ES13","Cantabria",22.53
"CH06","Zentralschweiz",18.6
"DK04","Midtjylland",29.33
"SI03","Zahodna Slovenija",10.2
"CZ06","Jihovýchod",24.87
"FRY3","Guyane",0
"HU23","Dél-Dunántúl",29.97
"UKH1","East Anglia",6.06
"FR26","Bourgogne",19.66
"DE23","Oberpfalz",15.3
"AT11","Burgenland (AT)",43.78
"ES23","La Rioja",37.3
"EL53","Dytiki Makedonia",0.32
"PL52","Opolskie",15.83
"NO03","Sør-Østlandet",47.72
"BE10","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest",28.69
"SE11","Stockholm",4.14
"DEF0","Schleswig-Holstein",36.34
"NO02","Hedmark og Oppland",40.7
"ITF6","Calabria",32.84
"DE26","Unterfranken",36.13
"PT16","Centro (PT)",12.54
"DE91","Braunschweig",35.71
"BE34","Prov. Luxembourg (BE)",9.99
"CZ04","Severozápad",15.09
"NL41","Noord-Brabant",3.83
"CH02","Espace Mittelland",7.97
"PT11","Norte",21.04
"EE00","Eesti",4.57
"FR72","Auvergne",8.18
"UKK3","Cornwall and Isles of Scilly",20.19
"UKN0","Northern Ireland",7.33
"BE32","Prov. Hainaut",19.34
"PT20","Região Autónoma dos Açores",11.69
"SK03","Stredné Slovensko",10.95
"RO42","Vest",7.65
"DEA3","Münster",23.8
"ITH1","Provincia Autonoma di Bolzano/Bozen",8.71
"SI04","Vzhodna Slovenija",28.16
"DK05","Nordjylland",20.83
"ES42","Castilla-La Mancha",28.16
"ES70","Canarias",24.97
"HU31","Észak-Magyarország",32.62
"ITI1","Toscana",27.1
"EL51","Anatoliki Makedonia, Thraki",23.91
"CY00","Kýpros",20.09
"FR42","Alsace",44.1
"BE35","Prov. Namur",16.15
"ITF1","Abruzzo",16.15
"EL43","Kriti",5.53
"EL65","Peloponnisos",2.55
"DEB1","Koblenz",8.4
"ITI3","Marche",8.61
"IE01","Border, Midland and Western",2.76
"SE32","Mellersta Norrland",32.52
