"id","name","value"
"NO02","Hedmark og Oppland",37.35
"ES43","Extremadura",11.3
"CZ07","Střední Morava",26.61
"FR83","Corse",11.37
"DE93","Lüneburg",26.96
"UKE2","North Yorkshire",12.34
"EL41","Voreio Aigaio",0.69
"PL21","Małopolskie",40.61
"PL42","Zachodniopomorskie",7.48
"RO21","Nord-Est",12.54
"UKG1","Herefordshire, Worcestershire and Warwickshire",37.98
"UKK2","Dorset and Somerset",11.23
"SE32","Mellersta Norrland",20.03
"FR43","Franche-Comté",29.31
"NL11","Groningen",6.86
"CH03","Nordwestschweiz",15.18
"IS01","Höfuðborgarsvæði",21.97
"ITH2","Provincia Autonoma di Trento",12.96
"DE23","Oberpfalz",23.91
"HU31","Észak-Magyarország",11.37
"SK04","Východné Slovensko",8.87
"HU23","Dél-Dunántúl",3.53
"DE60","Hamburg",31.19
"LT00","Lietuva",11.64
"EL30","Attiki",9.08
"EL62","Ionia Nisia",0.28
"ITF3","Campania",16.77
"NL33","Zuid-Holland",24.81
"SE11","Stockholm",16.98
"EL42","Notio Aigaio",1.46
"FR71","Rhône-Alpes",18.43
"AT32","Salzburg",23.35
"BE33","Prov. Liège",41.86
"BG33","Severoiztochen",12.13
"FI1D","Pohjois- ja Itä-Suomi",11.57
"CZ03","Jihozápad",22.38
"DEF0","Schleswig-Holstein",46.99
"PT20","Região Autónoma dos Açores",0.9
"RO22","Sud-Est",2.36
"IE02","Southern and Eastern",24.19
"AT13","Wien",33.89
"ITC4","Lombardia",25.02
"NL42","Limburg (NL)",30.63
"PL11","Łódzkie",31.39
"ES61","Andalucía",7.28
"PL63","Pomorskie",40.61
"ITC1","Piemonte",20.72
"BG42","Yuzhen tsentralen",11.64
"CH06","Zentralschweiz",26.61
"UKE1","East Yorkshire and Northern Lincolnshire",6.38
"FR72","Auvergne",42.41
"LU00","Luxembourg",25.09
"HU32","Észak-Alföld",9.15
"PL61","Kujawsko-Pomorskie",16.22
"DEG0","Thüringen",34.51
"ES42","Castilla-La Mancha",7.21
"UKL1","West Wales and The Valleys",39.5
"IS02","Landsbyggð",18.64
"DE80","Mecklenburg-Vorpommern",37.42
"FR62","Midi-Pyrénées",9.36
"EE00","Eesti",9.98
"FR10","Île de France",30.01
"SK03","Stredné Slovensko",13.72
"DE94","Weser-Ems",16.98
"NO03","Sør-Østlandet",39.85
"EL65","Peloponnisos",1.46
"DE50","Bremen",48.02
"ITF2","Molise",5.34
"DE12","Karlsruhe",13.58
"UKD1","Cumbria",38.25
"BE25","Prov. West-Vlaanderen",18.99
"UKE4","West Yorkshire",16.08
"DK05","Nordjylland",14.07
"PL41","Wielkopolskie",23.56
"UKH2","Bedfordshire and Hertfordshire",8.32
"FR22","Picardie",37.98
"ITH4","Friuli-Venezia Giulia",16.49
"AT11","Burgenland (AT)",26.75
"DE25","Mittelfranken",45.6
"FR51","Pays de la Loire",17.46
"BG34","Yugoiztochen",2.56
"UKD3","Greater Manchester",19.27
"UKE3","South Yorkshire",37.91
"FR26","Bourgogne",13.44
"FR23","Haute-Normandie",30.42
"SE33","Övre Norrland",11.16
"FI1C","Etelä-Suomi",9.77
"EL51","Anatoliki Makedonia, Thraki",1.32
"FI1B","Helsinki-Uusimaa",8.25
"EL63","Dytiki Ellada",3.74
"SE31","Norra Mellansverige",39.22
"ITF5","Basilicata",4.64
"UKC1","Tees Valley and Durham",16.15
"NL32","Noord-Holland",20.51
"RO12","Centru",7.69
"BE31","Prov. Brabant Wallon",14.9
"CH02","Espace Mittelland",44.28
"UKC2","Northumberland and Tyne and Wear",11.43
"ES21","País Vasco",47.33
"PL62","Warmińsko-Mazurskie",30.28
"UKL2","East Wales",7.9
"ES53","Illes Balears",6.65
"ES11","Galicia",16.49
"UKD6","Cheshire",32.64
"ES41","Castilla y León",30.84
"PL33","Świętokrzyskie",36.8
"DE26","Unterfranken",54.95
"RO11","Nord-Vest",31.32
"UKD7","Merseyside",31.05
"UKH1","East Anglia",7.97
"PL34","Podlaskie",34.16
"NO05","Vestlandet",11.57
"DE22","Niederbayern",54.26
"FR21","Champagne-Ardenne",26.68
"UKF3","Lincolnshire",45.11
"FR52","Bretagne",5.68
"UKJ4","Kent",9.84
"NO06","Trøndelag",12.89
"DED4","Chemnitz",50.38
"DE73","Kassel",50.73
"UKM5","North Eastern Scotland",4.71
"ITH3","Veneto",27.03
"PL52","Opolskie",23.22
"ITI1","Toscana",18.5
"BG31","Severozapaden",0.9
"UKK4","Devon",13.17
"CZ05","Severovýchod",21.34
"BG41","Yugozapaden",11.23
"HU21","Közép-Dunántúl",30.28
"PT17","Lisboa",10.19
"CH07","Ticino",17.33
"HU22","Nyugat-Dunántúl",7.62
"DK03","Syddanmark",17.19
"SE22","Sydsverige",8.59
"DEA1","Düsseldorf",37.42
"DE92","Hannover",21.14
"DEC0","Saarland",37.21
"AT12","Niederösterreich",25.99
"EL61","Ipeiros",4.85
"RO32","Bucureşti - Ilfov",7.9
"NL13","Drenthe",8.18
"ITF4","Puglia",20.03
"DK02","Sjælland",13.51
"FI20","Åland",0.69
"PT30","Região Autónoma da Madeira",0.55
"DE30","Berlin",38.81
"SE12","Östra Mellansverige",39.15
"CY00","Kýpros",7.48
"CH05","Ostschweiz",54.26
"DE40","Brandenburg",42.9
"UKI1","Inner London",6.93
"PL31","Lubelskie",43.87
"EL53","Dytiki Makedonia",0.28
"RO42","Vest",11.23
"UKK3","Cornwall and Isles of Scilly",5.27
"HU10","Közép-Magyarország",8.11
"PT15","Algarve",6.1
"CZ06","Jihovýchod",14.97
"FRY4","Réunion",3.95
"DEB1","Koblenz",28.9
"UKK1","Gloucestershire, Wiltshire and Bristol/Bath area",38.6
"EL64","Sterea Ellada",12.82
"BE23","Prov. Oost-Vlaanderen",30.91
"UKD4","Lancashire",47.96
"ITC3","Liguria",25.16
"PL22","Śląskie",42.48
"ES24","Aragón",12.54
"UKI2","Outer London",10.26
"PT11","Norte",21.9
"FR61","Aquitaine",36.17
"ITH5","Emilia-Romagna",21.14
"DEA5","Arnsberg",21.28
"ES52","Comunidad Valenciana",11.78
