"id","name","value"
"EL43","Kriti",6.58
"UKM6","Highlands and Islands",24.91
"ES61","Andalucía",29.18
"SE23","Västsverige",16.19
"NO04","Agder og Rogaland",43.06
"FR53","Poitou-Charentes",15.84
"NO06","Trøndelag",22.95
"NL23","Flevoland",2.85
"DEB3","Rheinhessen-Pfalz",19.57
"DEB2","Trier",9.96
"DE13","Freiburg",35.77
"NL13","Drenthe",8.9
"CZ04","Severozápad",28.11
"UKD4","Lancashire",27.05
"NL11","Groningen",6.41
"HU31","Észak-Magyarország",47.51
"UKE4","West Yorkshire",28.83
"CZ07","Střední Morava",7.65
"BE33","Prov. Liège",10.68
"FRY3","Guyane",0
"CZ05","Severovýchod",31.49
"PL32","Podkarpackie",11.92
"SE32","Mellersta Norrland",6.94
"UKG2","Shropshire and Staffordshire",30.43
"HU33","Dél-Alföld",28.29
"PL21","Małopolskie",49.29
"NL12","Friesland (NL)",22.24
"HU10","Közép-Magyarország",43.42
"ITI3","Marche",24.91
"DE23","Oberpfalz",47.15
"EL42","Notio Aigaio",0.18
"EL51","Anatoliki Makedonia, Thraki",16.73
"ES21","País Vasco",35.23
"DE12","Karlsruhe",52.67
"RO41","Sud-Vest Oltenia",6.05
"HR03","Jadranska Hrvatska",18.33
"BE23","Prov. Oost-Vlaanderen",6.94
"HU32","Észak-Alföld",18.86
"SE31","Norra Mellansverige",24.91
"ITF6","Calabria",23.49
"CZ01","Praha",40.04
"FR71","Rhône-Alpes",17.79
"ITF5","Basilicata",27.76
"FR24","Centre",11.39
"DEE0","Sachsen-Anhalt",15.12
"NL31","Utrecht",12.28
"PL61","Kujawsko-Pomorskie",15.12
"FI20","Åland",0.71
"PL51","Dolnośląskie",14.23
"DE92","Hannover",19.22
"UKM2","Eastern Scotland",30.78
"DK01","Hovedstaden",6.58
"DE21","Oberbayern",62.99
"UKK3","Cornwall and Isles of Scilly",13.88
"FRY4","Réunion",15.66
"NO05","Vestlandet",25.98
"PT16","Centro (PT)",33.45
"UKD1","Cumbria",25.44
"IS02","Landsbyggð",22.42
"NL42","Limburg (NL)",6.58
"EL61","Ipeiros",25.8
"PT11","Norte",29.18
"CH06","Zentralschweiz",51.07
"DK03","Syddanmark",23.67
"BE35","Prov. Namur",20.28
"BG41","Yugozapaden",24.56
"PT15","Algarve",21.71
"NO03","Sør-Østlandet",14.06
"UKE2","North Yorkshire",27.22
"ES43","Extremadura",1.78
"DK05","Nordjylland",9.79
"UKC2","Northumberland and Tyne and Wear",6.76
"DE91","Braunschweig",39.86
"ES70","Canarias",9.07
"CH07","Ticino",14.77
"EL41","Voreio Aigaio",1.07
"ES23","La Rioja",35.77
"DE22","Niederbayern",29.18
"DEA3","Münster",12.63
"SE11","Stockholm",24.56
"FR26","Bourgogne",12.1
"CH04","Zürich",55.34
"BG42","Yuzhen tsentralen",18.15
"ES41","Castilla y León",27.94
"CH03","Nordwestschweiz",9.61
"FR42","Alsace",24.2
"AT32","Salzburg",30.43
"UKJ3","Hampshire and Isle of Wight",36.12
"ITF2","Molise",34.16
"ES64","Ciudad Autónoma de Melilla",13.52
"LU00","Luxembourg",32.03
"MT00","Malta",32.38
"ES12","Principado de Asturias",34.52
"UKK2","Dorset and Somerset",10.14
"UKM3","South Western Scotland",27.22
"UKC1","Tees Valley and Durham",9.25
"UKN0","Northern Ireland",34.34
"ES52","Comunidad Valenciana",6.94
"CZ03","Jihozápad",13.7
"LV00","Latvija",18.68
"DEB1","Koblenz",15.12
"DE26","Unterfranken",18.15
"BG33","Severoiztochen",5.16
"UKH2","Bedfordshire and Hertfordshire",43.77
"SK03","Stredné Slovensko",13.7
"FR25","Basse-Normandie",12.46
"NL22","Gelderland",11.74
"ITH1","Provincia Autonoma di Bolzano/Bozen",27.76
"DE27","Schwaben",34.52
"HU23","Dél-Dunántúl",40.04
"PL42","Zachodniopomorskie",32.74
"CH01","Région lémanique",34.34
"UKE3","South Yorkshire",37.19
"UKD7","Merseyside",20.11
"FR81","Languedoc-Roussillon",9.96
"EL65","Peloponnisos",9.25
"NO02","Hedmark og Oppland",44.66
"BE21","Prov. Antwerpen",28.11
"AT12","Niederösterreich",38.79
"NO07","Nord-Norge",8.19
"EL54","Thessalia",3.38
"ES30","Comunidad de Madrid",36.48
"DE71","Darmstadt",22.42
"LT00","Lietuva",33.63
"RO11","Nord-Vest",33.27
"IE02","Southern and Eastern",37.19
"DE73","Kassel",18.15
"FR61","Aquitaine",14.77
"BE31","Prov. Brabant Wallon",16.9
"BE32","Prov. Hainaut",6.58
"PT20","Região Autónoma dos Açores",19.57
"FR63","Limousin",7.83
"DED5","Leipzig",44.66
"UKH3","Essex",26.87
"ITG1","Sicilia",18.86
"RO22","Sud-Est",28.29
"UKF1","Derbyshire and Nottinghamshire",8.9
"PT17","Lisboa",31.67
"CH02","Espace Mittelland",14.23
"DE40","Brandenburg",29.18
"BE22","Prov. Limburg (BE)",27.94
"HU22","Nyugat-Dunántúl",32.21
"EL63","Dytiki Ellada",7.3
"FR72","Auvergne",6.41
"BG32","Severen tsentralen",1.96
"AT13","Wien",45.37
"EL52","Kentriki Makedonia",42.17
"UKF3","Lincolnshire",42.88
"FR23","Haute-Normandie",12.46
"SE12","Östra Mellansverige",38.43
"PL11","Łódzkie",10.68
"FI1D","Pohjois- ja Itä-Suomi",35.77
"UKJ1","Berkshire, Buckinghamshire and Oxfordshire",32.38
"NL41","Noord-Brabant",20.11
"DE24","Oberfranken",31.49
"SE21","Småland med öarna",32.74
"UKM5","North Eastern Scotland",10.14
"SI04","Vzhodna Slovenija",8.9
"ITI1","Toscana",27.94
"ITF3","Campania",32.92
"ES53","Illes Balears",25.09
"EL30","Attiki",30.25
"NO01","Oslo og Akershus",36.12
"FRY2","Martinique",1.42
"UKE1","East Yorkshire and Northern Lincolnshire",5.34
"PL62","Warmińsko-Mazurskie",10.68
"DED2","Dresden",16.55
"SE22","Sydsverige",23.49
"NL21","Overijssel",13.7
"SK04","Východné Slovensko",12.28
"BE34","Prov. Luxembourg (BE)",12.46
"PL33","Świętokrzyskie",21.35
"BE25","Prov. West-Vlaanderen",12.28
"UKI2","Outer London",40.93
"AT34","Vorarlberg",14.41
"PL63","Pomorskie",25.44
"ITH5","Emilia-Romagna",25.09
"ITH3","Veneto",17.79
"FR51","Pays de la Loire",18.33
"BG31","Severozapaden",2.31
"CZ08","Moravskoslezsko",9.61
"ES42","Castilla-La Mancha",26.51
"PL43","Lubuskie",11.03
"DK02","Sjælland",8.36
"UKG3","West Midlands",33.63
"UKL2","East Wales",26.69
"UKJ4","Kent",26.16
"RO21","Nord-Est",35.94
"AT22","Steiermark",17.08
"ES62","Región de Murcia",6.23
"DEF0","Schleswig-Holstein",12.46
"EL62","Ionia Nisia",0.18
"UKD3","Greater Manchester",25.62
"HR04","Kontinentalna Hrvatska",13.35
"DE11","Stuttgart",47.69
"IS01","Höfuðborgarsvæði",25.8
"BG34","Yugoiztochen",22.24
"DED4","Chemnitz",31.85
"FI1B","Helsinki-Uusimaa",48.4
"PL12","Mazowieckie",33.1
"SI03","Zahodna Slovenija",15.12
"SK01","Bratislavský kraj",50
"FR21","Champagne-Ardenne",9.61
"DEA2","Köln",29
"FR83","Corse",5.69
"AT33","Tirol",12.81
"DEA1","Düsseldorf",16.19
"RO12","Centru",35.59
"NL33","Zuid-Holland",10.32
"FR30","Nord - Pas-de-Calais",33.45
"ITC3","Liguria",52.85
"PL52","Opolskie",8.72
"DE93","Lüneburg",14.41
"DEC0","Saarland",20.64
"UKD6","Cheshire",24.56
"FR10","Île de France",44.48
"FRY1","Guadeloupe",14.59
"UKF2","Leicestershire, Rutland and Northamptonshire",16.01
"EE00","Eesti",50.71
"SE33","Övre Norrland",35.94
"PL41","Wielkopolskie",23.67
"IE01","Border, Midland and Western",32.38
"PT30","Região Autónoma da Madeira",15.3
"DK04","Midtjylland",13.17
"CZ02","Střední Čechy",37.01
"PL34","Podlaskie",18.33
"DE94","Weser-Ems",26.33
"ES24","Aragón",11.74
"FR43","Franche-Comté",13.17
"RO32","Bucureşti - Ilfov",35.05
"DE25","Mittelfranken",55.87
"ES13","Cantabria",4.8
"AT21","Kärnten",14.59
"FR41","Lorraine",14.06
"ITC2","Valle d'Aosta/Vallée d'Aoste",8.19
"DE80","Mecklenburg-Vorpommern",10.14
"DE72","Gießen",31.85
"UKK4","Devon",18.68
"ITI2","Umbria",12.1
"UKH1","East Anglia",36.83
"CH05","Ostschweiz",19.04
"PT18","Alentejo",15.48
"RO42","Vest",39.86
"DE14","Tübingen",32.74
"DEA5","Arnsberg",30.25
"HU21","Közép-Dunántúl",21.71
"DE30","Berlin",46.09
"ES11","Galicia",11.39
"UKJ2","Surrey, East and West Sussex",41.81
"ITC4","Lombardia",14.06
"BE10","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest",31.32
"DE50","Bremen",37.54
"PL31","Lubelskie",12.81
"ITF4","Puglia",29
"ITC1","Piemonte",20.46
"EL64","Sterea Ellada",6.41
"ITF1","Abruzzo",12.81
"ES51","Cataluña",31.85
"RO31","Sud - Muntenia",45.91
"CZ06","Jihovýchod",26.33
"FR22","Picardie",8.36
"AT11","Burgenland (AT)",18.68
"FR52","Bretagne",21.71
"CY00","Kýpros",26.51
"FI1C","Etelä-Suomi",12.63
"NL32","Noord-Holland",23.49
"DE60","Hamburg",13.35
"ES22","Comunidad Foral de Navarra",25.44
"ITH2","Provincia Autonoma di Trento",43.77
"ITH4","Friuli-Venezia Giulia",10.85
"SK02","Západné Slovensko",11.74
"DEA4","Detmold",40.21
"PL22","Śląskie",33.27
"BE24","Prov. Vlaams-Brabant",26.87
"FI19","Länsi-Suomi",39.5
"UKG1","Herefordshire, Worcestershire and Warwickshire",21.17
"UKL1","West Wales and The Valleys",14.59
"UKI1","Inner London",35.05
"EL53","Dytiki Makedonia",0.18
"AT31","Oberösterreich",27.58
"ITI4","Lazio",43.59
"DEG0","Thüringen",20.82
"FR82","Provence-Alpes-Côte d'Azur",41.46
"UKK1","Gloucestershire, Wiltshire and Bristol/Bath area",37.37
"ITG2","Sardegna",8.54
"FR62","Midi-Pyrénées",16.55
