"id","name","value"
"AT13","Wien",6.42
"CZ02","Střední Čechy",6.13
"DE24","Oberfranken",12.12
"DEB3","Rheinhessen-Pfalz",10.66
"UKD1","Cumbria",8.03
"CZ06","Jihovýchod",8.32
"ITI1","Toscana",11.68
"BE35","Prov. Namur",11.24
"FR21","Champagne-Ardenne",12.55
"ES42","Castilla-La Mancha",5.26
"ITG2","Sardegna",3.65
"DEG0","Thüringen",2.92
"SE32","Mellersta Norrland",7.45
"AT33","Tirol",6.72
"NL11","Groningen",4.96
"DEC0","Saarland",10.36
"DEE0","Sachsen-Anhalt",9.78
"FI1D","Pohjois- ja Itä-Suomi",12.85
"AT11","Burgenland (AT)",5.99
"UKC2","Northumberland and Tyne and Wear",3.21
"UKE4","West Yorkshire",9.49
"DE73","Kassel",13.58
"SE23","Västsverige",5.26
"UKN0","Northern Ireland",8.76
"PT20","Região Autónoma dos Açores",0.15
"HU21","Közép-Dunántúl",2.19
"EL61","Ipeiros",0.88
"CZ03","Jihozápad",8.18
"LT00","Lietuva",7.88
"NL32","Noord-Holland",14.01
"SK04","Východné Slovensko",5.55
"DEA3","Münster",14.31
"SE33","Övre Norrland",6.72
"NL21","Overijssel",13.58
"CZ08","Moravskoslezsko",4.96
"DE22","Niederbayern",9.78
"ES53","Illes Balears",1.31
"EL54","Thessalia",4.38
"CZ04","Severozápad",1.61
"LU00","Luxembourg",8.61
"ITH2","Provincia Autonoma di Trento",5.55
"DEA2","Köln",11.68
"RO32","Bucureşti - Ilfov",2.34
"HU23","Dél-Dunántúl",1.02
"FR61","Aquitaine",10.36
"FR53","Poitou-Charentes",7.01
"AT12","Niederösterreich",9.49
"EL42","Notio Aigaio",0
"BG31","Severozapaden",0.15
"EL43","Kriti",1.02
"PL31","Lubelskie",2.63
"ITF2","Molise",0.88
"FI19","Länsi-Suomi",12.41
"NL41","Noord-Brabant",1.17
"DEF0","Schleswig-Holstein",12.12
"CH07","Ticino",7.45
"FR25","Basse-Normandie",3.36
"PL21","Małopolskie",7.01
"DE21","Oberbayern",3.5
"ITF6","Calabria",2.34
"FR26","Bourgogne",5.4
"UKG1","Herefordshire, Worcestershire and Warwickshire",8.61
"UKM6","Highlands and Islands",3.5
"EL62","Ionia Nisia",0.58
"BG34","Yugoiztochen",0.29
"UKD6","Cheshire",11.39
"FR51","Pays de la Loire",7.15
"EE00","Eesti",2.34
"UKK3","Cornwall and Isles of Scilly",1.9
"UKJ4","Kent",8.32
"FR22","Picardie",12.7
"DE93","Lüneburg",13.72
"BE25","Prov. West-Vlaanderen",11.09
"ES51","Cataluña",10.95
"ITG1","Sicilia",2.34
"ES13","Cantabria",1.02
"PL12","Mazowieckie",2.77
"AT31","Oberösterreich",16.2
"UKK4","Devon",1.61
"ES11","Galicia",3.65
"FI1C","Etelä-Suomi",11.68
"PL41","Wielkopolskie",2.63
"UKJ1","Berkshire, Buckinghamshire and Oxfordshire",4.82
"CY00","Kýpros",2.77
"SE31","Norra Mellansverige",8.18
"DED5","Leipzig",10.36
"PL51","Dolnośląskie",1.9
"FR23","Haute-Normandie",8.47
"SI04","Vzhodna Slovenija",6.42
"SE22","Sydsverige",6.13
"UKH1","East Anglia",3.21
"NO01","Oslo og Akershus",10.66
"PL42","Zachodniopomorskie",1.02
"BE31","Prov. Brabant Wallon",7.01
"PT17","Lisboa",5.55
"UKG3","West Midlands",10.66
"DK01","Hovedstaden",6.13
"EL53","Dytiki Makedonia",0.15
"ES22","Comunidad Foral de Navarra",7.01
"UKF2","Leicestershire, Rutland and Northamptonshire",7.01
"DK04","Midtjylland",2.48
"DE80","Mecklenburg-Vorpommern",14.01
"FI1B","Helsinki-Uusimaa",9.34
"CZ05","Severovýchod",7.59
"UKL2","East Wales",3.36
"ITH3","Veneto",16.79
"ITC4","Lombardia",18.54
"HU32","Észak-Alföld",3.65
"HU10","Közép-Magyarország",1.46
"LV00","Latvija",2.48
"BE24","Prov. Vlaams-Brabant",4.82
"SK02","Západné Slovensko",8.32
"NL12","Friesland (NL)",8.91
"PL61","Kujawsko-Pomorskie",3.36
"PL52","Opolskie",3.07
"DE60","Hamburg",5.99
"UKE3","South Yorkshire",8.61
"RO12","Centru",0.29
"ES21","País Vasco",6.42
"NO02","Hedmark og Oppland",1.31
"ES62","Región de Murcia",4.53
"NO05","Vestlandet",5.55
"DEB1","Koblenz",11.09
"DE23","Oberpfalz",10.8
"ES43","Extremadura",4.38
"NO03","Sør-Østlandet",7.88
"ITF5","Basilicata",3.8
"ES61","Andalucía",7.45
"FRY2","Martinique",0.15
"EL64","Sterea Ellada",1.46
"UKM3","South Western Scotland",7.45
"EL51","Anatoliki Makedonia, Thraki",0.15
"UKF1","Derbyshire and Nottinghamshire",3.36
"ITI3","Marche",11.68
"NL31","Utrecht",7.3
"FR24","Centre",9.64
"DE71","Darmstadt",5.84
"HU33","Dél-Alföld",1.02
"FR41","Lorraine",12.26
"BE33","Prov. Liège",11.39
"PL62","Warmińsko-Mazurskie",4.67
"DEA5","Arnsberg",10.8
"UKK1","Gloucestershire, Wiltshire and Bristol/Bath area",4.96
"ITH1","Provincia Autonoma di Bolzano/Bozen",14.6
"DE13","Freiburg",3.36
"FRY4","Réunion",2.04
"BG41","Yugozapaden",1.61
"DE26","Unterfranken",10.22
"ITC2","Valle d'Aosta/Vallée d'Aoste",1.61
"UKJ3","Hampshire and Isle of Wight",7.45
"UKL1","West Wales and The Valleys",9.34
"DE72","Gießen",13.28
"DE11","Stuttgart",5.55
"BG32","Severen tsentralen",3.94
"FR30","Nord - Pas-de-Calais",12.55
"EL41","Voreio Aigaio",0.15
"CH05","Ostschweiz",11.09
"DE92","Hannover",5.84
"AT21","Kärnten",7.59
"AT32","Salzburg",9.64
"FR42","Alsace",4.82
"BE21","Prov. Antwerpen",7.01
"ES52","Comunidad Valenciana",9.78
"UKK2","Dorset and Somerset",7.88
"FR43","Franche-Comté",10.07
"MT00","Malta",4.82
"FRY3","Guyane",0
"SE11","Stockholm",3.07
"HR04","Kontinentalna Hrvatska",4.96
"AT34","Vorarlberg",6.42
"UKH2","Bedfordshire and Hertfordshire",2.48
"DE40","Brandenburg",8.61
"FR62","Midi-Pyrénées",7.45
"RO42","Vest",0.44
"DE14","Tübingen",10.36
"FR81","Languedoc-Roussillon",5.84
"NL42","Limburg (NL)",13.14
"RO21","Nord-Est",1.9
"CZ01","Praha",8.47
"ES70","Canarias",1.61
"CH04","Zürich",6.86
"FR83","Corse",4.23
"DE12","Karlsruhe",4.09
"IS01","Höfuðborgarsvæði",8.76
