"id","name","value"
"PL63","Pomorskie",13.29
"IE02","Southern and Eastern",10.84
"ITF6","Calabria",28.67
"PL62","Warmińsko-Mazurskie",24.13
"BE24","Prov. Vlaams-Brabant",30.42
"UKD7","Merseyside",9.44
"FR82","Provence-Alpes-Côte d'Azur",31.82
"ITC1","Piemonte",24.48
"DE93","Lüneburg",25.52
"ES21","País Vasco",44.06
"DE72","Gießen",30.07
"FR83","Corse",0.35
"SE11","Stockholm",30.77
"FR26","Bourgogne",16.78
"SK01","Bratislavský kraj",29.37
"CH01","Région lémanique",14.69
"UKG1","Herefordshire, Worcestershire and Warwickshire",26.57
"NL13","Drenthe",16.78
"SE23","Västsverige",17.83
"UKJ3","Hampshire and Isle of Wight",9.79
"BG32","Severen tsentralen",8.74
"ES42","Castilla-La Mancha",25.52
"ES13","Cantabria",53.85
"BE25","Prov. West-Vlaanderen",9.44
"PT17","Lisboa",25.52
"NL21","Overijssel",47.55
"UKK3","Cornwall and Isles of Scilly",13.64
"PT16","Centro (PT)",27.27
"DE71","Darmstadt",58.04
"BG31","Severozapaden",0
"ITF4","Puglia",36.36
"PT30","Região Autónoma da Madeira",0
"ES22","Comunidad Foral de Navarra",17.48
"ITH4","Friuli-Venezia Giulia",65.38
"ES24","Aragón",16.08
"CZ03","Jihozápad",25.87
"RO31","Sud - Muntenia",8.74
"DEC0","Saarland",43.01
"RO21","Nord-Est",3.5
"IS01","Höfuðborgarsvæði",25.87
"BE22","Prov. Limburg (BE)",58.74
"NO05","Vestlandet",53.5
"AT32","Salzburg",57.34
"CH03","Nordwestschweiz",17.83
"EL54","Thessalia",18.18
"ITI1","Toscana",58.04
"NL23","Flevoland",15.73
"AT33","Tirol",23.08
"UKK2","Dorset and Somerset",7.69
"DE73","Kassel",32.52
"HU21","Közép-Dunántúl",8.74
"NO02","Hedmark og Oppland",9.09
"ES70","Canarias",22.73
"DEA1","Düsseldorf",72.38
"DK05","Nordjylland",11.89
"IE01","Border, Midland and Western",2.1
"NL11","Groningen",15.03
"EL63","Dytiki Ellada",19.93
"PL51","Dolnośląskie",22.73
"FR21","Champagne-Ardenne",28.67
"NO06","Trøndelag",53.85
"AT13","Wien",47.55
"PT20","Região Autónoma dos Açores",0.35
"PT11","Norte",29.72
"AT34","Vorarlberg",38.11
"UKE1","East Yorkshire and Northern Lincolnshire",25.17
"HU22","Nyugat-Dunántúl",12.59
"BG34","Yugoiztochen",0.35
"UKF3","Lincolnshire",11.54
"UKJ2","Surrey, East and West Sussex",17.83
"DE23","Oberpfalz",16.43
"PL43","Lubuskie",23.78
"FR30","Nord - Pas-de-Calais",49.65
"DE25","Mittelfranken",11.54
"DEA4","Detmold",14.69
"NL34","Zeeland",30.07
"RO42","Vest",4.2
"DEB3","Rheinhessen-Pfalz",41.26
"DEA2","Köln",43.36
"SE33","Övre Norrland",26.22
"DE50","Bremen",23.78
"ITI3","Marche",16.78
