"id","name","value"
"HU32","Észak-Alföld",20.87
"PL33","Świętokrzyskie",17.48
"DE25","Mittelfranken",0
"ITG1","Sicilia",4.85
"PL42","Zachodniopomorskie",14.56
"ES11","Galicia",21.36
"BG42","Yuzhen tsentralen",51.46
"DE73","Kassel",4.37
"CH06","Zentralschweiz",0.97
"CH04","Zürich",13.11
"PL31","Lubelskie",6.8
"SI04","Vzhodna Slovenija",26.7
"FR81","Languedoc-Roussillon",90.29
"AT31","Oberösterreich",4.37
"ITI3","Marche",24.27
"ES43","Extremadura",7.77
"DEB3","Rheinhessen-Pfalz",33.01
"EL51","Anatoliki Makedonia, Thraki",6.31
"UKJ1","Berkshire, Buckinghamshire and Oxfordshire",87.86
"DED4","Chemnitz",1.46
"FR41","Lorraine",14.56
"FR22","Picardie",6.8
"NL33","Zuid-Holland",90.78
"FR30","Nord - Pas-de-Calais",14.08
"DEA5","Arnsberg",6.31
"AT12","Niederösterreich",21.36
"UKL2","East Wales",22.82
"DE60","Hamburg",2.43
"EL54","Thessalia",12.14
"DK02","Sjælland",34.47
"ES64","Ciudad Autónoma de Melilla",0
"DED5","Leipzig",29.61
"DEG0","Thüringen",13.59
"CH02","Espace Mittelland",62.62
"DE80","Mecklenburg-Vorpommern",85.44
"RO31","Sud - Muntenia",3.88
"RO42","Vest",0
"UKM3","South Western Scotland",84.95
"HU23","Dél-Dunántúl",12.62
"DE23","Oberpfalz",6.31
"ES30","Comunidad de Madrid",67.96
"RO12","Centru",2.43
"ES23","La Rioja",3.4
"DEA4","Detmold",7.28
"DEC0","Saarland",15.53
"PL43","Lubuskie",7.77
"CZ04","Severozápad",6.8
"DEA3","Münster",47.09
"SE33","Övre Norrland",26.21
"PT30","Região Autónoma da Madeira",10.68
"ITF4","Puglia",28.64
"UKK1","Gloucestershire, Wiltshire and Bristol/Bath area",2.43
"AT22","Steiermark",6.8
"DE21","Oberbayern",5.34
"BE21","Prov. Antwerpen",83.98
"ITF5","Basilicata",17.48
"CH05","Ostschweiz",1.94
"DE12","Karlsruhe",9.22
"BE23","Prov. Oost-Vlaanderen",92.72
"HU21","Közép-Dunántúl",27.67
"FR82","Provence-Alpes-Côte d'Azur",91.75
"NO07","Nord-Norge",26.7
"UKG2","Shropshire and Staffordshire",4.37
"LU00","Luxembourg",28.16
"ES70","Canarias",17.96
"ITI2","Umbria",14.08
"FR83","Corse",0.97
"FR71","Rhône-Alpes",22.33
"IS02","Landsbyggð",3.4
"UKM5","North Eastern Scotland",12.62
"EL63","Dytiki Ellada",16.99
"AT13","Wien",90.29
"DED2","Dresden",14.08
"ITH4","Friuli-Venezia Giulia",74.76
"FI19","Länsi-Suomi",1.94
"ES62","Región de Murcia",75.24
"ES51","Cataluña",27.67
"ES24","Aragón",46.12
"ES41","Castilla y León",28.16
"DE14","Tübingen",30.58
"FI20","Åland",1.94
"EL53","Dytiki Makedonia",1.94
"NL11","Groningen",28.64
"NL12","Friesland (NL)",19.42
"PT16","Centro (PT)",67.96
"UKE4","West Yorkshire",23.79
"PL52","Opolskie",12.62
"NL22","Gelderland",89.32
"DE13","Freiburg",1.46
"PL63","Pomorskie",25.24
"FR24","Centre",68.45
"PL11","Łódzkie",24.76
"BE33","Prov. Liège",61.17
"FR26","Bourgogne",16.5
"SI03","Zahodna Slovenija",10.68
"UKI1","Inner London",86.41
"BE22","Prov. Limburg (BE)",4.37
"PL34","Podlaskie",25.73
"EL62","Ionia Nisia",2.91
"NL34","Zeeland",13.11
"NL21","Overijssel",7.28
"DEE0","Sachsen-Anhalt",88.83
"DK04","Midtjylland",76.21
"UKG3","West Midlands",57.77
"UKH3","Essex",87.86
"PL51","Dolnośląskie",54.37
"DE30","Berlin",84.95
"DE94","Weser-Ems",28.16
"ITF6","Calabria",16.02
"FI1D","Pohjois- ja Itä-Suomi",3.88
"AT33","Tirol",26.7
"RO21","Nord-Est",0.97
"ITC1","Piemonte",18.93
"ES53","Illes Balears",29.61
"NO02","Hedmark og Oppland",15.05
"AT21","Kärnten",5.34
"LV00","Latvija",11.17
"EL52","Kentriki Makedonia",7.77
"UKH1","East Anglia",89.81
"UKK2","Dorset and Somerset",4.85
"UKI2","Outer London",23.79
"BE24","Prov. Vlaams-Brabant",48.54
"RO22","Sud-Est",0
"PL22","Śląskie",56.8
"UKF1","Derbyshire and Nottinghamshire",0.97
"CH03","Nordwestschweiz",14.56
"BG32","Severen tsentralen",0.49
"UKL1","West Wales and The Valleys",5.83
"ES52","Comunidad Valenciana",82.04
"ITH2","Provincia Autonoma di Trento",26.7
"DE92","Hannover",63.11
"SK03","Stredné Slovensko",22.82
"BG31","Severozapaden",0.97
"SK02","Západné Slovensko",13.59
"UKD6","Cheshire",44.17
"ITG2","Sardegna",19.9
"UKD7","Merseyside",6.31
"CZ07","Střední Morava",87.38
"UKC1","Tees Valley and Durham",10.68
"ES21","País Vasco",15.05
"FRY4","Réunion",25.24
"PL41","Wielkopolskie",16.02
"ITI1","Toscana",69.42
"DEA2","Köln",13.59
"BE35","Prov. Namur",81.55
"DE93","Lüneburg",10.19
"UKJ2","Surrey, East and West Sussex",0
"FR43","Franche-Comté",44.17
"FR25","Basse-Normandie",57.28
"DE24","Oberfranken",0
"FI1C","Etelä-Suomi",16.02
"FR62","Midi-Pyrénées",88.35
"DE72","Gießen",43.69
"UKE1","East Yorkshire and Northern Lincolnshire",1.94
"UKH2","Bedfordshire and Hertfordshire",28.16
"FR10","Île de France",24.76
"ITC4","Lombardia",2.91
"CZ01","Praha",15.05
"EE00","Eesti",12.62
"CY00","Kýpros",22.33
"AT32","Salzburg",3.88
"FRY1","Guadeloupe",7.77
"SE21","Småland med öarna",6.31
"UKK4","Devon",32.04
"ITH5","Emilia-Romagna",47.09
"SE22","Sydsverige",7.77
"NO04","Agder og Rogaland",7.28
"CZ02","Střední Čechy",11.65
"RO32","Bucureşti - Ilfov",6.31
"PL61","Kujawsko-Pomorskie",53.88
"SE12","Östra Mellansverige",3.4
