"id","name","value"
"DK03","Syddanmark",8.49
"ES62","Región de Murcia",5.39
"UKE1","East Yorkshire and Northern Lincolnshire",14.68
"DEB1","Koblenz",8.13
"DE12","Karlsruhe",57.38
"DE23","Oberpfalz",20.25
"EL43","Kriti",20.42
"UKM2","Eastern Scotland",33.86
"AT34","Vorarlberg",7.87
"SE22","Sydsverige",32.54
"EL51","Anatoliki Makedonia, Thraki",10.7
"BG42","Yuzhen tsentralen",13.62
"UKJ1","Berkshire, Buckinghamshire and Oxfordshire",64.1
"AT32","Salzburg",10.52
"DED4","Chemnitz",11.58
"RO41","Sud-Vest Oltenia",4.6
"BG33","Severoiztochen",10.43
"ITF3","Campania",27.85
"CH05","Ostschweiz",12.73
"ITF2","Molise",43.59
"DE71","Darmstadt",19.36
"EL42","Notio Aigaio",0.44
"FR63","Limousin",10.52
"RO21","Nord-Est",53.4
"PL12","Mazowieckie",35.54
"SE32","Mellersta Norrland",5.13
"EL53","Dytiki Makedonia",0
"CZ06","Jihovýchod",15.74
"DE93","Lüneburg",7.52
"RO11","Nord-Vest",56.23
"FR83","Corse",8.31
"ITC3","Liguria",62.51
"DEA5","Arnsberg",12.11
"UKC2","Northumberland and Tyne and Wear",7.34
"FR82","Provence-Alpes-Côte d'Azur",62.6
"LU00","Luxembourg",39.88
"PL32","Podkarpackie",8.49
"ES70","Canarias",14.68
"HU22","Nyugat-Dunántúl",30.59
"UKK2","Dorset and Somerset",9.46
"PL22","Śląskie",38.46
"EL61","Ipeiros",48.54
"NO05","Vestlandet",13
"NL21","Overijssel",6.45
"FI1C","Etelä-Suomi",8.75
"FRY1","Guadeloupe",4.86
"DEG0","Thüringen",32.36
"ITF6","Calabria",21.66
"PT16","Centro (PT)",50.57
"SI03","Zahodna Slovenija",12.56
"HU31","Észak-Magyarország",57.47
"CH02","Espace Mittelland",9.11
"UKM6","Highlands and Islands",18.83
"CH03","Nordwestschweiz",14.32
"UKD6","Cheshire",16.71
"FR61","Aquitaine",18.66
"SK04","Východné Slovensko",13.35
"AT22","Steiermark",16.27
"ES43","Extremadura",3.09
"PT17","Lisboa",59.24
"DE91","Braunschweig",63.22
"ES42","Castilla-La Mancha",17.24
"ITH4","Friuli-Venezia Giulia",6.72
"PL43","Lubuskie",12.64
"NL23","Flevoland",1.5
"ES12","Principado de Asturias",10.61
"DE40","Brandenburg",35.01
"EL30","Attiki",20.69
"DK05","Nordjylland",9.55
"ES13","Cantabria",4.86
"FR53","Poitou-Charentes",14.68
"DE22","Niederbayern",18.48
"FR42","Alsace",11.32
"DE13","Freiburg",19.45
"NO02","Hedmark og Oppland",47.75
"DE24","Oberfranken",53.14
"UKE2","North Yorkshire",35.46
"PL42","Zachodniopomorskie",32.63
"UKH2","Bedfordshire and Hertfordshire",53.58
"UKJ3","Hampshire and Isle of Wight",38.82
"NO07","Nord-Norge",4.77
"SE21","Småland med öarna",15.65
"ES11","Galicia",5.04
"DE26","Unterfranken",9.46
"ITI1","Toscana",17.77
"ES51","Cataluña",25.2
"DE94","Weser-Ems",7.69
"BE34","Prov. Luxembourg (BE)",7.96
"CZ07","Střední Morava",5.48
"DE60","Hamburg",6.63
"ES21","País Vasco",50.93
"FRY3","Guyane",0
"DEF0","Schleswig-Holstein",9.46
"UKL1","West Wales and The Valleys",15.56
"AT13","Wien",47.92
"DEA1","Düsseldorf",6.63
