"id","name","value"
"UKG2","Shropshire and Staffordshire",15.04
"BE32","Prov. Hainaut",6.08
"NO06","Trøndelag",12.15
"PL41","Wielkopolskie",10.66
"UKD7","Merseyside",7.87
"UKD4","Lancashire",60.36
"HU23","Dél-Dunántúl",13.84
"SE31","Norra Mellansverige",18.13
"ES43","Extremadura",5.38
"HU31","Észak-Magyarország",64.54
"FI1C","Etelä-Suomi",13.45
"UKJ2","Surrey, East and West Sussex",9.76
"BE10","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest",7.37
"SK01","Bratislavský kraj",57.27
"SE23","Västsverige",11.75
"CH06","Zentralschweiz",67.23
"NO05","Vestlandet",62.85
"UKK3","Cornwall and Isles of Scilly",9.56
"EL62","Ionia Nisia",0.6
"IS01","Höfuðborgarsvæði",55.78
"BE23","Prov. Oost-Vlaanderen",5.78
"UKC2","Northumberland and Tyne and Wear",7.37
"DEB3","Rheinhessen-Pfalz",13.45
"RO31","Sud - Muntenia",17.63
"SI03","Zahodna Slovenija",15.34
"FRY4","Réunion",51.29
"SE21","Småland med öarna",62.75
"DE80","Mecklenburg-Vorpommern",12.85
"CH01","Région lémanique",11.25
"BE35","Prov. Namur",9.16
"UKN0","Northern Ireland",19.02
"SK03","Stredné Slovensko",8.07
"ITH4","Friuli-Venezia Giulia",16.63
"SE11","Stockholm",8.27
"ITC3","Liguria",64.24
"EL63","Dytiki Ellada",1.49
"HR04","Kontinentalna Hrvatska",10.36
"SK04","Východné Slovensko",54.68
"NL13","Drenthe",13.45
"DE11","Stuttgart",75.9
"FI1D","Pohjois- ja Itä-Suomi",16.93
"ITH1","Provincia Autonoma di Bolzano/Bozen",26.1
"DEG0","Thüringen",60.76
"FR72","Auvergne",49
"ITI4","Lazio",17.73
"ES23","La Rioja",11.55
"PL21","Małopolskie",23.71
"DE72","Gießen",64.94
"UKI1","Inner London",8.96
"AT31","Oberösterreich",67.33
"NL33","Zuid-Holland",9.96
"DK01","Hovedstaden",4.88
"EL51","Anatoliki Makedonia, Thraki",42.33
"UKD1","Cumbria",50.4
"UKK4","Devon",55.68
"ES22","Comunidad Foral de Navarra",12.95
"UKL1","West Wales and The Valleys",14.14
"UKF2","Leicestershire, Rutland and Northamptonshire",14.04
"FR43","Franche-Comté",55.68
"DE14","Tübingen",76.2
"PL63","Pomorskie",50.3
"PL51","Dolnośląskie",11.75
"HU32","Észak-Alföld",48.41
"LT00","Lietuva",13.35
"PL34","Podlaskie",5.38
"ITC4","Lombardia",20.52
"NO01","Oslo og Akershus",60.16
"BG33","Severoiztochen",5.48
"NL21","Overijssel",50.2
"CH03","Nordwestschweiz",11.06
"FR24","Centre",55.38
"HU10","Közép-Magyarország",62.75
"PT15","Algarve",6.57
"ITF6","Calabria",10.06
"PT11","Norte",10.86
"AT21","Kärnten",12.25
"UKH1","East Anglia",49.6
"PT16","Centro (PT)",11.95
"HU21","Közép-Dunántúl",9.56
"DE92","Hannover",15.74
"FR81","Languedoc-Roussillon",51.69
"DEB1","Koblenz",61.95
"AT11","Burgenland (AT)",18.53
"ITI3","Marche",65.94
"CZ02","Střední Čechy",18.23
"UKM2","Eastern Scotland",14.04
"SE33","Övre Norrland",17.03
"FR63","Limousin",6.77
"ES51","Cataluña",55.18
"BE34","Prov. Luxembourg (BE)",4.88
"FI1B","Helsinki-Uusimaa",17.93
"NO04","Agder og Rogaland",67.53
"ITF2","Molise",56.77
"AT32","Salzburg",25.7
"EL61","Ipeiros",4.78
"ITF3","Campania",11.65
"NO02","Hedmark og Oppland",56.47
"FRY2","Martinique",2.09
"FR25","Basse-Normandie",9.76
"FR30","Nord - Pas-de-Calais",14.24
"PL52","Opolskie",7.57
"UKM3","South Western Scotland",10.36
"ES24","Aragón",11.06
"FR83","Corse",43.73
"DE22","Niederbayern",66.93
"HU33","Dél-Alföld",55.58
"MT00","Malta",8.57
"DK04","Midtjylland",52.39
"AT22","Steiermark",21.12
"BE21","Prov. Antwerpen",11.06
"DE73","Kassel",56.57
"UKH2","Bedfordshire and Hertfordshire",21.51
"DK05","Nordjylland",12.65
"FR23","Haute-Normandie",13.25
"CZ01","Praha",13.94
"NO03","Sør-Østlandet",52.19
"ES41","Castilla y León",14.44
"RO22","Sud-Est",3.88
"IS02","Landsbyggð",48.41
"FR42","Alsace",19.92
"DK03","Syddanmark",65.34
"SI04","Vzhodna Slovenija",11.85
"DE21","Oberbayern",68.33
"ITH2","Provincia Autonoma di Trento",61.16
"BG42","Yuzhen tsentralen",3.78
