"id";"name";"value"
"BE34";"Prov. Luxembourg (BE)";9,6367
"CH04";"Zürich";21,8433
"UKM5";"North Eastern Scotland";6,031
"DEF0";"Schleswig-Holstein";42,9947
"DK01";"Hovedstaden";24,9787
"PT16";"Centro (PT)";8,5423
"UKF3";"Lincolnshire";10,1987
"FR63";"Limousin";8,149
"IE01";"Border, Midland and Western";4,254
"ITF3";"Campania";12,6847
"UKH3";"Essex";8,2063
"LT00";"Lietuva";21,1853
"NL13";"Drenthe";19,1223
"AT22";"Steiermark";54,7243
"ES62";"Región de Murcia";18,9757
"HU23";"Dél-Dunántúl";24,592
"NL32";"Noord-Holland";26,2387
"UKL2";"East Wales";4,8623
"SK02";"Západné Slovensko";25,9627
"UKK2";"Dorset and Somerset";6,6173
"ITI2";"Umbria";13,164
"CH03";"Nordwestschweiz";12,349
"FR25";"Basse-Normandie";18,943
"PL22";"Śląskie";21,8857
"PT18";"Alentejo";7,5467
"UKF1";"Derbyshire and Nottinghamshire";17,0883
"EL42";"Notio Aigaio";0,03
"UKE3";"South Yorkshire";29,4413
"FR10";"Île de France";33,5267
"ES52";"Comunidad Valenciana";25,2443
"UKL1";"West Wales and The Valleys";14,515
"UKM2";"Eastern Scotland";25,6423
"DK04";"Midtjylland";28,5457
"PT20";"Região Autónoma dos Açores";3,9433
"DE13";"Freiburg";9,2053
"SE22";"Sydsverige";7,218
"NL21";"Overijssel";20,7573
"UKE1";"East Yorkshire and Northern Lincolnshire";12,6277
"PT30";"Região Autónoma da Madeira";0,3433
"AT34";"Vorarlberg";6,3903
"DE27";"Schwaben";27,6213
"SE33";"Övre Norrland";5,3327
"UKC1";"Tees Valley and Durham";45,7347
"NL31";"Utrecht";22,963
"DE23";"Oberpfalz";25,2473
"IS02";"Landsbyggð";9,2607
"CZ07";"Střední Morava";29,427
"NL12";"Friesland (NL)";40,3877
"AT21";"Kärnten";45,2547
"UKI2";"Outer London";6,6457
"ITC3";"Liguria";22,8067
"ES41";"Castilla y León";6,947
"UKI1";"Inner London";2,5433
"ES42";"Castilla-La Mancha";15,3837
"DEG0";"Thüringen";37,3787
"ES13";"Cantabria";12,4
"DK03";"Syddanmark";31,3607
"AT11";"Burgenland (AT)";37,5267
"PT11";"Norte";29,2387
