"id","name","value"
"FR26","Bourgogne",30.2624
"UKM2","Eastern Scotland",9.0414
"FRY4","Réunion",7.5114
"ES61","Andalucía",13.8408
"RO32","Bucureşti - Ilfov",10.3122
"HR03","Jadranska Hrvatska",5.8843
"UKG2","Shropshire and Staffordshire",24.6538
"HU10","Közép-Magyarország",7.9222
"DEG0","Thüringen",19.0044
"PL22","Śląskie",29.6755
"FI20","Åland",2.3304
"BG32","Severen tsentralen",7.4286
"PT18","Alentejo",9.4052
"EL53","Dytiki Makedonia",2.2193
"UKF1","Derbyshire and Nottinghamshire",10.3402
"FR10","Île de France",18.4589
"UKK3","Cornwall and Isles of Scilly",19.3677
"UKE1","East Yorkshire and Northern Lincolnshire",12.5647
"HU21","Közép-Dunántúl",7.2152
"PL51","Dolnośląskie",19.8457
"PL52","Opolskie",8.866
"CH06","Zentralschweiz",32.6274
"DE12","Karlsruhe",11.7666
"UKI2","Outer London",14.5623
"DEA4","Detmold",30.2432
"FR81","Languedoc-Roussillon",15.3926
"DE13","Freiburg",19.965
"ITG1","Sicilia",8.854
"FR53","Poitou-Charentes",19.9343
"FRY1","Guadeloupe",1.4076
"CH05","Ostschweiz",24.3794
"DK04","Midtjylland",6.9907
"UKK4","Devon",25.0471
"DE24","Oberfranken",17.799
"NL41","Noord-Brabant",5.9557
"NL32","Noord-Holland",29.5522
"SE31","Norra Mellansverige",28.5885
"BG34","Yugoiztochen",2.099
"AT32","Salzburg",24.7687
"RO22","Sud-Est",7.1178
"BG42","Yuzhen tsentralen",9.1101
"NL22","Gelderland",29.5089
"EE00","Eesti",13.8292
"RO41","Sud-Vest Oltenia",0.7559
"AT13","Wien",12.7034
"NL13","Drenthe",17.5232
"UKH3","Essex",14.7823
"RO42","Vest",6.0626
"ITI3","Marche",29.159
"UKG1","Herefordshire, Worcestershire and Warwickshire",23.0854
"BG41","Yugozapaden",15.5276
"CH02","Espace Mittelland",19.1663
"PL41","Wielkopolskie",18.2577
"HU22","Nyugat-Dunántúl",8.5472
"BG31","Severozapaden",0.4136
"DK03","Syddanmark",14.2503
"BE35","Prov. Namur",23.9094
"DE27","Schwaben",26.959
"DE11","Stuttgart",18.8834
"SK02","Západné Slovensko",24.3595
"FR42","Alsace",32.8137
"EL43","Kriti",10.0414
"ES42","Castilla-La Mancha",17.2427
"SI04","Vzhodna Slovenija",16.4396
"UKJ1","Berkshire, Buckinghamshire and Oxfordshire",14.4591
"NO01","Oslo og Akershus",16.7957
"AT21","Kärnten",19.8471
"DE72","Gießen",21.4479
"PT30","Região Autónoma da Madeira",0.4019
"ITC3","Liguria",16.4674
"DEA3","Münster",33.524
"ITH4","Friuli-Venezia Giulia",27.3615
"PT15","Algarve",9.6295
"UKH2","Bedfordshire and Hertfordshire",11.5198
"SE12","Östra Mellansverige",12.2465
"PT20","Região Autónoma dos Açores",0.6804
"RO31","Sud - Muntenia",9.3946
"FR82","Provence-Alpes-Côte d'Azur",15.1383
"ES70","Canarias",13.1733
"ES30","Comunidad de Madrid",17.4255
"SK04","Východné Slovensko",9.159
"NL42","Limburg (NL)",42.4265
"CZ02","Střední Čechy",23.5533
"FR72","Auvergne",18.5517
"BE32","Prov. Hainaut",29.6547
"FR51","Pays de la Loire",23.3652
"ES52","Comunidad Valenciana",33.1205
"ES24","Aragón",17.4668
"HU32","Észak-Alföld",15.3737
"BE25","Prov. West-Vlaanderen",32.0516
"DE91","Braunschweig",11.6297
"UKJ2","Surrey, East and West Sussex",11.0363
"FR43","Franche-Comté",22.0054
"NO04","Agder og Rogaland",14.9593
"PL34","Podlaskie",7.4125
"ITC4","Lombardia",34.7277
"ES43","Extremadura",6.6641
"ITH1","Provincia Autonoma di Bolzano/Bozen",22.5637
"IS01","Höfuðborgarsvæði",7.4463
"CZ08","Moravskoslezsko",11.7889
"UKE4","West Yorkshire",24.7072
"HU23","Dél-Dunántúl",3.289
"NL21","Overijssel",36.1839
"ITF3","Campania",24.8644
"FR63","Limousin",13.438
"DK01","Hovedstaden",9.5055
"DE73","Kassel",28.4259
"DE30","Berlin",12.2215
"EL61","Ipeiros",3.1407
"FR52","Bretagne",7.5061
"FRY2","Martinique",0.8381
"DEB2","Trier",27.5031
"UKD3","Greater Manchester",27.7231
"DEE0","Sachsen-Anhalt",21.8846
