"id";"name";"value"
"HU21";"Közép-Dunántúl";12,652
"CZ02";"Střední Čechy";14,558
"DE80";"Mecklenburg-Vorpommern";63,256
"PT15";"Algarve";4,65
"FI1C";"Etelä-Suomi";18,34
"UKE1";"East Yorkshire and Northern Lincolnshire";1,942
"FI20";"Åland";1,676
"SK04";"Východné Slovensko";15,84
"PL32";"Podkarpackie";19,052
"ES22";"Comunidad Foral de Navarra";67,122
"ITC1";"Piemonte";16,188
"ES30";"Comunidad de Madrid";62,726
"UKK2";"Dorset and Somerset";12,91
"LV00";"Latvija";56,988
"FR51";"Pays de la Loire";56,92
"AT11";"Burgenland (AT)";22,398
"DE26";"Unterfranken";37,274
"ITI3";"Marche";14,556
"BG41";"Yugozapaden";21,244
"DED5";"Leipzig";27,82
"FRY2";"Martinique";0,768
"DED4";"Chemnitz";32,474
"FR72";"Auvergne";9,136
"SE23";"Västsverige";10,624
"UKM3";"South Western Scotland";68,698
"NL12";"Friesland (NL)";19,194
"FR63";"Limousin";16,466
"BE33";"Prov. Liège";10,566
"ITF1";"Abruzzo";18,792
"ITG2";"Sardegna";30,602
"DE72";"Gießen";20,352
"EL63";"Dytiki Ellada";50,446
"DK01";"Hovedstaden";49,364
"DK03";"Syddanmark";72,76
"SE21";"Småland med öarna";15,974
"EL54";"Thessalia";12,282
"ES61";"Andalucía";12,44
"ITH2";"Provincia Autonoma di Trento";26,562
"ES13";"Cantabria";54,72
"UKH2";"Bedfordshire and Hertfordshire";7,4
"MT00";"Malta";7,72
"UKG1";"Herefordshire, Worcestershire and Warwickshire";24,094
"EL62";"Ionia Nisia";0
"ITF3";"Campania";37,83
"PL42";"Zachodniopomorskie";12,42
"PT18";"Alentejo";2,902
"SE12";"Östra Mellansverige";17,514
"CZ04";"Severozápad";16,134
"ES52";"Comunidad Valenciana";11,512
"SK01";"Bratislavský kraj";12,56
"ITH1";"Provincia Autonoma di Bolzano/Bozen";16,994
"RO31";"Sud - Muntenia";58,67
"NO04";"Agder og Rogaland";63,986
"PL21";"Małopolskie";19,668
"DE30";"Berlin";34,732
"SE32";"Mellersta Norrland";18,934
"DE50";"Bremen";71,302
"ES70";"Canarias";6,524
"DEA1";"Düsseldorf";14,66
"CZ08";"Moravskoslezsko";10,622
"FR25";"Basse-Normandie";6,718
"DK05";"Nordjylland";62,434
"BE23";"Prov. Oost-Vlaanderen";51,23
"RO42";"Vest";13,086
"NO07";"Nord-Norge";8,152
"DEE0";"Sachsen-Anhalt";66,092
"DEA5";"Arnsberg";25,62
"FRY3";"Guyane";0
"PL22";"Śląskie";16,818
"PT30";"Região Autónoma da Madeira";0,44
"ES23";"La Rioja";17,586
"ITC3";"Liguria";38,742
"ITF5";"Basilicata";12,794
"ITI1";"Toscana";20,738
"ITH5";"Emilia-Romagna";11,758
"EL41";"Voreio Aigaio";1,188
"AT22";"Steiermark";23,204
"ES51";"Cataluña";48,172
"SK03";"Stredné Slovensko";29,344
"DE27";"Schwaben";23,9
