"id";"name";"value"
"UKF3";"Lincolnshire";25,867
"ITC1";"Piemonte";32,0816
"FR42";"Alsace";27,4746
"UKE2";"North Yorkshire";18,9595
"PT17";"Lisboa";13,9079
"NO04";"Agder og Rogaland";23,5979
"RO31";"Sud - Muntenia";18,1593
"FR25";"Basse-Normandie";15,3731
"SK03";"Stredné Slovensko";19,9135
"ES22";"Comunidad Foral de Navarra";18,575
"UKJ3";"Hampshire and Isle of Wight";17,6066
"ITH4";"Friuli-Venezia Giulia";28,9688
"SK04";"Východné Slovensko";21,3539
"ITI2";"Umbria";27,2819
"UKH3";"Essex";15,9772
"FR72";"Auvergne";4,7834
"UKE1";"East Yorkshire and Northern Lincolnshire";14,7714
"CZ02";"Střední Čechy";24,6357
"CZ03";"Jihozápad";24,4588
"FR53";"Poitou-Charentes";26,7611
"SE23";"Västsverige";21,487
"EL42";"Notio Aigaio";0,6868
"PL31";"Lubelskie";11,8824
"DE24";"Oberfranken";27,321
"NL33";"Zuid-Holland";24,0672
"PT15";"Algarve";15,0389
"FRY1";"Guadeloupe";2,9526
"DEB1";"Koblenz";22,8865
"DE26";"Unterfranken";18,1357
"ITH5";"Emilia-Romagna";26,4174
"DED5";"Leipzig";37,2398
"DEB3";"Rheinhessen-Pfalz";21,355
"UKK1";"Gloucestershire, Wiltshire and Bristol/Bath area";33,2997
"RO11";"Nord-Vest";10,1244
"DEA5";"Arnsberg";46,6083
"MT00";"Malta";10,701
"PL21";"Małopolskie";33,453
"BE25";"Prov. West-Vlaanderen";20,4454
"AT32";"Salzburg";34,5986
"DE27";"Schwaben";27,8277
"FR30";"Nord - Pas-de-Calais";24,1228
"NO06";"Trøndelag";26,7363
"FR82";"Provence-Alpes-Côte d'Azur";19,707
"DE11";"Stuttgart";46,8693
"PL34";"Podlaskie";3,3669
"DK04";"Midtjylland";22,4754
"CH03";"Nordwestschweiz";14,1809
"ES62";"Región de Murcia";16,3299
"CZ06";"Jihovýchod";30,5283
"ES42";"Castilla-La Mancha";19,0922
"SE22";"Sydsverige";28,0687
"RO32";"Bucureşti - Ilfov";11,5534
"ITF6";"Calabria";13,8056
"UKF2";"Leicestershire, Rutland and Northamptonshire";23,3533
"PL32";"Podkarpackie";20,5211
"EL51";"Anatoliki Makedonia, Thraki";6,1106
"FI1C";"Etelä-Suomi";26,0599
"UKI1";"Inner London";11,7047
"DEF0";"Schleswig-Holstein";17,4486
"DE22";"Niederbayern";34,7325
"BG33";"Severoiztochen";3,2314
"SE21";"Småland med öarna";30,1744
"DE91";"Braunschweig";19,005
"RO42";"Vest";14,9702
"BE23";"Prov. Oost-Vlaanderen";11,4494
"NO02";"Hedmark og Oppland";11,6783
"SI04";"Vzhodna Slovenija";17,1197
"DE13";"Freiburg";30,4919
"PL42";"Zachodniopomorskie";12,1694
"NL21";"Overijssel";29,6477
"PT11";"Norte";23,8767
"AT12";"Niederösterreich";23,355
"FRY4";"Réunion";11,2462
"LU00";"Luxembourg";14,733
"UKG1";"Herefordshire, Worcestershire and Warwickshire";29,7501
"NL12";"Friesland (NL)";21,6223
"EL53";"Dytiki Makedonia";1,9058
"PT20";"Região Autónoma dos Açores";1,8257
"DEA4";"Detmold";34,7218
"HU21";"Közép-Dunántúl";10,5961
"ITI3";"Marche";29,907
"NL32";"Noord-Holland";24,2416
"DED4";"Chemnitz";38,4617
"SE33";"Övre Norrland";20,1953
"PL11";"Łódzkie";12,4217
"SE32";"Mellersta Norrland";19,6271
"IS01";"Höfuðborgarsvæði";10,755
"DE40";"Brandenburg";20,9037
"UKD4";"Lancashire";27,9006
"FI1B";"Helsinki-Uusimaa";24,609
"HU33";"Dél-Alföld";21,6488
"AT21";"Kärnten";16,83
"DEA1";"Düsseldorf";29,6456
"EL65";"Peloponnisos";5,8955
"RO12";"Centru";14,0327
"NO05";"Vestlandet";23,5409
"UKJ2";"Surrey, East and West Sussex";20,0476
"UKG3";"West Midlands";21,5449
"AT33";"Tirol";31,5971
"DE12";"Karlsruhe";29,4489
"PL12";"Mazowieckie";17,5608
"UKJ4";"Kent";21,4603
"ES53";"Illes Balears";13,2503
"AT34";"Vorarlberg";11,8499
"NL11";"Groningen";17,5997
"HR04";"Kontinentalna Hrvatska";9,0841
"DE73";"Kassel";35,2124
"BE32";"Prov. Hainaut";10,4077
"ITG2";"Sardegna";17,8402
"CH04";"Zürich";24,3604
"FR23";"Haute-Normandie";18,1174
"PL61";"Kujawsko-Pomorskie";11,757
"RO22";"Sud-Est";7,0032
"UKC2";"Northumberland and Tyne and Wear";9,8123
"ES61";"Andalucía";12,2224
"DEA3";"Münster";27,6127
"CZ01";"Praha";18,4173
"UKK3";"Cornwall and Isles of Scilly";12,893
"BG41";"Yugozapaden";26,3697
"SI03";"Zahodna Slovenija";17,8472
"UKN0";"Northern Ireland";15,803
"PT18";"Alentejo";13,5786
"HU31";"Észak-Magyarország";20,2364
