"id";"name";"value"
"BE33";"Prov. Liège";6,6328
"CH06";"Zentralschweiz";9,9979
"UKC1";"Tees Valley and Durham";3,1274
"DK04";"Midtjylland";3,2253
"BG41";"Yugozapaden";4,6756
"ES42";"Castilla-La Mancha";7,1351
"BG34";"Yugoiztochen";1,9688
"DEB1";"Koblenz";4,38
"EL65";"Peloponnisos";2,8551
"DE93";"Lüneburg";5,5006
"DE23";"Oberpfalz";6,5493
"LT00";"Lietuva";9,1313
"DE21";"Oberbayern";8,5113
"DEA2";"Köln";7,0679
"ES30";"Comunidad de Madrid";10,2772
"DED5";"Leipzig";9,6155
"UKE1";"East Yorkshire and Northern Lincolnshire";3,7924
"DK05";"Nordjylland";2,6402
"FI19";"Länsi-Suomi";8,0759
"UKK4";"Devon";6,3032
"FR26";"Bourgogne";6,9718
"BE23";"Prov. Oost-Vlaanderen";8,3616
"DEG0";"Thüringen";9,895
"DE25";"Mittelfranken";9,0502
"CH01";"Région lémanique";10,2552
"DE71";"Darmstadt";6,3469
"PT20";"Região Autónoma dos Açores";1,3429
"FR30";"Nord - Pas-de-Calais";7,7671
"UKK3";"Cornwall and Isles of Scilly";3,7148
"DE11";"Stuttgart";4,1236
"FR52";"Bretagne";6,6069
"ES51";"Cataluña";9,2416
"DE92";"Hannover";3,3373
"CZ03";"Jihozápad";5,6322
"HU32";"Észak-Alföld";5,915
"ITH2";"Provincia Autonoma di Trento";7,5252
"FR63";"Limousin";5,2706
"CH02";"Espace Mittelland";3,8331
"UKG2";"Shropshire and Staffordshire";4,6301
"FI1C";"Etelä-Suomi";4,8948
"RO32";"Bucureşti - Ilfov";8,8053
"PL41";"Wielkopolskie";8,226
"BE34";"Prov. Luxembourg (BE)";4,8258
"PL62";"Warmińsko-Mazurskie";5,1303
"UKJ2";"Surrey, East and West Sussex";9,9156
"SK01";"Bratislavský kraj";8,7156
"SK02";"Západné Slovensko";3,583
"ES24";"Aragón";4,0228
"FRY1";"Guadeloupe";3,6953
"NL31";"Utrecht";6,8306
"ITI3";"Marche";4,8642
"ITF6";"Calabria";6,025
"SE22";"Sydsverige";7,2745
"ITF4";"Puglia";9,2598
"BE25";"Prov. West-Vlaanderen";3,4997
"FR23";"Haute-Normandie";2,0626
"UKE3";"South Yorkshire";9,4181
"FR82";"Provence-Alpes-Côte d'Azur";11,0701
"DED4";"Chemnitz";3,0592
"PL34";"Podlaskie";6,9728
"EL41";"Voreio Aigaio";0,0489
"CY00";"Kýpros";6,7707
"CZ01";"Praha";7,1103
"FR24";"Centre";4,333
"NO07";"Nord-Norge";6,0202
"UKI1";"Inner London";12,0057
"UKJ1";"Berkshire, Buckinghamshire and Oxfordshire";8,7759
"PL21";"Małopolskie";5,5315
"BE21";"Prov. Antwerpen";7,7833
"AT31";"Oberösterreich";3,5596
"UKM5";"North Eastern Scotland";3,4199
"ITH1";"Provincia Autonoma di Bolzano/Bozen";5,9614
"UKH2";"Bedfordshire and Hertfordshire";10,3655
"PL43";"Lubuskie";2,5735
"UKL1";"West Wales and The Valleys";6,5212
"ITH3";"Veneto";4,2779
"DE27";"Schwaben";4,1842
"HU10";"Közép-Magyarország";10,54
"SE12";"Östra Mellansverige";8,3123
"UKE2";"North Yorkshire";9,6358
"AT32";"Salzburg";4,4559
"PT16";"Centro (PT)";7,9106
"FR61";"Aquitaine";6,7158
"ES13";"Cantabria";2,7351
"UKJ4";"Kent";7,809
"AT22";"Steiermark";3,5009
"HU22";"Nyugat-Dunántúl";9,1082
"HU21";"Közép-Dunántúl";6,2665
"UKF3";"Lincolnshire";6,7162
"BE22";"Prov. Limburg (BE)";5,7132
"FI20";"Åland";0,8406
"BG32";"Severen tsentralen";0,8461
"ES12";"Principado de Asturias";5,65
"IE01";"Border, Midland and Western";6,9497
"RO42";"Vest";5,099
"EL64";"Sterea Ellada";0,8224
"CZ06";"Jihovýchod";5,7925
"BE35";"Prov. Namur";8,9753
"CH05";"Ostschweiz";6,1607
"FR81";"Languedoc-Roussillon";8,1092
"ITF3";"Campania";7,8134
"ES64";"Ciudad Autónoma de Melilla";1,27
"PL22";"Śląskie";8,9402
"DK01";"Hovedstaden";9,381
"DEA4";"Detmold";4,1602
"FI1B";"Helsinki-Uusimaa";8,2465
"NL22";"Gelderland";5,8118
"ITC2";"Valle d'Aosta/Vallée d'Aoste";2,4592
"FRY2";"Martinique";2,2879
"ITF2";"Molise";5,4348
"DE26";"Unterfranken";4,1437
"UKJ3";"Hampshire and Isle of Wight";10,8045
"DE94";"Weser-Ems";2,4491
"HU33";"Dél-Alföld";6,3005
"RO22";"Sud-Est";3,2106
"PL12";"Mazowieckie";13,0881
"FR10";"Île de France";7,7259
"NO01";"Oslo og Akershus";11,2278
"DE60";"Hamburg";3,7469
"PL33";"Świętokrzyskie";5,515
"DE13";"Freiburg";6,6921
"BG31";"Severozapaden";1,2444
"HU23";"Dél-Dunántúl";6,6196
"CZ04";"Severozápad";3,9094
"DE22";"Niederbayern";5,2553
"PL52";"Opolskie";2,3045
"NL21";"Overijssel";5,773
"EL52";"Kentriki Makedonia";6,2685
"HR03";"Jadranska Hrvatska";4,4153
"AT34";"Vorarlberg";2,3252
"SE32";"Mellersta Norrland";2,9266
"NL12";"Friesland (NL)";6,8244
"DK03";"Syddanmark";4,7377
"MT00";"Malta";9,4937
"PL61";"Kujawsko-Pomorskie";5,8729
"PL31";"Lubelskie";5,6138
"UKI2";"Outer London";11,9256
"SK04";"Východné Slovensko";6,134
"CZ08";"Moravskoslezsko";3,7228
"UKD3";"Greater Manchester";9,4405
"PT15";"Algarve";6,2138
"ES11";"Galicia";5,6754
"SK03";"Stredné Slovensko";4,8004
"UKK2";"Dorset and Somerset";3,9478
"NL32";"Noord-Holland";8,0237
"NL23";"Flevoland";1,8561
"IE02";"Southern and Eastern";11,191
"NL13";"Drenthe";4,9452
"DEF0";"Schleswig-Holstein";4,9948
"FR25";"Basse-Normandie";4,4929
"EE00";"Eesti";9,4835
"FI1D";"Pohjois- ja Itä-Suomi";6,6733
"DE24";"Oberfranken";4,756
"RO11";"Nord-Vest";3,551
"FR21";"Champagne-Ardenne";4,1425
"EL54";"Thessalia";3,3873
"UKH3";"Essex";7,515
"RO31";"Sud - Muntenia";5,4975
"PL32";"Podkarpackie";3,3973
"DE30";"Berlin";13,4303
"RO21";"Nord-Est";5,6629
"BE10";"Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest";8,8134
"ITF1";"Abruzzo";4,7396
"FR51";"Pays de la Loire";5,7778
"UKD4";"Lancashire";8,4297
"SE23";"Västsverige";6,4536
"AT12";"Niederösterreich";9,3739
"UKE4";"West Yorkshire";9,142
"IS02";"Landsbyggð";4,7214
"BE31";"Prov. Brabant Wallon";5,019
"NO03";"Sør-Østlandet";7,1957
"CH03";"Nordwestschweiz";5,6522
"ITC1";"Piemonte";7,2129
"ES53";"Illes Balears";8,6723
"ES23";"La Rioja";5,4618
"FR53";"Poitou-Charentes";3,9839
"UKN0";"Northern Ireland";8,7212
"DE80";"Mecklenburg-Vorpommern";6,1919
"BE24";"Prov. Vlaams-Brabant";9,0459
"AT33";"Tirol";7,3512
"ES22";"Comunidad Foral de Navarra";6,6
"CZ07";"Střední Morava";4,9691
"UKD6";"Cheshire";8,3323
"DEB2";"Trier";3,2638
"UKK1";"Gloucestershire, Wiltshire and Bristol/Bath area";6,5048
"RO41";"Sud-Vest Oltenia";1,6157
"ES70";"Canarias";7,1474
"IS01";"Höfuðborgarsvæði";7,1364
"FR42";"Alsace";6,7587
"BG33";"Severoiztochen";3,1853
"UKC2";"Northumberland and Tyne and Wear";7,7917
"NO06";"Trøndelag";8,2871
"DE91";"Braunschweig";10,3578
"PT30";"Região Autónoma da Madeira";2,79
"CZ02";"Střední Čechy";6,6302
"FR43";"Franche-Comté";4,21
"UKF2";"Leicestershire, Rutland and Northamptonshire";6,7798
"ITF5";"Basilicata";4,7474
"UKM2";"Eastern Scotland";10,3821
"FR83";"Corse";2,4172
"ITI2";"Umbria";3,9965
"EL51";"Anatoliki Makedonia, Thraki";2,5391
"UKL2";"East Wales";8,2972
"UKD1";"Cumbria";6,0812
"FR71";"Rhône-Alpes";6,3686
"EL43";"Kriti";5,714
"FR62";"Midi-Pyrénées";3,6018
"EL42";"Notio Aigaio";0,6925
"AT21";"Kärnten";2,487
"PL63";"Pomorskie";7,434
"ITI1";"Toscana";4,4806
"DE72";"Gießen";5,0542
"FR22";"Picardie";2,9561
"DE12";"Karlsruhe";7,0428
"EL63";"Dytiki Ellada";4,0602
"CH07";"Ticino";4,5032
"PT11";"Norte";10,8637
"ES43";"Extremadura";1,1434
"PT18";"Alentejo";5,6011
"LU00";"Luxembourg";5,1553
"ES62";"Región de Murcia";4,9265
"BE32";"Prov. Hainaut";2,7106
"HR04";"Kontinentalna Hrvatska";4,174
"FRY4";"Réunion";3,7759
"DEE0";"Sachsen-Anhalt";7,5325
"DED2";"Dresden";6,2094
"NO04";"Agder og Rogaland";5,6483
"SE21";"Småland med öarna";6,6275
"UKF1";"Derbyshire and Nottinghamshire";1,7083
"ITH5";"Emilia-Romagna";4,6998
"FR72";"Auvergne";4,0514
"DEA1";"Düsseldorf";2,9801
"ITC4";"Lombardia";4,6961
"DEB3";"Rheinhessen-Pfalz";3,4059
"ES52";"Comunidad Valenciana";5,3202
"FR41";"Lorraine";4,4895
"EL30";"Attiki";8,4269
"NL33";"Zuid-Holland";6,6357
"ES21";"País Vasco";7,4514
"UKM3";"South Western Scotland";10,7907
"PL51";"Dolnośląskie";4,6128
"NO05";"Vestlandet";5,5802
"UKD7";"Merseyside";5,9226
"NO02";"Hedmark og Oppland";10,009
"ES61";"Andalucía";8,2286
"DEA3";"Münster";4,4694
"AT13";"Wien";14,4691
"DE40";"Brandenburg";8,187
"UKH1";"East Anglia";10,2293
"PL42";"Zachodniopomorskie";6,5598
"SI04";"Vzhodna Slovenija";5,3531
